l	fo
233	4904	0.029777779278
234	4905	0.029710604606
235	4906	0.02975664242
236	4907	0.029848718048
237	4908	0.029880278562
238	4909	0.03026190019
239	4910	0.031536771228
240	4911	0.031812998112
241	4912	0.031426164656
242	4913	0.029636770376
243	4914	0.029548748392
244	4915	0.031432534668
245	4916	0.03159525952
246	4917	0.030790032094
247	4918	0.028043398738
248	4919	0.027856641568
249	4920	0.030081223486
250	4921	0.03057316214
251	4922	0.030274061122
252	4923	0.028539970128
253	4924	0.02873599277
254	4925	0.030730385618
255	4926	0.031168468716
256	4927	0.030884134544
257	4928	0.029496919658
258	4929	0.029331299346
259	4930	0.02974940377
260	4931	0.030071958014
261	4932	0.030480796966
262	4933	0.031231010652
263	4934	0.030383219964
264	4935	0.027722002678
265	4936	0.026703090304
266	4937	0.026752892216
267	4938	0.02673233445
268	4939	0.026818908704
269	4940	0.026789375012
270	4941	0.027526269582
271	4942	0.029256017386
272	4943	0.030560711662
273	4944	0.031702681086
274	4945	0.033062968194
275	4946	0.033003032172
276	4947	0.030907298224
277	4948	0.030188355506
278	4949	0.030128129938
279	4950	0.030952177854
280	4951	0.031583967226
281	4952	0.0327331753
282	4953	0.033297500454
283	4954	0.033534059536
284	4955	0.03325146264
285	4956	0.033489179906
286	4957	0.033815787794
287	4958	0.034459738098
288	4959	0.035362832072
289	4960	0.036987185132
290	4961	0.036356264398
291	4962	0.03366840888
292	4963	0.03202089214
293	4964	0.03036468902
294	4965	0.029246172822
295	4966	0.028593246592
296	4967	0.028994846894
297	4968	0.0282452123
298	4969	0.025729636652
299	4970	0.02494728336
300	4971	0.025322824522
301	4972	0.027566806022
302	4973	0.028810985184
303	4974	0.030268270202
304	4975	0.030970708798
305	4976	0.031103899958
306	4977	0.03054565527
307	4978	0.029836557116
308	4979	0.028246080938
309	4980	0.027464596284
310	4981	0.027124958826
311	4982	0.027119457452
312	4983	0.027982594078
313	4984	0.030997926122
314	4985	0.031496524334
315	4986	0.030594588544
316	4987	0.027387577048
317	4988	0.02699871677
318	4989	0.028179485358
319	4990	0.0290559411
320	4991	0.030113942184
321	4992	0.031399526424
322	4993	0.032599405048
323	4994	0.03467602896
324	4995	0.034607117012
325	4996	0.031113454976
326	4997	0.029929211836
327	4998	0.030241342424
328	4999	0.033336589164
329	5000	0.034304541442
330	5001	0.032982763952
331	5002	0.03391307525
332	5003	0.03631341159
333	5004	0.041288101416
334	5005	0.044275637044
335	5006	0.047917257086
336	5007	0.04861766886
337	5008	0.047093498716
338	5009	0.042564420184
339	5010	0.038569843568
340	5011	0.032377902358
341	5012	0.028839939784
342	5013	0.026873922444
343	5014	0.027012035886
344	5015	0.026538049084
345	5016	0.02626471766
346	5017	0.026564687316
347	5018	0.027347330154
348	5019	0.028938385424
349	5020	0.029405133576
350	5021	0.028852969354
351	5022	0.029275127422
352	5023	0.030144344514
353	5024	0.03191810331
354	5025	0.031274442552
355	5026	0.02805845513
356	5027	0.027308820536
357	5028	0.028648260332
358	5029	0.029212585486
359	5030	0.029432929992
360	5031	0.029035383334
361	5032	0.029085185246
362	5033	0.029837136208
363	5034	0.029654722228
364	5035	0.028832411588
365	5036	0.026532258164
366	5037	0.026298594542
367	5038	0.028101597484
368	5039	0.028700378612
369	5040	0.028762631002
370	5041	0.028042819646
371	5042	0.027687257158
372	5043	0.026831069636
373	5044	0.026989451298
374	5045	0.02781523649
375	5046	0.029697864582
376	5047	0.030574320324
377	5048	0.031313241716
378	5049	0.031405317344
379	5050	0.030978236994
380	5051	0.029887227666
381	5052	0.02903277742
382	5053	0.027494129976
383	5054	0.02734038105
384	5055	0.0280135755
385	5056	0.029811077068
386	5057	0.030420571398
387	5058	0.030601537648
388	5059	0.030753259752
389	5060	0.030890504556
390	5061	0.03065423502
391	5062	0.03010120216
392	5063	0.028915221744
393	5064	0.028354371142
394	5065	0.02784274336
395	5066	0.02793829354
396	5067	0.028536495576
397	5068	0.03024452743
398	5069	0.030428099594
399	5070	0.029246462368
400	5071	0.028758866904
401	5072	0.028527809196
402	5073	0.02851304235
403	5074	0.028906535364
404	5075	0.030373664946
405	5076	0.030609644936
406	5077	0.030156505446
407	5078	0.0286071448
408	5079	0.028203807222
409	5080	0.028516227356
410	5081	0.028365663436
411	5082	0.028053243302
412	5083	0.027235565398
413	5084	0.028168772156
414	5085	0.031356963162
415	5086	0.032122522786
416	5087	0.030684058258
417	5088	0.029902573604
418	5089	0.029389208546
419	5090	0.029470860518
420	5091	0.028917538112
421	5092	0.027329088756
422	5093	0.026829621906
423	5094	0.02706386462
424	5095	0.028762920548
425	5096	0.0289546
426	5097	0.027552618268
427	5098	0.02748370632
428	5099	0.028178327174
429	5100	0.03036758448
430	5101	0.030795823014
431	5102	0.029770830174
432	5103	0.02957133298
433	5104	0.02969873322
434	5105	0.030542470264
435	5106	0.030159979998
436	5107	0.028622490738
437	5108	0.027811472392
438	5109	0.027274075016
439	5110	0.027009719518
440	5111	0.02702043272
441	5112	0.027500499988
442	5113	0.02779207281
443	5114	0.028066562418
444	5115	0.02822928727
445	5116	0.028942149522
446	5117	0.03045300055
447	5118	0.030998215668
448	5119	0.030790032094
449	5120	0.0305905349
450	5121	0.030289117514
451	5122	0.02965095813
452	5123	0.029579440268
453	5124	0.03053552116
454	5125	0.030456764648
455	5126	0.029703365956
456	5127	0.027290868684
457	5128	0.0273186651
458	5129	0.030113073546
459	5130	0.030925250076
460	5131	0.030712433766
461	5132	0.028772475566
462	5133	0.028320204714
463	5134	0.028409963974
464	5135	0.028704432256
465	5136	0.029279470612
466	5137	0.030427520502
467	5138	0.030639178628
468	5139	0.030488614708
469	5140	0.029791677486
470	5141	0.02859411523
471	5142	0.026495196276
472	5143	0.025906838804
473	5144	0.026561791856
474	5145	0.026415571126
475	5146	0.026012523094
476	5147	0.0251181155
477	5148	0.025470782528
478	5149	0.026964839888
479	5150	0.027622398854
480	5151	0.028294724666
481	5152	0.028186434462
482	5153	0.0274200062
483	5154	0.024923540588
484	5155	0.02489806054
485	5156	0.027354568804
486	5157	0.028643048504
487	5158	0.02942945544
488	5159	0.029589863924
489	5160	0.029653274498
490	5161	0.029335642536
491	5162	0.028984712784
492	5163	0.028528098742
493	5164	0.028001125022
494	5165	0.027237013128
495	5166	0.025835610488
496	5167	0.025223510244
497	5168	0.025071498594
498	5169	0.025579362278
499	5170	0.02567259609
500	5171	0.025495393938
501	5172	0.025801154514
502	5173	0.026400225188
503	5174	0.027422033022
504	5175	0.02804397783
505	5176	0.028576452924
506	5177	0.028975447312
507	5178	0.029912128622
508	5179	0.029628373542
509	5180	0.028351765228
510	5181	0.02489226962
511	5182	0.023676755512
512	5183	0.023828767162
513	5184	0.02423210474
514	5185	0.025066576312
515	5186	0.026891295204
516	5187	0.027468939474
517	5188	0.027036068204
518	5189	0.02688579383
519	5190	0.026772581344
520	5191	0.026547314556
521	5192	0.02686407788
522	5193	0.02767191122
523	5194	0.028489589124
524	5195	0.02942076906
525	5196	0.030579242606
526	5197	0.031410529172
527	5198	0.032261794412
528	5199	0.032622858274
529	5200	0.032615040532
530	5201	0.032309569502
531	5202	0.031304844882
532	5203	0.029099373
533	5204	0.027842164268
534	5205	0.02697989628
535	5206	0.026348975546
536	5207	0.02704504413
537	5208	0.02996511554
538	5209	0.030507145652
539	5210	0.028518254178
540	5211	0.02783695244
541	5212	0.02793105489
542	5213	0.029663119062
543	5214	0.029763301978
544	5215	0.028442393126
545	5216	0.027803365104
546	5217	0.02748949724
547	5218	0.027546827348
548	5219	0.02778628189
549	5220	0.028701536796
550	5221	0.029017431482
551	5222	0.028985291876
552	5223	0.028394907582
553	5224	0.02819019856
554	5225	0.027974197244
555	5226	0.028022551426
556	5227	0.028274456446
557	5228	0.02886918393
558	5229	0.029104584828
559	5230	0.028829805674
560	5231	0.02929915974
561	5232	0.030208044634
562	5233	0.031947926548
563	5234	0.032233997996
564	5235	0.031318453544
565	5236	0.031101004498
566	5237	0.031083052646
567	5238	0.031283708024
568	5239	0.031564567644
569	5240	0.032167691962
570	5241	0.032403961498
571	5242	0.032744467594
572	5243	0.032432916098
573	5244	0.031581361312
574	5245	0.02923980281
575	5246	0.029081131602
576	5247	0.031618712746
577	5248	0.032285537184
578	5249	0.031892333716
579	5250	0.029624030352
580	5251	0.02889813853
581	5252	0.02893433178
582	5253	0.028863103464
583	5254	0.028860787096
584	5255	0.028783478314
585	5256	0.029300317924
586	5257	0.030942622836
587	5258	0.031374625468
588	5259	0.031127063638
589	5260	0.029848138956
590	5261	0.029376468522
591	5262	0.028952283632
592	5263	0.028989055974
593	5264	0.029383996718
594	5265	0.03050946202
595	5266	0.03008962032
596	5267	0.02799330728
597	5268	0.027494129976
598	5269	0.02771534312
599	5270	0.028977184588
600	5271	0.028848047072
601	5272	0.027607052916
602	5273	0.02757057012
603	5274	0.029115877122
604	5275	0.029378205798
605	5276	0.028804325626
606	5277	0.026103440538
607	5278	0.026374166048
608	5279	0.029991464226
609	5280	0.031447880606
610	5281	0.031761458924
611	5282	0.030064429818
612	5283	0.030088751682
613	5284	0.03113777684
614	5285	0.031737716152
615	5286	0.032198673384
616	5287	0.032544680854
617	5288	0.032659920162
618	5289	0.03230175176
619	5290	0.032354159586
620	5291	0.032610697342
621	5292	0.033352514194
622	5293	0.033053413176
623	5294	0.031909127384
624	5295	0.031032671642
625	5296	0.030142028146
626	5297	0.028983265054
627	5298	0.029189421806
628	5299	0.031062784426
629	5300	0.031461489268
630	5301	0.03042115049
631	5302	0.030140580416
632	5303	0.030328785316
633	5304	0.031156886876
634	5305	0.031983830252
635	5306	0.033665223874
636	5307	0.034333785588
637	5308	0.034296144608
638	5309	0.033208899378
639	5310	0.032457527508
640	5311	0.031244329768
641	5312	0.030652497744
642	5313	0.030474137408
643	5314	0.030762525224
644	5315	0.031281391656
645	5316	0.032924854752
646	5317	0.033207451648
647	5318	0.032667448358
648	5319	0.030669870504
649	5320	0.030345289438
650	5321	0.031360437714
651	5322	0.031408212804
652	5323	0.031040489384
653	5324	0.029951506878
654	5325	0.029870723544
655	5326	0.030635124984
656	5327	0.030743125642
657	5328	0.030583875342
658	5329	0.029935002756
659	5330	0.030315176654
660	5331	0.031816472664
661	5332	0.032122812332
662	5333	0.031530401216
663	5334	0.030977657902
664	5335	0.030331680776
665	5336	0.029152359918
666	5337	0.029118772582
667	5338	0.030346158076
668	5339	0.03111316543
669	5340	0.031715710656
670	5341	0.032405409228
671	5342	0.032145107374
672	5343	0.030506277014
673	5344	0.029697575036
674	5345	0.029279470612
675	5346	0.029221561412
676	5347	0.029660223602
677	5348	0.031250989326
678	5349	0.031838767706
679	5350	0.031904784194
680	5351	0.03098721292
681	5352	0.031440931502
682	5353	0.033303001828
683	5354	0.03385227059
684	5355	0.033754114496
685	5356	0.032784135396
686	5357	0.032273665798
687	5358	0.031754799366
688	5359	0.031204661966
689	5360	0.030629334064
690	5361	0.029931528204
691	5362	0.02981889481
692	5363	0.030116258552
693	5364	0.030504829284
694	5365	0.031329166746
695	5366	0.03189204417
696	5367	0.032298566754
697	5368	0.033000715804
698	5369	0.032237183002
699	5370	0.028802298804
700	5371	0.02763861343
701	5372	0.02785722066
702	5373	0.030442576894
703	5374	0.03122898383
704	5375	0.031114034068
705	5376	0.031337274034
706	5377	0.031643324156
707	5378	0.032321730434
708	5379	0.032019154864
709	5380	0.030497301088
710	5381	0.029896493138
711	5382	0.029726529636
712	5383	0.029998123784
713	5384	0.03065423502
714	5385	0.032308121772
715	5386	0.033013166282
716	5387	0.033256674468
717	5388	0.032944254334
718	5389	0.032659630616
719	5390	0.031952559284
720	5391	0.031655774634
721	5392	0.03154458897
722	5393	0.03171542111
723	5394	0.031421821466
724	5395	0.030916563696
725	5396	0.030300120262
726	5397	0.028870342114
727	5398	0.028490168216
728	5399	0.02886339301
729	5400	0.030608776298
730	5401	0.031266335264
731	5402	0.031342196316
732	5403	0.031532717584
733	5404	0.031707024276
734	5405	0.032169429238
735	5406	0.031601629532
736	5407	0.029495182382
737	5408	0.028654340798
738	5409	0.028482350474
739	5410	0.029256886024
740	5411	0.029642561296
741	5412	0.030082092124
742	5413	0.030589666262
743	5414	0.031162677796
744	5415	0.031956612928
745	5416	0.03211354686
746	5417	0.031455119256
747	5418	0.031574122662
748	5419	0.032063165856
749	5420	0.033175022496
750	5421	0.033253779008
751	5422	0.032780660844
752	5423	0.032188249728
753	5424	0.030879212262
754	5425	0.030138264048
755	5426	0.029791967032
756	5427	0.0299535337
757	5428	0.03019385688
758	5429	0.031239697032
759	5430	0.031407633712
760	5431	0.03097852654
761	5432	0.029205636382
762	5433	0.029127169416
763	5434	0.030949861486
764	5435	0.031336694942
765	5436	0.03093654237
766	5437	0.028814459736
767	5438	0.02913411852
768	5439	0.031999465736
769	5440	0.03297639394
770	5441	0.033035171778
771	5442	0.031591495422
772	5443	0.03155761854
773	5444	0.032756628526
774	5445	0.032593035036
775	5446	0.031692546976
776	5447	0.029306977482
777	5448	0.029733189194
778	5449	0.033128984682
779	5450	0.033824474174
780	5451	0.03329923773
781	5452	0.030977947448
782	5453	0.030859523134
783	5454	0.03208459226
