 R.A.          Dec.         Vel
10.548960     -9.459106     17076
10.549635     -9.881930     16296
10.549710     -9.367590     15560
10.555845     -9.371332     16810
10.557585     -9.412468     15618
10.563780     -9.439323     16603
10.566180     -9.393157     16699
10.566300     -9.547808     17762
10.570680     -9.186162     17010
10.571955     -9.479929     15863
10.573410     -9.027213     15874
10.574610     -8.808852     16957
10.576995     -9.653462     15456
10.577985     -9.903746     15577
10.578135     -9.257901     16785
10.579995     -9.387641     17415
10.582845     -9.424322     15269
10.583055     -9.858928     16787
10.583160     -9.355150     16897
10.584450     -9.367219     14426
10.590270     -9.116648     15750
10.591155     -9.823025     17302
10.596930     -9.812985     16513
10.600545     -9.164827     16227
10.600950     -9.271268     18184
10.601970     -9.873667     17293
10.603560     -9.205395     16672
10.606380     -9.619152     16956
10.614150     -9.424627     17017
10.615410     -8.764098     16653
10.618200     -9.827301     14999
10.620795     -9.263772     17502
10.622805    -10.018571     15191
10.625385     -9.008788     17414
10.635720     -9.454182     17230
10.636800     -9.362281     17064
10.636845     -9.873336     17691
10.638435     -9.906037     16260
10.640655     -8.881530     17780
10.641090     -9.177990     16842
10.641285     -9.146099     16685
10.641600     -9.911684     17540
10.642305     -9.180871     16341
10.644435     -9.076769     14969
10.644450     -9.898994     17553
10.644810     -9.655015     16363
10.648650     -9.063407     16337
10.654500     -9.755677     16764
10.663320     -9.335302     16057
10.664775     -9.514927     17270
10.667700     -9.399157     16497
10.668015     -9.737969     16800
10.672485     -9.702145     16460
10.672800     -8.946957     15149
10.674945     -9.800408     17492
10.676070     -8.924459     16996
10.677285     -9.848274     16585
10.682970     -9.739085     15232
10.683630    -10.003089     16419
10.684185     -8.936546     16109
10.686000     -9.517432     17068
10.686180     -9.554474     16342
10.688175     -9.637123     17183
10.691700     -9.240030     16519
10.701600     -9.578017     17934
10.708515    -10.002643     15956
10.715355     -9.773366     18359
10.716075     -9.807764     16639
10.720005     -9.703813     14834
10.729050     -9.813852     15212
10.731465     -9.748689     15455
10.744410     -8.918222     17081
10.744635     -9.486245     17948
10.744800     -9.515399     18610
10.756035     -9.858642     15353
10.756845    -10.028671     17225
10.757145     -9.792623     15110
10.758360     -9.777824     14724
10.767330     -9.545308     15846
10.771980     -9.425803     16311
