RA,Dec,Vel,z,Cl_d,Delta,Rf,plt.mjd.fiber,M(parn),M(ave),M(IPn),M(IP),Act
10.531725,-9.476528,17075,0.056993,0.68,1.23077,-20.015,0656.52148.384,2.6125,Sa/Sb,1.5,S0/Sa,LLA
10.534785,-9.12198,18248,NA,0.71,0.76739,-18.403,No_SDSS_Spec,2.64545,Sa/Sb,2.5,Sa/Sb,UNK
10.5348,-9.517952,16963,NA,0.82,0.97208,-18.813,No_SDSS_Spec,3.04167,Sb,4.0,Sc,UNK
10.536,-9.509377,15929,NA,0.79,0.99402,-18.935,No_SDSS_Spec,1.39,S0/Sa,1.5,S0/Sa,UNK
10.53771,-9.433746,17593,0.058678,0.55,0.88702,-19.556,0655.52162.552,1.025,S0,1.0,S0,NoE
10.54089,-9.481209,16739,NA,0.7,1.23077,-18.853,No_SDSS_Spec,4.18,Sc,4.5,Sc/Sdm,UNK
10.542225,-9.665884,16805,NA,1.34,2.2371,-19.014,No_SDSS_Spec,1.44545,S0/Sa,1.0,S0,UNK
10.54284,-8.931012,17670,0.058941,1.37,1.4466,-20.419,0655.52162.563,2.07857,Sa,2.5,Sa/Sb,LLA
10.546035,-9.508372,16431,0.054752,0.8,1.0414,-20.313,0655.52162.556,1.97,Sa,1.5,S0/Sa,NoE
10.54866,-9.970545,16188,0.053979,2.43,0.97307,-19.009,0656.52148.265,2.89091,Sb,1.0,S0,SFG
10.54896,-9.459106,17076,0.057013,0.65,0.99199,-19.515,0655.52162.553,1.03333,S0,0.7,E/S0,NoE
10.549635,-9.88193,16296,0.054336,2.11,0.48217,-20.763,0656.52148.266,2.23846,Sa,3.5,Sb/Sc,NoE
10.54971,-9.36759,15560,NA,0.4,0.6054,-20.492,No_SDSS_Spec,0.642857,E/S0,1.0,S0,UNK
10.555845,-9.371332,16810,NA,0.42,0.87823,-19.014,No_SDSS_Spec,1.65714,S0/Sa,1.0,S0,UNK
10.557585,-9.412468,15618,NA,0.53,0.82171,-18.391,No_SDSS_Spec,1.975,Sa,2.0,Sa,UNK
10.56378,-9.439323,16603,0.055376,0.62,0.90793,-19.141,0655.52162.550,1.60909,S0/Sa,0.7,E/S0,NoE
10.56618,-9.393157,16699,NA,0.5,0.87823,-19.037,No_SDSS_Spec,1.88182,Sa,1.0,S0,UNK
10.5663,-9.547808,17762,0.059136,0.96,1.39034,-21.138,0656.52148.397,0.583333,E/S0,1.5,S0/Sa,LLA
10.57068,-9.186162,17010,NA,0.58,1.57123,-18.982,No_SDSS_Spec,1.39,S0/Sa,1.5,S0/Sa,UNK
10.571955,-9.479929,15863,0.052901,0.75,1.04414,-20.328,0655.52162.551,3.41667,Sb/Sc,3.5,Sb/Sc,LLA
10.57341,-9.027213,15874,0.052741,1.08,0.21242,-19.412,0656.52148.329,1.71111,S0/Sa,1.5,S0/Sa,NoE
10.57461,-8.808852,16957,0.056527,1.83,1.63668,-20.317,0655.52162.608,0.885714,E/S0,2.0,Sa,NoE
10.576995,-9.653462,15456,0.051494,1.33,2.3114,-19.428,0655.52162.558,4.68182,Sc/Sdm,5.0,Sdm,SFG
10.577985,-9.903746,15577,0.05217,2.21,1.30015,-19.009,0655.52162.156,4.85,Sdm,5.0,Sdm,SFG
10.578135,-9.257901,16785,0.055766,0.46,2.35803,-21.073,0655.52162.544,0.416667,E,1.5,S0/Sa,LLA
10.579995,-9.387641,17415,0.058153,0.53,1.08611,-20.293,0655.52162.545,2.05833,Sa,2.0,Sa,NoE
10.582845,-9.424322,15269,0.051129,0.62,0.65407,-19.525,0656.52148.385,4.20833,Sc,3.0,Sb,SFG
10.583055,-9.858928,16787,0.056039,2.05,0.6127,-19.384,0655.52162.153,2.06923,Sa,1.0,S0,NoE
10.58316,-9.35515,16897,0.056337,0.48,0.92192,-20.146,0656.52148.436,0.583333,E/S0,1.5,S0/Sa,NoE
10.58445,-9.367219,14426,NA,0.5,0.92192,-18.691,No_SDSS_Spec,2.31538,Sa/Sb,2.5,Sa/Sb,UNK
10.59027,-9.116648,15750,0.052395,0.82,0.63146,-20.672,0656.52148.325,1.41818,S0/Sa,3.0,Sb,NoE
10.591155,-9.823025,17302,NA,1.93,0.66063,-19.226,No_SDSS_Spec,1.36,S0/Sa,3.0,Sb,UNK
10.59693,-9.812985,16513,0.054977,1.9,1.05568,-20.644,0655.52162.157,1.03333,S0,2.0,Sa,NoE
10.600545,-9.164827,16227,NA,0.71,1.08144,-18.905,No_SDSS_Spec,1.29,S0/Sa,1.0,S0,UNK
10.60095,-9.271268,18184,0.060674,0.52,1.87285,-20.652,0655.52162.541,2.25455,Sa/Sb,3.5,Sb/Sc,TO
10.60197,-9.873667,17293,0.0577,2.12,0.64036,-20.156,0655.52162.142,1.17143,S0,1.5,S0/Sa,NoE
10.60356,-9.205395,16672,0.05551,0.63,1.80333,-19.292,0655.52162.542,1.26364,S0/Sa,1.0,S0,NoE
10.60638,-9.619152,16956,0.056439,1.26,0.92543,-19.374,0655.52162.557,2.2,Sa,1.5,S0/Sa,NoE
10.61415,-9.424627,17017,0.056751,0.71,0.58828,-19.819,0655.52162.554,1.03333,S0,2.0,Sa,NoE
10.61541,-8.764098,16653,0.055727,2.02,1.7217,-21.803,0655.52162.605,0.583333,E/S0,0.3,E,LLA
10.6182,-9.827301,14999,0.050054,1.97,1.33299,-19.078,0655.52162.154,2.1,Sa,2.5,Sa/Sb,SFG
10.620795,-9.263772,17502,NA,0.6,1.65452,-18.478,No_SDSS_Spec,2.38,Sa/Sb,4.5,Sc/Sdm,UNK
10.622805,-10.018571,15191,0.050599,2.65,0.4129,-19.654,0655.52162.160,4.90909,Sdm,5.7,Im,SFG
10.625385,-9.008788,17414,0.058007,1.22,0.93766,-19.488,0656.52148.327,1.40833,S0/Sa,0.3,E,NoE
10.63572,-9.454182,17230,0.057376,0.83,1.20471,-19.043,0655.52162.593,2.03636,Sa,1.0,S0,NoE
10.6368,-9.362281,17064,NA,0.67,0.55769,-18.439,No_SDSS_Spec,4.54167,Sc/Sdm,5.7,Im,UNK
10.636845,-9.873336,17691,NA,2.15,0.73991,-18.72,No_SDSS_Spec,2.06,Sa,3.0,Sb,UNK
10.638435,-9.906037,16260,NA,2.27,0.50146,-17.921,No_SDSS_Spec,4.11538,Sc,3.0,Sb,UNK
10.640655,-8.88153,17780,0.059124,1.65,0.97352,-20.985,0655.52162.610,1.8,Sa,3.0,Sb,SFG
10.64109,-9.17799,16842,NA,0.79,1.08389,-21.506,No_SDSS_Spec,0.583333,E/S0,1.5,S0/Sa,UNK
10.641285,-9.146099,16685,0.055613,0.86,1.55052,-20.506,0655.52162.618,2.11667,Sa,3.5,Sb/Sc,SFG
10.6416,-9.911684,17540,0.05857,2.29,0.50146,-21.574,0655.52162.152,0.3,E,0.3,E,NoE
10.642305,-9.180871,16341,0.054458,0.79,1.29459,-20.07,0656.52148.375,1.13333,S0,2.0,Sa,NoE
10.644435,-9.076769,14969,0.050263,1.05,0.45183,-19.803,0655.52162.604,3.91667,Sc,3.0,Sb,SFG
10.64445,-9.898994,17553,NA,2.25,0.73991,-20.66,No_SDSS_Spec,0.8125,S0,1.0,S0,UNK
10.64481,-9.655015,16363,0.054515,1.43,0.55363,-22.124,0655.52162.600,0.583333,E/S0,2.5,Sa/Sb,LLA
10.64865,-9.063407,16337,NA,1.1,1.56463,-20.58,No_SDSS_Spec,0.885714,S0,1.5,S0/Sa,UNK
10.6545,-9.755677,16764,NA,1.78,0.28719,-18.861,No_SDSS_Spec,3.3625,Sb/Sc,3.0,Sb,UNK
10.66332,-9.335302,16057,0.0536,0.74,0.65226,-19.662,0655.52162.587,1.44545,S0/Sa,3.0,Sb,NoE
10.664775,-9.514927,17270,0.057444,1.06,2.52951,-20.771,0655.52162.595,0.642857,E/S0,0.3,E,SFG
10.6677,-9.399157,16497,0.055003,0.82,0.391,-19.364,0655.52162.589,1.44545,S0/Sa,1.0,S0,NoE
10.668015,-9.737969,16800,NA,1.74,0.40973,-20.487,No_SDSS_Spec,2.14,Sa,1.5,S0/Sa,UNK
10.672485,-9.702145,16460,NA,1.63,0.30269,-18.566,No_SDSS_Spec,2.37273,Sa/Sb,3.0,Sb,UNK
10.6728,-8.946957,15149,0.050387,1.5,0.07011,-21.13,0655.52162.607,2.675,Sa/Sb,4.0,Sc,SFG
10.674945,-9.800408,17492,0.058225,1.95,0.72974,-19.174,0656.52148.263,2.51,Sa/Sb,3.0,Sb,NoE
10.67607,-8.924459,16996,0.056659,1.57,0.09192,-21.063,0655.52162.601,0.8125,E/S0,1.5,S0/Sa,NoE
10.677285,-9.848274,16585,0.05525,2.12,0.13505,-19.46,0656.52148.273,2.25833,Sa/Sb,3.0,Sb,NoE
10.68297,-9.739085,15232,0.050725,1.77,1.08221,-20.662,0656.52148.277,2.07,Sa,3.0,Sb,TO
10.68363,-10.003089,16419,0.05475,2.65,0.55806,-20.32,0655.52162.110,0.583333,E/S0,2.0,Sa,LLA
10.684185,-8.936546,16109,NA,1.55,0.09192,-20.979,No_SDSS_Spec,0.583333,E/S0,1.5,S0/Sa,UNK
10.686,-9.517432,17068,0.056785,1.12,1.53725,-20.82,0656.52148.423,0.885714,E/S0,0.7,E/S0,A
10.68618,-9.554474,16342,0.054448,1.22,1.50196,-21.4,0655.52162.594,0.416667,E,0.7,E/S0,NoE
10.688175,-9.637123,17183,NA,1.46,0.53431,-18.061,No_SDSS_Spec,3.6,Sb/Sc,3.0,Sb,UNK
10.6917,-9.24003,16519,NA,0.86,1.44735,-17.812,No_SDSS_Spec,4.34545,Sc/Sdm,4.5,Sc/Sdm,UNK
10.7016,-9.578017,17934,0.059884,1.32,1.31975,-19.869,0655.52162.596,4.22222,Sc,5.0,Sdm,SFG
10.708515,-10.002643,15956,NA,2.68,0.30913,-18.555,No_SDSS_Spec,4.2,Sc,4.5,Sc/Sdm,UNK
10.715355,-9.773366,18359,NA,1.93,1.38094,-18.663,No_SDSS_Spec,2.70909,Sa/Sb,3.0,Sb,UNK
10.716075,-9.807764,16639,0.055487,2.04,1.66149,-20.807,0656.52148.271,0.583333,E/S0,2.0,Sa,LLA
10.720005,-9.703813,14834,0.04955,1.72,1.16156,-20.314,0655.52162.599,1.02222,S0,3.0,Sb,LLA
10.72905,-9.813852,15212,NA,2.08,2.37565,-18.552,No_SDSS_Spec,2.58125,Sa/Sb,2.5,Sa/Sb,UNK
10.731465,-9.748689,15455,0.05164,1.88,2.2503,-20.173,0655.52162.116,1.3625,S0/Sa,1.0,S0,LLA
10.74441,-8.918222,17081,NA,1.72,0.53265,-18.921,No_SDSS_Spec,4.125,Sc,1.5,S0/Sa,UNK
10.744635,-9.486245,17948,0.059855,1.22,1.21402,-19.354,0655.52162.590,2.34167,Sa/Sb,3.0,Sb,NoE
10.7448,-9.515399,18610,NA,1.28,1.21402,-18.697,No_SDSS_Spec,3.88889,Sc,3.0,Sb,UNK
10.756035,-9.858642,15353,0.051138,2.27,2.63763,-20.716,0655.52162.114,1.07778,S0,2.5,Sa/Sb,NoE
10.756845,-10.028671,17225,0.057599,2.83,0.51983,-19.639,0656.52148.231,1.33846,S0/Sa,2.0,Sa,NoE
10.757145,-9.792623,15110,NA,2.06,2.9432,-19.667,No_SDSS_Spec,3.69167,Sb/Sc,4.0,Sc,UNK
10.75836,-9.777824,14724,NA,2.02,2.9432,-20.275,No_SDSS_Spec,1.4875,S0/Sa,0.7,E/S0,UNK
10.76733,-9.545308,15846,0.052767,1.41,1.29699,-20.469,0656.52148.432,1.87,Sa,3.5,Sb/Sc,SFG
10.77198,-9.425803,16311,0.054362,1.21,0.48776,-20.709,0656.52148.430,0.785714,E/S0,2.5,Sa/Sb,NoE
10.773885,-9.812365,15795,NA,2.16,3.24231,-18.865,No_SDSS_Spec,2.15,Sa,3.0,Sb,UNK
10.77498,-9.837334,14767,0.049195,2.24,3.24231,-21.052,0656.52148.239,2.24,Sa,3.0,Sb,SFG
10.77651,-9.860992,17727,NA,2.31,2.80749,-19.092,No_SDSS_Spec,2.36923,Sa/Sb,3.5,Sb/Sc,UNK
10.783785,-9.579012,14995,0.050114,1.53,1.20988,-19.121,0656.52148.476,4.76923,Sdm,5.7,Im,SFG
10.784085,-9.827035,15185,NA,2.22,2.86608,-20.352,No_SDSS_Spec,2.37778,Sa/Sb,1.5,S0/sa,UNK
10.790715,-10.078548,15960,NA,3.04,1.44695,-19.255,No_SDSS_Spec,4.38,Sc/Sdm,4.0,Sc,UNK
10.792125,-9.861465,15167,0.05043,2.34,2.80749,-22.417,0656.52148.237,0.583333,E/S0,0.3,E,A
10.793355,-9.056859,17342,0.05772,1.49,2.29435,-21.224,0655.52162.606,1.13333,S0,2.0,Sa,NoE
10.79544,-9.681647,16489,0.055002,1.82,2.5482,-21.842,0655.52162.634,1.91,Sa,3.0,Sb,LLA
10.795605,-9.377683,16882,NA,1.24,0.26022,-18.98,No_SDSS_Spec,2.75833,Sb,3.0,Sb,UNK
10.795635,-9.300099,15945,NA,1.21,1.80269,-18.523,No_SDSS_Spec,3.90909,Sc,3.5,Sb/Sc,UNK
10.79826,-9.637826,16352,0.054212,1.72,0.72682,-21.839,0655.52162.639,2.73571,Sa/Sb,3.5,Sb/Sc,A
10.80693,-9.449235,16905,0.056428,1.36,0.81627,-19.301,0655.52162.630,1.39,S0,1.0,S0,NoE
10.80975,-9.172602,15008,NA,1.35,1.85844,-18.248,No_SDSS_Spec,4.68182,Sc/Sdm,4.5,Sc/Sdm,UNK
10.81626,-8.899054,14894,NA,1.94,1.34467,-17.711,No_SDSS_Spec,4.5,Sc/Sdm,5.7,Im,UNK
10.824435,-9.597549,17475,0.058541,1.69,1.11772,-19.674,0656.52148.465,2.38333,Sa/Sb,3.0,Sb,NoE
10.83147,-9.153409,15060,NA,1.44,1.72862,-17.734,No_SDSS_Spec,4.4,Sc/Sdm,5.7,Im,UNK
10.84512,-9.276518,16168,NA,1.39,2.08823,-18.635,No_SDSS_Spec,3.41667,Sb/Sc,3.5,Sb/Sc,UNK
10.84923,-9.864849,14885,0.049811,2.46,2.33207,-19.665,0655.52162.076,1.025,S0,1.0,S0,A
10.85019,-9.848671,17860,0.059471,2.42,2.33207,-20.544,0655.52162.072,0.583333,E/S0,1.5,S0/Sa,NoE
10.86915,-10.081034,17394,0.057641,3.17,0.94803,-20.956,0655.52162.064,0.583333,E/S0,1.0,S0,LLA
10.87041,-9.913635,15228,NA,2.65,2.33207,-17.707,No_SDSS_Spec,3.23571,Sb,4.5,Sc/Sdm,UNK
10.87701,-9.733163,15157,0.050698,2.16,1.23136,-20.587,0655.52162.077,3.35333,Sb/Sc,4.0,Sc,SFG
10.879815,-9.862886,16582,0.05543,2.52,2.33207,-20.329,0655.52162.073,4.58333,Sc/Sdm,5.0,Sdm,SFG
10.88535,-9.126492,16630,0.055296,1.66,1.61003,-19.271,0655.52162.617,1.89167,Sa,1.0,S0,NoE
10.891845,-8.843606,14989,0.049904,2.27,1.53358,-20.204,0656.52148.361,4.76923,Sdm,4.5,Sc/Sdm,SFG
10.90128,-9.429911,15051,0.05026,1.65,0.56125,-21.147,0655.52162.622,2.23333,Sa,2.5,Sa/Sb,SFG
10.904187,-9.573762,17347,0.057872,1.86,1.18684,-36.809,0656.52148.462,1.85455,Sa,3.0,Sb,NoE
10.91154,-9.522396,15068,0.050043,1.81,0.77243,-20.148,0655.52162.628,4.76923,Sdm,4.0,Sc,SFG
10.92852,-9.125459,16403,0.054633,1.81,1.61003,-20.603,0656.52148.371,1.18333,S0,3.0,Sb,NoE
10.93323,-9.073021,14830,NA,1.9,1.89429,-19.887,No_SDSS_Spec,4.75,Sdm,4.0,Sc,UNK
10.972575,-9.537357,16514,0.055096,2.03,0.7898,-19.474,0656.52148.463,2.96364,Sb,3.0,Sb,NoE
10.97418,-8.962656,16441,0.054832,2.22,1.5901,-18.977,0656.52148.364,2.35833,Sa/Sb,3.0,Sb,NoE
10.97952,-9.728811,16778,0.055809,2.42,0.52918,-20.448,0656.52148.235,1.07,S0,0.7,E/S0,NoE
11.00943,-9.726333,16925,0.056293,2.5,0.33067,-20.109,0655.52162.638,1.13333,S0,0.7,E/S0,NoE
11.01717,-9.684804,14892,NA,2.43,0.92639,-18.382,No_SDSS_Spec,4.23077,Sc/Sdm,5.5,Sdm/Im,UNK
11.07231,-9.643737,16495,NA,2.53,0.92639,-18.41,No_SDSS_Spec,3.91667,Sc,4.0,Sc,UNK
11.076675,-9.048582,17039,0.057365,2.4,2.26773,-20.415,0656.52148.365,0.742857,E/S0,2.0,Sa,TO
11.07858,-9.528787,16692,0.055796,2.37,0.94086,-19.161,0656.52148.478,2.42,Sa/Sb,3.0,Sb,NoE
11.164515,-9.702679,17095,0.056673,2.92,0.92639,-19.353,0656.52148.493,2.69,Sa/Sb,3.0,Sb,NoE
