RA,Dec,Vel,z,Cl_d,Delta,Rf,plt.mjd.fiber,M(parn),M(ave),M(IPn),M(IP),Act
10.242195,-8.946506,16121,0.053668,1.51,1.05683,-19.739,0655.52162.539,1.02,S0,1.0,S0,NoE
10.245375,-9.971888,16055,NA,2.53,1.4948,63.19,No_SDSS_Spec,2.0875,Sa,1.0,S0,UNK
10.246215,-8.999512,16946,0.056555,1.34,0.89347,-19.903,0655.52162.534,1.57,S0/Sa,2.0,Sa,NoE
10.25781,-9.209226,16199,0.053934,0.8,0.89868,-21.365,0655.52162.492,0.3,E,1.0,S0,LLA
10.259655,-8.854499,17038,0.056752,1.77,0.45976,-19.193,0655.52162.527,1.29,S0/Sa,1.0,S0,NoE
10.273155,-9.192139,16673,NA,0.78,2.00081,-21.48,No_SDSS_Spec,0.416667,E,0.3,E,UNK
10.27488,-9.017866,16846,NA,1.23,0.3817,-18.774,No_SDSS_Spec,1.39,S0/Sa,1.0,S0,UNK
10.27719,-9.29693,17462,0.058228,0.66,0.22467,-20.864,0655.52162.494,0.785714,E/S0,1.0,S0,NoE
10.27956,-9.448127,14187,0.047354,0.84,1.86331,-19.268,0655.52162.499,2.07778,Sa,1.0,S0,NoE
10.293195,-9.250293,18293,NA,0.63,2.34655,-19.102,No_SDSS_Spec,3.63846,Sb/Sc,2.5,Sa/Sb,UNK
10.296345,-9.924891,17008,0.056756,2.32,1.44667,-19.083,0655.52162.188,2.16364,Sa,4.5,Sc/Sdm,NoE
10.296735,-9.871716,17752,NA,2.13,1.44667,-19.548,No_SDSS_Spec,1.32,S0/Sa,1.5,S0/Sa,UNK
10.296795,-8.837805,16711,0.055706,1.78,0.87395,-18.973,0655.52162.529,1.49167,S0/Sa,1.0,S0,NoE
10.29906,-9.171076,16130,0.053818,0.75,1.98221,-20.777,0655.52162.535,0.833333,E/S0,1.0,S0,NoE
10.30074,-9.169602,16811,0.055936,0.75,1.98221,-21.454,0656.52148.332,0.785714,E/S0,0.3,E,NoE
10.30131,-9.343174,16767,0.055943,0.59,1.04787,-19.241,0655.52162.500,1.12,S0,2.0,Sa,NoE
10.303335,-9.534438,17156,0.057177,1.01,0.54414,-21.29,0655.52162.497,1.76364,Sa,3.5,Sb/Sc,LLA
10.303785,-9.15009,15945,0.053091,0.79,0.38667,-20.74,0655.52162.532,0.642857,E/S0,1.0,S0,NoE
10.30386,-9.038145,16548,0.055209,1.11,0.41117,-20.034,0655.52162.531,0.785714,E/S0,1.0,S0,NoE
10.30563,-8.898507,18217,0.060687,1.56,1.39935,-19.271,0655.52162.524,1.43333,S0/Sa,1.0,S0,NoE
10.305735,-9.331709,16756,NA,0.57,0.52892,-18.511,No_SDSS_Spec,2.22143,Sa,1.0,S0,UNK
10.308825,-9.311265,16293,NA,0.55,0.7394,-18.453,No_SDSS_Spec,1.825,Sa,1.5,S0/Sa,UNK
10.309125,-8.931504,15146,0.050562,1.45,1.05504,-19.424,0655.52162.540,4.83333,Sdm,5.7,Im,SFG
10.320285,-9.32721,14870,NA,0.51,0.9239,-18.674,No_SDSS_Spec,2.925,Sb,1.0,S0,UNK
10.321635,-9.368249,16715,NA,0.55,2.05363,-18.939,No_SDSS_Spec,1.45385,S0/Sa,2.0,Sa,UNK
10.324545,-9.968721,16000,0.053539,2.45,1.45638,-19.46,0656.52148.313,1.94,Sa,3.0,Sb,NoE
10.32642,-8.754137,16978,0.056632,2.04,1.31825,-19.682,0655.52162.530,1.67143,S0/sa,1.0,S0,NoE
10.32663,-9.48657,17405,0.057999,0.82,1.70156,-20.142,0656.52148.350,0.8125,E/S0,2.5,Sa/Sb,NoE
10.32705,-9.077369,17931,0.059802,0.95,0.78356,-19.115,0655.52162.538,1.55833,S0/Sa,1.0,S0,NoE
10.329,-9.197064,14115,NA,0.61,3.19522,-19.077,No_SDSS_Spec,2.74167,Sa/Sb,1.0,S0,UNK
10.32918,-9.389902,14933,0.049809,0.57,1.60961,-19.452,0656.52148.351,4.69231,Sc/Sdm,4.0,Sc,SFG
10.3293,-9.573265,17475,0.058253,1.08,0.53729,-20.2,0655.52162.493,1.17143,S0,3.0,Sb,NoE
10.331475,-9.419138,16420,0.054655,0.63,1.87209,-20.505,0656.52148.352,0.8125,E/S0,1.0,S0,NoE
10.33194,-9.245349,15311,0.051111,0.51,4.25353,-19.841,0655.52162.481,1.15,S0,1.0,S0,NoE
10.332585,-9.390837,14728,NA,0.56,1.21857,-20.264,No_SDSS_Spec,2.54286,Sa/Sb,1.5,S0/Sa,UNK
10.33287,-9.283888,16621,0.055442,0.46,2.38261,-36.809,0655.52162.487,2.04286,Sa,1.0,S0,NoE
10.338825,-8.725139,16077,0.053526,2.13,1.63872,-19.565,0655.52162.525,3.34375,Sb/Sc,4.5,Sc/Sdm,SFG
10.340715,-9.328605,16240,0.054169,0.44,1.1762,-19.778,0655.52162.485,0.866667,E/S0,1.5,S0/Sa,NoE
10.34154,-9.058668,16474,NA,0.98,1.00596,-19.904,No_SDSS_Spec,0.885714,S0,1.0,S0,UNK
10.342005,-9.878084,16350,NA,2.12,1.52376,-21.996,No_SDSS_Spec,0.583333,E/S0,0.3,E,UNK
10.34406,-9.878205,16115,0.053778,2.12,1.52376,-36.809,0655.52162.187,1.94,Sa,0.7,E,NoE
10.344225,-9.309554,17634,0.058807,0.42,1.82734,-19.292,0655.52162.484,1.32222,S0/Sa,2.0,Sa,NoE
10.34592,-9.796518,17107,NA,1.83,1.63596,-21.092,No_SDSS_Spec,0.416667,E,0.3,E,UNK
10.34775,-9.868462,16371,0.05456,2.08,1.59211,-19.52,0656.52148.308,1.63333,S0/Sa,1.0,S0,NoE
10.35147,-8.700597,16890,0.056417,2.21,1.66574,-20.545,0655.52162.521,1.7125,S0/Sa,2.0,Sa,NoE
10.35609,-9.771844,16198,0.054168,1.73,1.63596,-19.73,0656.52148.309,0.833333,E/S0,1.0,S0,NoE
10.3563,-9.654366,16305,NA,1.32,1.33002,-18.101,No_SDSS_Spec,1.69091,S0/Sa,1.5,S0/Sa,UNK
10.35636,-9.39275,17045,NA,0.49,1.89593,-18.958,No_SDSS_Spec,2.46364,Sa/Sb,1.5,S0/Sa,UNK
10.36317,-9.228632,14203,0.04729,0.44,3.56928,-21.087,0655.52162.495,3.8,Sc,4.0,Sc,TO
10.36419,-9.266197,14437,0.048138,0.37,3.44163,-19.038,0656.52148.343,4.58333,Sc/Sdm,5.7,Im,SFG
10.36617,-9.391577,14838,0.049466,0.47,1.89593,-19.387,0655.52162.488,2.68182,Sa/Sb,2.0,Sa,TO
10.36824,-9.811248,16147,0.053794,1.86,1.63596,-19.911,0655.52162.174,2.50833,Sa/Sb,2.5,Sa/Sb,NoE
10.36899,-9.574086,16003,0.053328,1.03,0.69726,-21.336,0655.52162.490,1.02857,S0,3.0,Sb,NoE
10.37007,-9.232893,14023,NA,0.41,3.56928,-21.559,No_SDSS_Spec,0.8125,S0,0.3,E,UNK
10.376385,-9.262756,13416,NA,0.34,3.85678,-22.342,No_SDSS_Spec,3.25385,Sb/Sc,4.0,Sc,UNK
10.37676,-9.235175,16372,0.05491,0.39,3.56928,-21.458,0655.52162.498,0.416667,E,2.5,Sa/Sb,NoE
10.376955,-9.359058,16364,0.054522,0.36,1.86573,-20.112,0655.52162.486,0.742857,E/S0,3.0,Sb,NoE
10.37811,-9.037462,15231,0.050835,1.0,0.48448,-20.691,0655.52162.580,0.722222,E/S0,1.0,S0,NoE
10.3791,-9.298335,17087,0.057021,0.29,3.78912,-19.432,0655.52162.512,1.2,S0,3.0,Sb,NoE
10.37967,-9.19313,16239,0.053818,0.49,2.40723,-19.338,0656.52148.335,1.36667,S0/Sa,3.0,Sb,NoE
10.380195,-9.697518,16789,0.055732,1.45,1.57427,-21.048,0656.52148.356,2.08182,Sa,3.0,Sb,NoE
10.383105,-9.333981,13796,0.045999,0.3,2.53477,-21.384,0655.52162.507,2.1,Sa,2.5,Sa/Sb,LLA
10.38429,-8.744204,17064,0.056959,2.03,1.61748,-19.959,0655.52162.579,1.67143,S0/Sa,3.5,Sb/Sc,TO
10.385535,-8.81664,18019,NA,1.77,1.6122,-18.681,No_SDSS_Spec,3.25,Sb/Sc,1.0,S0,UNK
10.388625,-9.249068,17559,0.058542,0.32,3.44978,-20.854,0656.52148.348,1.02222,S0,2.5,Sa/Sb,NoE
10.38924,-9.156503,18155,0.060505,0.59,1.33627,-21.107,0656.52148.334,0.642857,E/S0,0.7,E/S0,NoE
