HIP	Vmag	RA	DE	Plx	pmRA	pmDE	e_Plx	B-V	V-I
 13357	10.48	 42.96545361	-50.41326397	  22.40	  297.35	   86.78	  1.28	 1.197	 1.33
 13359	 8.86	 42.96997744	-61.61826140	  23.36	  146.09	  132.24	  0.85	 0.851	 0.89
 13363	 6.38	 42.98401010	-30.81477504	  31.18	  122.99	  104.95	  0.69	 0.484	 0.55
 13366	 8.38	 42.99305490	 11.37105887	  15.38	   37.33	 -444.71	  1.39	 0.564	 0.64
 13374	 8.16	 43.02041803	 30.19293242	  13.46	   73.87	  -33.91	  1.03	 0.461	 0.53
 13375	 9.60	 43.02680569	 34.39175902	  70.19	  994.66	 -988.88	  1.68	 1.315	 1.52
 13388	 8.09	 43.08077811	-33.45065753	  38.45	  431.92	    8.95	  0.90	 0.827	 0.87
 13394	 6.78	 43.09408668	 63.41006580	  32.96	  177.99	 -112.31	  0.67	 0.574	 0.65
 13402	 6.05	 43.13287752	-12.76925369	  96.33	  398.11	 -189.55	  0.77	 0.862	 0.91
 13410	10.32	 43.16624567	  5.71800653	  22.84	  -78.92	 -300.21	  1.81	 1.034	 1.08
 13411	 8.51	 43.17120022	-31.56244034	  19.52	  176.41	  100.38	  1.14	 0.636	 0.70
 13431	 7.22	 43.24002345	 60.47135291	  14.23	   -3.35	   -4.73	  0.87	 0.294	 0.34
 13438	 8.38	 43.25515860	 35.63754732	  18.48	  335.08	 -189.69	  1.26	 0.790	 0.83
 13447	 8.41	 43.29355394	 61.09691555	  13.36	  -19.70	   26.43	  1.15	 0.695	 0.75
 13455	 8.12	 43.31887781	-34.48881011	  17.43	  158.96	   87.58	  0.83	 0.590	 0.66
 13456	 8.17	 43.31983089	 78.67066525	  20.68	  144.01	   24.98	  0.74	 0.686	 0.74
 13460	 9.16	 43.32647055	 60.85347536	  27.61	  125.46	  -93.99	  1.28	 1.057	 1.11
 13473	 5.93	 43.39313847	-38.43708698	  16.83	   58.88	   34.27	  0.61	 0.437	 0.51
 13476	 7.21	 43.39482553	 -7.75013879	  16.69	  -42.59	  -62.68	  1.07	 0.415	 0.48
 13490	 5.34	 43.42740906	 38.33767914	  13.87	   47.62	  -78.48	  0.86	 0.423	 0.49
 13498	 7.70	 43.46275848	-44.60579733	  14.84	  106.04	   55.90	  1.13	 0.648	 0.71
 13508	 8.66	 43.49705810	-49.36170639	  20.56	   87.89	   98.16	  0.83	 0.672	 0.73
 13511	 7.23	 43.50404970	-64.90004388	  14.72	  108.50	   73.38	  0.58	 0.455	 0.52
 13513	 8.23	 43.51005944	-35.90426384	  33.83	  515.91	 -173.95	  0.98	 0.933	 1.04
 13528	 6.88	 43.55814132	 42.58898511	  19.45	  199.01	  -83.58	  1.04	 0.537	 0.61
 13536	 6.61	 43.58274885	-55.87936029	  17.36	   46.02	   61.27	  0.49	 0.374	 0.44
 13564	 7.55	 43.68045588	-21.19529687	  16.71	  -49.21	  -88.05	  0.87	 0.434	 0.50
 13569	 6.90	 43.70643981	-33.52489584	  13.89	   14.36	   15.84	  0.73	 0.261	 0.29
 13588	 8.75	 43.76377357	 61.91048512	  20.07	  -21.57	  -13.96	  1.15	 0.717	 0.77
 13589	 8.66	 43.77001343	 21.59539005	  16.01	  146.33	  -99.03	  1.24	 0.660	 0.72
 13594	 8.33	 43.78824394	 -7.99589450	  29.14	  203.00	  -14.93	  1.12	 0.735	 0.78
 13600	 8.83	 43.81754922	 17.89174217	  18.89	  117.79	  -13.20	  1.29	 0.704	 0.76
