HIP	Vmag	RA	DE	Plx	pmRA	pmDE	e_Plx	B-V	V-I
     2	 9.27	  0.00379737	-19.49883745	  21.90	  181.21	   -0.93	  3.10	 0.999	 1.04
     7	 9.64	  0.02254891	 20.03660216	  17.74	 -208.12	 -200.79	  1.30	 0.740	 0.79
    25	 6.28	  0.07936537	-44.29029741	  13.74	   58.36	 -108.64	  0.98	 0.763	 0.80
    38	 8.65	  0.11104694	-79.06183133	  23.84	  162.30	  -62.40	  0.78	 0.778	 0.81
    45	 9.59	  0.13420453	-72.20271031	  15.10	  -37.20	   -2.78	  1.92	      	
    50	 6.49	  0.14287059	-53.09766277	  16.89	   52.98	  -20.52	  0.80	 0.616	 0.68
    55	 7.40	  0.15783323	-66.68310336	  14.66	  162.88	  -28.82	  0.98	 0.551	 0.62
    57	 8.27	  0.16828557	-69.67580068	  33.89	  -40.97	  -67.59	  0.79	 0.863	 0.88
    58	 7.05	  0.17376341	 62.17600484	  26.06	  -46.95	  -43.90	  0.67	 0.520	 0.59
    68	 8.79	  0.20063628	 16.98896499	  31.80	  -99.69	 -315.90	  1.17	 0.940	 0.99
    74	 9.93	  0.22187281	 35.75272213	  24.22	  157.73	  -40.31	  1.36	 1.068	 1.03
    80	 8.40	  0.24179216	-11.82353722	  15.59	  419.04	  -82.83	  1.43	 0.566	 0.64
    81	 8.57	  0.24386443	 -4.93211471	  23.43	 -184.70	 -172.67	  1.28	 0.642	 0.71
    84	 9.61	  0.25180722	 27.88634368	  18.90	  225.55	   -5.46	  1.33	 0.852	 0.90
    93	 8.12	  0.29222255	 -0.07592034	  16.74	   54.94	  -73.28	  1.28	 0.619	 0.69
    96	10.46	  0.30489357	 13.97474826	  19.83	   20.59	  139.82	  5.16	 1.360	 1.59
   110	 8.61	  0.34870816	 39.61081788	  20.42	  -29.92	  -41.34	  1.91	 0.787	 0.82
   122	 4.78	  0.39937928	-77.06529438	  14.77	  -56.52	 -176.95	  0.47	 1.254	 1.26
   128	 6.50	  0.41376473	 73.61187664	  15.20	   75.54	  -12.36	  0.63	 0.182	 0.20
   135	 8.64	  0.42674592	 -0.21749947	  20.10	   20.73	 -114.08	  1.22	 0.620	 0.69
   142	 7.33	  0.45374866	 66.30600204	  16.04	    4.74	   12.31	  0.69	 0.730	 0.78
   143	10.35	  0.45518210	 21.46213750	  20.05	  177.97	  150.19	  1.64	 1.033	 1.08
   159	 6.93	  0.51081115	 -2.76616306	  16.92	   39.33	   -3.17	  0.81	 0.292	 0.33
   169	 9.24	  0.53502093	-68.28020594	  63.03	  207.45	 -231.80	  1.98	 1.390	 1.65
   171	 5.80	  0.54018776	 27.08448905	  80.63	  778.59	 -918.72	  3.03	 0.690	 0.82
   179	 6.90	  0.56886229	-13.40751554	  14.91	  261.21	   32.13	  0.90	 0.534	 0.61
   184	 8.48	  0.58977565	 11.00634091	  29.75	   -2.65	  -43.21	  1.21	 0.888	 0.89
   194	 5.70	  0.62398938	  8.48557854	  26.53	  -93.55	  -47.50	  0.77	 0.315	 0.36
   223	 7.17	  0.69641117	  2.13037640	  21.58	   62.25	  -91.23	  1.65	 0.617	 0.69
   238	 6.25	  0.73927410	-20.04607402	  16.16	  100.38	   78.95	  0.96	 0.526	 0.60
   246	 9.73	  0.76368704	 56.73318400	  18.29	  177.58	   46.91	  1.56	 0.990	 1.03
   276	 7.49	  0.85791177	 20.66591788	  15.55	   57.24	 -159.75	  0.95	 0.636	 0.70
   277	 6.96	  0.85927886	-36.25120504	  15.84	   72.54	    5.06	  0.81	 0.353	 0.41
   290	 7.78	  0.90411412	-31.09403248	  15.26	   93.72	  -42.84	  1.03	 0.563	 0.64
   296	 8.24	  0.92207847	-28.39584776	  25.29	  280.23	 -143.11	  1.11	 0.780	 0.82
   301	 4.55	  0.93488487	-17.33597002	  14.31	   28.57	   -7.28	  0.92	-0.047	-0.03
   305	 7.66	  0.97206281	-28.39376930	  20.44	   88.62	  -17.68	  0.96	 0.741	 0.79
   306	 8.59	  0.97473996	-57.83035720	  14.36	  150.24	  -58.93	  2.44	 0.616	 0.68
   308	 7.09	  0.98353978	 14.37891704	  13.90	   79.34	  -21.72	  0.84	 0.303	 0.35
   325	 8.56	  1.04362757	 39.12012608	  14.48	  110.39	  -92.11	  1.07	 0.615	 0.68
   340	 8.11	  1.07383315	-43.98832631	  14.91	    5.43	  -53.62	  1.01	 0.484	 0.56
   348	 8.60	  1.08880039	 12.95705512	  16.79	  317.80	   97.64	  1.13	 0.640	 0.70
   350	10.37	  1.09930910	-57.32287483	  21.14	  -36.89	   74.23	  1.62	 1.100	 1.06
   351	 9.80	  1.10262290	-47.06812971	  22.52	  293.22	   33.72	  1.48	 0.855	 0.90
   359	 9.09	  1.14426919	-76.87353696	  17.09	  177.47	  -15.22	  0.88	 0.639	 0.70
   394	 6.09	  1.22172791	 34.65955259	  27.18	  769.11	  100.49	  4.30	 0.632	 0.73
   400	 7.82	  1.23366004	 23.26964739	  39.06	  382.15	   -7.45	  0.93	 0.755	 0.80
   404	 7.47	  1.23961728	 45.67395209	  14.53	   17.18	  -65.33	  1.21	 0.550	 0.62
   407	 8.13	  1.24427458	-70.21220744	  22.09	   52.32	  -97.72	  0.71	 0.710	 0.76
   413	 7.73	  1.26034142	-36.01527326	  19.78	  210.16	   62.72	  0.87	 0.537	 0.61
   420	 7.53	  1.28166779	-52.15142338	  23.90	 -110.55	 -130.74	  0.85	 0.577	 0.65
   425	 8.14	  1.29047896	-62.84527102	  14.25	   61.96	   20.91	  0.83	 0.593	 0.66
   428	 9.95	  1.29233645	 45.78693438	  86.98	  869.68	 -151.13	  1.41	 1.472	 1.91
   436	 8.49	  1.32445343	-67.83122670	  62.48	 -117.19	 -560.77	  0.82	 1.076	 1.20
   443	 4.61	  1.33394073	 -5.70783255	  25.38	   -8.29	   88.19	  1.05	 1.029	 1.04
   439	 8.56	  1.33455564	-37.35168110	 229.33	 5634.07	-2337.94	  1.08	 1.462	 2.13
   459	 8.82	  1.36813317	-61.22566452	  18.57	   82.34	  -77.70	  0.95	 0.666	 0.73
   460	 9.13	  1.36976446	 22.22467477	  22.20	  169.54	  -75.17	  1.14	 0.735	 0.78
   462	 7.13	  1.37961808	 -9.61729691	  19.81	   92.83	  -71.33	  0.94	 0.446	 0.52
   473	 8.20	  1.41782275	 45.81245496	  85.10	  878.73	 -153.87	  2.74	 1.410	 1.70
   475	 8.22	  1.42333268	 58.31365552	  21.03	   65.98	 -162.94	  1.06	 0.636	 0.70
   490	 7.51	  1.46861724	-41.75288210	  24.85	   97.62	  -76.40	  0.92	 0.595	 0.67
   493	 7.45	  1.47850515	 18.23536692	  26.24	 -150.87	 -149.70	  0.82	 0.596	 0.67
   495	 8.58	  1.48151411	 18.07622626	  25.77	 -149.96	 -147.27	  2.07	 0.920	 0.96
   518	 5.98	  1.56474395	 58.43668966	  49.30	  247.36	   17.77	  1.05	 0.687	 0.74
   522	 5.70	  1.57776340	-49.07509405	  39.00	  575.21	  -39.94	  0.64	 0.519	 0.58
   544	 6.07	  1.65221045	 29.02193518	  72.98	  379.94	 -178.34	  0.75	 0.752	 0.80
   560	 6.19	  1.70843563	-23.10742543	  25.59	   97.30	  -47.09	  0.75	 0.386	 0.45
   569	 8.23	  1.72480379	 -3.62572272	  18.71	 -123.77	 -222.42	  1.05	 0.580	 0.65
   577	 9.61	  1.75224377	 32.87028504	  15.97	  176.90	  -76.84	  1.47	 0.761	 0.80
   599	 8.23	  1.81427471	-41.88961116	  17.18	  -63.89	   18.52	  1.00	 0.599	 0.67
   601	 9.14	  1.82562487	 20.96559758	  17.98	    4.66	 -218.76	  2.35	 0.740	 0.79
   606	 7.06	  1.84336535	-25.35632439	  20.63	  210.67	 -133.54	  0.91	 0.463	 0.53
   616	 8.70	  1.88473813	-23.81894320	  30.76	  319.74	   92.09	  1.21	 0.798	 0.84
   641	 7.82	  1.96614972	 55.57701937	  21.83	  203.33	    8.74	  0.84	 0.610	 0.68
   669	 7.04	  2.06820906	-14.82446576	  36.18	  -12.43	  -10.72	  1.02	 0.624	 0.69
   677	 2.07	  2.09653333	 29.09082805	  33.60	  135.68	 -162.95	  0.73	-0.038	-0.10
   682	 7.59	  2.10705914	  6.61680730	  25.15	   87.26	   -0.90	  0.97	 0.626	 0.69
   691	 7.78	  2.12551099	 52.33640337	  14.43	   79.72	   22.32	  0.96	 0.358	 0.42
   699	 6.21	  2.17092314	 36.62742794	  30.26	 -114.72	 -124.60	  0.69	 0.504	 0.58
   705	 8.41	  2.19740240	 86.78789828	  16.24	  331.45	   -6.63	  0.70	 0.588	 0.66
   723	 8.57	  2.23740813	 66.45664771	  31.34	  174.82	    5.96	  2.10	 0.885	 0.89
   726	 7.72	  2.24830416	-39.73711336	  18.22	  113.13	  -18.80	  0.95	 0.620	 0.69
   737	 6.93	  2.26490408	 40.84327725	  16.09	  126.00	 -171.99	  0.75	 0.800	 0.93
   746	 2.28	  2.29204036	 59.15021814	  59.89	  523.39	 -180.42	  0.56	 0.380	 0.40
   753	 9.33	  2.31118231	 32.47666637	  17.75	  133.54	  -83.23	  1.21	 0.812	 0.84
   754	 7.78	  2.31514306	 25.28231728	  22.07	  174.95	 -146.75	  2.31	 0.680	 0.74
   755	 7.02	  2.31906353	 65.07079864	  17.03	  128.28	   38.30	  0.69	 0.932	 0.93
   759	 7.07	  2.33100682	 17.53423872	  19.28	    4.44	 -130.47	  0.79	 0.644	 0.71
   761	 5.42	  2.33758620	-27.98790390	  14.57	   72.57	   -9.99	  1.34	 0.414	 0.48
   765	 3.88	  2.35224949	-45.74698836	  23.28	  122.15	 -180.13	  0.98	 1.013	 1.00
   768	 7.94	  2.36659201	 19.11569982	  13.80	  276.80	   38.24	  1.30	 0.660	 0.72
   772	 8.52	  2.37791300	-34.11077214	  16.26	  -16.34	  -37.18	  0.98	 0.687	 0.74
   787	 9.53	  2.43155816	-31.82493921	  23.86	  404.05	 -232.85	  1.59	 0.965	 1.01
   791	 8.57	  2.45189211	-40.89264320	  13.92	  135.91	 -119.62	  1.11	 0.644	 0.71
   794	 8.84	  2.45885362	-33.78868219	  17.08	  -68.90	 -140.78	  1.86	 0.833	 0.85
   795	 8.64	  2.46506329	  8.45319673	  14.21	   56.25	  -11.26	  4.23	 0.716	 0.77
   801	 8.32	  2.47045485	-50.26778193	  18.80	  -95.65	  -16.64	  1.05	 0.595	 0.67
   814	 5.29	  2.50945435	-82.22399743	  13.45	  -21.66	  -20.39	  0.50	 1.049	 0.98
   840	 5.84	  2.57853868	 -5.24851713	  18.18	   34.98	  -29.01	  0.92	 0.973	 0.93
   846	 8.92	  2.59569702	-13.98412856	  13.53	  180.98	   71.53	  1.28	 0.578	 0.65
   862	 9.94	  2.65641131	-49.28139379	  13.51	   15.68	  -42.51	  2.44	      	
   865	 6.66	  2.65962298	-73.22443438	  15.06	  121.50	   18.57	  0.70	 0.372	 0.43
   867	 8.47	  2.66293453	 12.82027132	  15.57	   38.98	  -16.72	  1.17	 0.574	 0.65
   870	 7.51	  2.66971240	  2.05549803	  18.20	  -12.60	   18.00	  0.91	 0.503	 0.58
   873	 5.84	  2.67810574	-12.57980381	  15.35	  149.39	  -38.22	  0.74	 1.000	 1.01
   889	 8.41	  2.73299802	 48.11040510	  16.45	  168.99	    0.93	  0.95	 0.575	 0.65
   910	 4.89	  2.81628415	-15.46732287	  52.94	  -84.20	 -269.31	  0.77	 0.487	 0.59
   914	 8.60	  2.82543312	-32.80041484	  15.08	 -117.08	   -9.72	  1.10	 0.700	 0.75
   916	 9.50	  2.83702751	 58.34986270	  35.69	  233.48	   21.92	  5.14	 1.254	 1.42
   919	 7.95	  2.84289740	 30.44948927	  29.35	  210.73	   35.26	  0.95	 0.755	 0.80
   920	 8.23	  2.85187794	 23.81814771	  18.60	  -34.12	   31.52	  0.91	 0.581	 0.65
   924	 8.97	  2.87859206	-49.62920981	  20.86	  -44.77	  -36.75	  2.16	 0.807	 0.83
   929	 8.34	  2.88657321	-58.90982912	  17.00	  270.70	   -4.97	  0.82	 0.619	 0.67
   934	 9.04	  2.89853096	-57.47238652	  27.46	  135.23	  -66.87	  1.09	 0.891	 0.90
   943	 8.61	  2.90614540	 10.32845614	  20.55	  -37.34	  -50.44	  1.21	 0.643	 0.71
   948	 9.92	  2.92120675	-39.22963982	  29.15	  739.96	 -127.23	  1.54	 1.071	 1.13
   950	 5.24	  2.93286698	-35.13339606	  45.85	  169.01	  113.75	  0.66	 0.459	 0.53
   955	 9.02	  2.95060084	-17.55770035	  16.48	  101.20	   -9.22	  1.49	 0.599	 0.67
   974	 8.73	  3.01599223	 27.09915401	  38.88	  283.48	  -82.45	  1.22	 1.045	 1.10
   975	 7.62	  3.02160438	-58.52479986	  17.21	   66.87	 -150.80	  0.76	 0.758	 0.80
   996	 8.18	  3.11749211	 20.23439937	  19.39	  216.41	  -22.17	  1.00	 0.669	 0.73
   999	 8.44	  3.12549160	 14.56369614	  24.69	  321.76	  -71.31	  1.20	 0.739	 0.79
  1000	 8.73	  3.12556151	-22.06708268	  15.32	  215.67	  -96.10	  1.34	 0.707	 0.76
  1003	 8.66	  3.13675616	-30.85929019	  21.09	  -13.63	 -225.06	  1.23	 0.743	 0.79
  1013	 7.95	  3.16145690	-26.85334216	  15.34	  267.83	  115.26	  0.99	 0.945	 0.99
  1022	 9.85	  3.18764257	  4.97584483	  15.90	  -90.95	 -219.20	  1.78	 0.939	 0.99
  1026	 6.63	  3.19984759	 46.09543717	  18.06	   94.57	  -13.25	  0.76	 0.402	 0.47
  1031	 7.22	  3.20991289	-57.91269485	  49.18	 -117.31	   35.09	  0.78	 0.775	 0.82
  1055	10.41	  3.28763586	 20.38241602	  24.96	  223.65	    5.88	  2.95	 1.360	 1.59
  1058	 7.57	  3.29159465	-43.06516969	  14.72	   70.01	   -0.85	  0.86	 0.453	 0.52
  1078	 9.86	  3.35151982	 19.07164311	  28.30	  442.30	 -124.87	  1.48	 1.190	 1.32
  1085	 9.05	  3.37844842	-40.35838520	  30.00	  123.21	   50.14	  1.25	 0.913	 0.96
  1086	 5.71	  3.37889713	 41.03572671	  28.57	 -122.76	 -146.91	  0.74	 0.331	 0.39
  1113	 8.76	  3.47011668	-74.68817231	  22.86	   84.14	  -47.52	  0.87	 0.743	 0.79
  1114	 7.15	  3.47070071	-56.99978872	  14.45	  106.42	   44.93	  0.76	 0.513	 0.59
  1119	 9.42	  3.49998896	-10.95370289	  24.14	  173.49	   12.28	  1.58	 0.962	 1.01
  1128	 8.36	  3.51761320	-11.31111824	  23.68	  423.96	 -192.91	  1.19	 0.645	 0.71
  1134	 7.32	  3.54247339	 -7.19896207	  21.66	  102.84	  -66.51	  1.17	 0.521	 0.59
  1137	 8.08	  3.55448927	 35.41805038	  13.44	    9.29	   13.86	  0.89	 0.461	 0.53
  1140	 6.66	  3.56129370	-55.06959061	  21.62	   -2.89	  -29.25	  0.68	 0.462	 0.53
  1144	 7.42	  3.58425700	-27.53107904	  20.23	  -28.31	 -144.53	  1.20	 0.640	 0.70
  1147	 6.89	  3.58685990	-21.19639424	  18.19	  -73.81	 -233.62	  0.90	 0.502	 0.57
  1148	 8.51	  3.58886546	 60.34163069	  22.51	  182.08	   27.46	  1.49	 0.730	 0.78
  1173	 9.18	  3.66271500	-39.79415833	  13.85	   45.25	  -48.74	  1.37	 0.657	 0.72
  1187	10.04	  3.70741484	-28.98739664	  13.96	   76.94	   13.03	  1.97	 0.840	 0.88
  1197	 7.58	  3.74665664	  8.81833793	  15.91	  103.38	  -27.34	  3.90	 0.396	 0.45
  1206	 8.57	  3.76898965	-68.53023276	  22.90	   47.78	   54.59	  0.93	 0.695	 0.75
  1274	 8.57	  3.99933459	 -9.47948877	  13.96	   33.80	  -30.94	  1.25	 0.568	 0.64
  1275	 9.76	  4.00005536	-22.42144969	  19.25	  220.90	  -60.12	  1.67	 0.740	 0.79
  1290	 9.35	  4.04350921	-27.77814247	  13.79	 -189.96	  -72.62	  1.38	 0.655	 0.72
  1292	 6.59	  4.04683817	-79.85104079	  56.76	  433.87	  -57.95	  0.53	 0.749	 0.79
  1294	 8.79	  4.04772248	 30.53248386	  23.91	  192.81	   38.43	  1.17	 0.965	 1.01
  1297	 8.92	  4.06050132	 35.17799696	  14.92	  157.65	  132.48	  0.97	 0.718	 0.77
  1306	 7.90	  4.09768809	-22.58791845	  13.71	   18.94	  -39.74	  1.21	 0.673	 0.73
  1334	10.01	  4.17970185	 20.85666251	  23.92	  383.12	   13.01	  1.54	 0.950	 1.00
  1347	 8.67	  4.21891882	 81.66369004	  30.00	   -4.38	  -21.96	  0.82	 0.855	 0.87
  1349	 6.84	  4.22329974	-52.65159230	  43.45	  314.94	  182.50	  1.19	 0.655	 0.76
  1350	 8.94	  4.22410680	 -7.19198605	  15.06	  125.44	   -1.96	  1.47	 0.625	 0.69
  1351	 9.23	  4.22489310	-15.47419000	  13.42	   25.95	  -23.61	  1.36	 0.557	 0.63
  1368	 8.99	  4.27473316	 40.94809407	  66.71	  567.93	   82.78	  1.12	 1.370	 1.61
  1382	 7.96	  4.31752626	-43.85269422	  27.32	  397.79	  -16.19	  0.84	 0.651	 0.70
  1392	 6.66	  4.35209754	  8.87633388	  15.31	   75.32	   75.53	  1.35	 0.589	 0.66
  1402	 6.46	  4.38621007	-19.05108585	  20.47	   20.45	   -2.36	  0.89	 0.386	 0.45
  1408	10.42	  4.41138633	-52.80123958	  17.10	  156.94	   97.21	  1.77	 0.998	 1.04
  1411	 9.09	  4.41861908	 37.53787056	  14.58	 -171.24	  -94.23	  1.15	 0.635	 0.70
  1420	10.43	  4.44599594	 -3.27426689	  17.00	  106.06	 -102.42	  2.22	 1.000	 1.04
  1427	 7.21	  4.45769929	 16.33108213	  21.66	  220.65	  -28.23	  0.87	 0.477	 0.55
  1437	 8.88	  4.47693979	  0.37758269	  16.24	  329.20	   97.87	  1.26	 0.542	 0.62
  1442	 9.94	  4.49036207	 40.22750372	  16.75	  -34.35	 -227.61	  1.48	 0.820	 0.86
  1444	 6.51	  4.49430346	-13.45563887	  38.24	  396.98	   -0.60	  0.85	 0.599	 0.67
  1468	 8.94	  4.57680139	 19.40442348	  14.05	  -16.33	   -4.86	  1.13	 0.570	 0.64
  1473	 4.51	  4.58210555	 36.78532730	  23.11	  -66.51	  -42.48	  0.68	 0.054	 0.06
  1475	 8.09	  4.58559067	 44.02195597	 280.27	 2888.92	  410.58	  1.05	 1.560	 2.48
  1481	 7.46	  4.60835719	-63.47735107	  24.42	   90.37	  -58.98	  0.68	 0.537	 0.61
  1487	 7.47	  4.62305316	-46.53212647	  15.08	  -67.33	   11.05	  0.88	 0.468	 0.54
  1499	 6.47	  4.67342336	 -8.05265094	  42.67	  417.66	 -144.20	  0.85	 0.674	 0.71
  1500	 8.36	  4.67487484	-29.95688954	  16.71	  108.75	   -1.85	  0.99	 0.591	 0.66
  1532	 9.90	  4.77326587	 -9.96411989	  48.17	  -37.06	 -301.98	  1.73	 1.318	 1.52
  1541	 8.19	  4.80326792	 13.57727485	  14.21	   10.11	 -110.77	  1.07	 0.657	 0.72
  1552	 8.12	  4.83911575	-40.12056208	  18.95	   58.10	 -257.95	  0.99	 0.661	 0.72
  1573	 7.03	  4.90192752	 -7.22367560	  21.59	   24.21	 -142.03	  0.98	 0.508	 0.58
  1572	 8.75	  4.90202857	-69.10282386	  14.55	   -2.33	  -19.39	  0.84	 0.594	 0.66
  1582	 7.97	  4.95319310	-60.91218601	  16.31	  141.02	    5.48	  0.82	 0.552	 0.62
  1598	 6.97	  5.00213822	 38.22806865	  40.25	 -140.89	 -276.39	  0.81	 0.640	 0.70
  1599	 4.23	  5.00797581	-64.87762320	 116.38	 1707.56	 1165.36	  0.64	 0.576	 0.65
  1613	 9.83	  5.04614172	-55.99399669	  14.46	   20.61	   -0.02	  1.29	 0.837	 0.88
  1623	 7.87	  5.07095779	-77.22264886	  19.35	  -48.80	   19.72	  0.69	 0.552	 0.62
  1625	 8.50	  5.07658522	-32.76912947	  19.39	  252.56	  -84.34	  1.62	 0.714	 0.77
  1654	 9.14	  5.18532728	-15.66720786	  17.37	 -180.18	 -137.65	  1.26	 0.725	 0.77
  1669	 6.90	  5.22549183	 32.97816304	  14.00	   10.09	  -64.80	  1.32	 0.478	 0.55
  1674	 7.91	  5.23788452	 67.66729201	  31.49	   20.42	   73.82	  1.51	 0.815	 0.84
  1686	 5.16	  5.28010785	 37.96869954	  20.42	   58.32	  -39.65	  0.73	 0.442	 0.51
  1687	10.06	  5.28324472	 20.58754511	  18.33	  288.39	 -232.12	  1.49	 0.960	 1.01
  1696	10.41	  5.33150549	-45.74443728	  55.68	   70.29	 -815.44	  2.02	 1.475	 1.92
  1704	 7.73	  5.35700589	 28.32616929	  14.99	  -18.74	   21.91	  0.95	 0.419	 0.49
  1719	 9.65	  5.39830258	-66.47672144	  23.22	  255.13	  161.13	  1.02	 0.835	 0.88
  1723	 9.71	  5.41571102	-47.17771270	  19.82	  158.00	   64.58	  2.27	 1.036	 1.09
  1732	 7.40	  5.46832989	-23.00769985	  13.41	  133.24	 -115.04	  1.50	 0.631	 0.70
  1736	 7.57	  5.48870262	 16.87708993	  16.04	   70.97	  -61.68	  0.88	 0.480	 0.55
  1742	 9.31	  5.51223118	-38.69924966	  13.63	  206.37	  -76.00	  1.25	 0.733	 0.78
  1745	 9.42	  5.51718620	-24.94445082	  18.00	 -104.83	 -221.08	  1.45	 0.704	 0.75
  1746	 8.93	  5.51774848	-26.70947231	  16.39	  411.11	   56.42	  1.48	 0.677	 0.74
  1768	 8.30	  5.59779902	-27.03160232	  44.57	  212.89	 -399.85	  7.12	 0.888	 0.96
  1779	 8.59	  5.64495308	-73.03224385	  22.53	   -8.25	  -45.85	  0.91	 0.769	 0.81
  1803	 6.39	  5.71480399	-12.20958506	  49.05	  394.27	   60.45	  0.91	 0.659	 0.70
  1807	 9.83	  5.73599468	-52.52522409	  22.93	  114.70	 -474.54	  1.42	 0.848	 0.89
  1813	 7.57	  5.75033827	 22.37553791	  24.68	  202.95	 -220.85	  0.90	 0.639	 0.70
  1823	 7.88	  5.77034239	-65.12101551	  21.66	 -103.00	  -52.69	  1.22	 0.579	 0.65
  1837	 8.74	  5.81659898	-33.16783230	  44.97	  -34.61	  126.26	  1.15	 1.075	 1.14
  1841	 9.91	  5.82475507	  0.16365915	  16.99	  313.61	   18.59	  1.53	 0.914	 0.96
  1871	 8.68	  5.91313965	 43.64723639	  22.65	  180.73	  102.82	  1.16	 0.709	 0.76
  1892	 6.57	  5.97214938	 60.96163429	  18.64	 -112.27	  -91.00	  0.69	 0.380	 0.44
  1893	 8.72	  5.98508050	-14.34641535	  19.26	   78.32	  -12.64	  1.23	 0.730	 0.78
  1897	 9.69	  5.99544109	 18.12092114	  17.09	 -252.20	 -192.54	  1.37	 0.880	 0.92
  1899	 7.42	  5.99792938	-17.81045389	  15.90	  108.92	   36.35	  0.97	 0.510	 0.58
  1914	 8.30	  6.05560073	-75.67920933	  14.60	    7.32	  -84.19	  0.75	 0.619	 0.69
  1933	 9.56	  6.09100626	-24.84827512	  20.81	  293.05	 -223.17	  1.49	 0.904	 0.95
  1936	 7.92	  6.10623866	-27.02697608	  55.53	  667.39	   83.92	  1.08	 0.940	 0.99
  1937	 8.81	  6.11086061	-78.25037355	  14.84	    4.86	   -4.10	  0.83	 0.708	 0.76
  1954	 7.27	  6.17641442	-53.98392993	  36.15	  209.71	  -27.93	  0.80	 0.681	 0.74
  1955	 6.81	  6.18462337	-51.04324736	  28.91	  545.60	 -254.89	  0.73	 0.596	 0.67
  1976	 7.57	  6.25639070	-30.69702511	  20.45	 -165.95	 -277.80	  1.08	 0.616	 0.68
  1978	 9.61	  6.26681860	 45.68902231	  23.77	  267.78	 -105.47	  1.31	 1.060	 1.12
  1987	 7.52	  6.28540806	 48.04745932	  23.69	  274.31	   11.16	  1.08	 0.629	 0.70
  1989	 7.89	  6.29567764	 16.99205716	  15.77	   86.19	  -60.97	  0.82	 0.538	 0.61
  2021	 2.82	  6.41334183	-77.25503511	 133.78	 2220.12	  324.37	  0.51	 0.618	 0.68
  2028	 8.37	  6.43047312	-50.83812542	  13.82	  148.20	   16.95	  2.56	 0.402	 0.47
  2039	 9.25	  6.46969267	  6.53144491	  17.45	  129.62	 -183.63	  1.56	 0.838	 0.88
  2066	 8.25	  6.53600426	-11.37688604	  16.21	   61.71	  -34.24	  1.02	 0.583	 0.65
  2072	 3.93	  6.55048418	-43.67990933	  42.51	  106.14	   32.83	  0.69	 0.175	 0.20
  2081	 2.40	  6.57028075	-42.30512197	  42.14	  232.76	 -353.64	  0.78	 1.083	 1.11
  2102	10.05	  6.66796380	 30.19982954	  22.32	  254.07	 -153.71	  1.59	 1.000	 1.04
  2107	 8.75	  6.68487272	-49.47420151	  14.90	  114.65	   38.30	  1.07	 0.576	 0.65
  2128	 9.66	  6.74789021	 37.28355547	  17.16	  314.83	 -196.55	  1.47	 0.703	 0.76
  2131	 8.92	  6.75751592	 60.40253424	  14.38	  147.00	  114.56	  1.05	 0.643	 0.71
  2136	 9.50	  6.77197154	-36.56647579	  18.10	  -40.92	    9.45	  1.47	 0.931	 0.98
  2137	10.30	  6.77291014	-70.24850054	  16.04	  371.53	   37.82	  1.27	 0.967	 1.01
  2143	 8.09	  6.78245063	 -7.87604519	  18.36	  -32.98	   21.03	  2.75	 0.730	 0.78
  2174	 7.56	  6.86103160	 26.27896981	  16.49	   70.67	  -70.34	  1.14	 0.585	 0.66
  2177	 7.73	  6.87494216	-31.82825252	  13.47	   72.39	   26.10	  0.89	 0.401	 0.47
  2190	 7.20	  6.91789141	-16.40952353	  13.54	  199.44	   33.27	  1.10	 0.498	 0.57
  2194	 9.02	  6.93039386	-32.38721604	  21.72	  328.21	 -104.69	  1.37	 0.745	 0.79
  2235	 6.05	  7.08346734	 10.19034140	  27.51	   32.79	 -203.14	  0.86	 0.447	 0.52
  2237	 6.44	  7.08820670	-20.33477667	  31.01	 -118.11	 -112.69	  0.87	 0.594	 0.62
  2239	 7.10	  7.11006492	-29.28464781	  17.88	   40.07	  -43.96	  0.90	 0.500	 0.57
  2246	 6.86	  7.13813952	-11.23721888	  15.86	   98.96	  -10.24	  0.89	 0.535	 0.61
  2247	 9.62	  7.14384042	-16.22578934	  26.64	 -354.87	 -228.26	  1.40	 1.128	 1.21
  2273	 9.25	  7.26340982	-27.39184214	  15.85	  178.76	   26.62	  1.35	 0.864	 0.91
  2282	 8.46	  7.29211933	-50.61157574	  20.60	  340.61	 -136.13	  1.06	 0.748	 0.79
  2292	 7.78	  7.31739732	 -5.90995058	  17.88	 -113.02	 -220.86	  0.97	 0.649	 0.71
  2305	 7.95	  7.34814782	 40.84182236	  17.20	  -18.06	  -61.31	  0.89	 0.691	 0.75
  2311	 9.34	  7.36855475	-11.01701602	  22.77	  214.83	  -57.80	  1.50	 0.840	 0.88
  2318	 8.82	  7.38934534	-35.82361414	  15.28	  -59.48	  -23.93	  1.18	 0.602	 0.67
  2326	 7.90	  7.42518534	 30.16420187	  14.45	   15.66	   71.83	  1.11	 0.494	 0.57
  2327	10.11	  7.42764334	 20.30144884	  20.25	   27.94	  -16.39	  4.43	 0.570	 0.64
  2337	 6.15	  7.46586901	-14.86402653	  23.62	  147.08	  -33.98	  0.87	 0.388	 0.44
  2343	 7.46	  7.48020106	 -1.11755497	  14.05	  149.73	  -79.45	  0.90	 0.353	 0.41
  2350	 9.44	  7.49972822	 -5.76345720	  18.62	 -107.08	 -224.06	  1.35	 0.886	 0.93
  2355	 5.20	  7.53056566	 29.75169567	  17.62	   43.56	  -57.18	  0.86	 0.271	 0.31
  2358	 6.52	  7.53623440	  4.86007602	  14.87	  -18.62	   14.50	  0.90	 0.453	 0.52
