       Wave            Flux
       3511.1204       2.2179715
       3511.9290      -1.8995316
       3512.7378       1.3857361
       3513.5467      -2.7847833
       3514.3559      -4.9249075
       3515.1652      -6.5998218
       3515.9747      0.65445285
       3516.7844       6.1497512
       3517.5943      -10.974710
       3518.4043      -2.5513182
       3519.2146      -3.9827464
       3520.0250      -10.008221
       3520.8357       5.4278117
       3521.6465       2.4705071
       3522.4575      -1.4239191
       3523.2687      0.42380500
       3524.0800     0.039653883
       3524.8916       5.5332277
       3525.7034       2.2717771
       3526.5153       4.2308932
       3527.3274       5.7533590
       3528.1397      -1.5183236
       3528.9522       1.6551321
       3529.7649       4.6298101
       3530.5778      -3.2508367
       3531.3908      -3.9565276
       3532.2041       10.907160
       3533.0175       8.6356857
       3533.8311       2.2092320
       3534.6449       1.6932515
       3535.4589       2.4833351
       3536.2731      -9.5409246
       3537.0875       3.4705357
       3537.9020      -1.1529246
       3538.7168      -10.874494
       3539.5317       2.1838900
       3540.3468      -4.0819636
       3541.1622       1.1113246
       3541.9776      -2.4750411
       3542.7933      -2.7275156
       3543.6092      -3.6148976
       3544.4253       3.1556090
       3545.2415       8.1105596
       3546.0579       9.5007783
       3546.8746       5.4521044
       3547.6914      -4.2555284
       3548.5084       2.3895507
       3549.3256      -3.8763973
       3550.1429      -2.0571566
       3550.9605       2.4567662
       3551.7783      -1.3679619
       3552.5962      -10.262874
       3553.4143      -7.2075985
       3554.2326     -0.21539463
       3555.0511      -1.9596287
       3555.8698     -0.24144867
       3556.6887      -3.1774050
       3557.5078       6.6852924
       3558.3270       6.4702805
       3559.1465       8.2690174
       3559.9661      -2.2664346
       3560.7860      -4.8235086
       3561.6060       4.5816863
       3562.4262       3.9671301
       3563.2466      -2.6840517
       3564.0672       2.6445000
       3564.8879       5.1870470
       3565.7089       2.9096773
       3566.5300       1.5238918
       3567.3514      -4.2925580
       3568.1729      -6.1870786
       3568.9946      -5.8860130
       3569.8165      -2.7991401
       3570.6386       2.1370682
       3571.4609      -4.1924524
       3572.2834      -5.2486065
       3573.1060      -6.6522013
       3573.9289      -2.3275071
       3574.7519       1.8636193
       3575.5751      -2.4531624
       3576.3986      -3.0470344
       3577.2222     -0.71046069
       3578.0460      -6.2158926
       3578.8700      -5.4070865
       3579.6941       6.6847909
       3580.5185      -1.5990213
       3581.3431      -7.5625925
       3582.1678      -4.6527428
       3582.9928      -2.4325992
       3583.8179     -0.61373972
       3584.6432      -2.1165288
       3585.4687      -3.2069625
       3586.2944       2.6103195
       3587.1203       4.3890346
       3587.9464       5.8307762
       3588.7726       9.8734268
       3589.5991      -2.9141122
       3590.4258      -1.0711950
       3591.2526       6.6725444
       3592.0796       6.3320968
       3592.9068       7.5701240
       3593.7343       11.215982
       3594.5619       3.0380947
       3595.3896      0.83866881
       3596.2176     -0.21831212
       3597.0458      -5.0632754
       3597.8742       3.1845483
       3598.7027     -0.43160675
       3599.5315      0.77909619
       3600.3604       6.7237548
       3601.1895       2.7008033
       3602.0189      -4.3230429
       3602.8484      0.58457394
       3603.6781       2.6267367
       3604.5080      -2.4964496
       3605.3380      -1.3218424
       3606.1683      -1.6838511
       3606.9988      -2.2478072
       3607.8294      -2.4160683
       3608.6603      -1.8333004
       3609.4913      0.41354701
       3610.3225      0.67821867
       3611.1540      -2.4258306
       3611.9856       5.7958471
       3612.8174       3.0333835
       3613.6494     -0.98447496
       3614.4816      -4.9541750
       3615.3139      -3.9486353
       3616.1465       1.1438149
       3616.9793       1.8692134
       3617.8122      -4.6465988
       3618.6454      -8.3915035
       3619.4787      -4.3599864
       3620.3123       1.6623587
       3621.1460       4.4322564
       3621.9799       5.1587190
       3622.8140      0.14274546
       3623.6483       1.0256401
       3624.4828       4.1318173
       3625.3175       1.6939550
       3626.1523      -2.3664497
       3626.9874      -2.5498548
       3627.8227       5.6958666
       3628.6581      -1.0077322
       3629.4938       2.8502315
       3630.3296       4.8382431
       3631.1656       1.8254484
       3632.0018      -2.8344085
       3632.8383      -1.9176890
       3633.6749       2.4520022
       3634.5117       1.7238306
       3635.3487       3.6508225
       3636.1858      -1.0710620
       3637.0232       1.5501809
       3637.8608       1.6191153
       3638.6986       8.7402876
       3639.5365       2.5245768
       3640.3747      -6.9416347
       3641.2130      -2.9945891
       3642.0515       3.0115921
       3642.8903       2.1615178
       3643.7292       8.6942488
       3644.5683       3.3686902
       3645.4076       6.1425881
       3646.2471       6.9048226
       3647.0868       4.9933671
       3647.9267      -3.5282683
       3648.7668      -7.2424766
       3649.6070      -1.9263355
       3650.4475     -0.77964373
       3651.2882      -2.6676882
       3652.1290      -5.3832174
       3652.9701      -1.3104699
       3653.8113      0.73972184
       3654.6528      -1.7425043
       3655.4944     -0.13732033
       3656.3362       2.2482880
       3657.1782     -0.82716833
       3658.0204      -2.8762449
       3658.8628       2.7027364
       3659.7054       3.9379763
       3660.5482       7.4223626
       3661.3912      -8.0766791
       3662.2344      -4.3883678
       3663.0778       3.7113973
       3663.9213      -1.1262145
       3664.7651       2.4539986
       3665.6091       7.2869797
