       Wave            Flux
       3546.5449       4.6415021
       3547.3616       4.6004635
       3548.1785       3.7166265
       3548.9956       2.7946686
       3549.8129      -4.4951595
       3550.6304      0.12013345
       3551.4481       3.2039039
       3552.2660     -0.27749219
       3553.0840      -1.1866189
       3553.9023       1.0701515
       3554.7207       1.2209841
       3555.5393       3.9825671
       3556.3581       4.6957870
       3557.1771      -1.1127850
       3557.9963       2.2697443
       3558.8157     -0.76031264
       3559.6352      -2.7183422
       3560.4550      0.93205813
       3561.2749       2.2358887
       3562.0950       1.1580445
       3562.9154      -1.5717240
       3563.7359      -2.1553322
       3564.5566      -5.5736212
       3565.3774      -1.2461704
       3566.1985       2.6828949
       3567.0198       1.3124900
       3567.8412      -2.1324192
       3568.6629     -0.94870085
       3569.4847       3.2066465
       3570.3067      0.46087201
       3571.1289       3.9778018
       3571.9513      -2.2158303
       3572.7739      -2.8457370
       3573.5967      0.71099920
       3574.4196      -2.4347022
       3575.2428      0.87890990
       3576.0661       6.3448081
       3576.8897      -3.1006459
       3577.7134     -0.62907038
       3578.5373      -2.1990783
       3579.3614     -0.89615070
       3580.1857       3.5265956
       3581.0102       2.8258553
       3581.8349    -0.078713234
       3582.6597      -2.7499228
       3583.4848      -3.2045912
       3584.3100      -2.0619560
       3585.1354      -4.2513653
       3585.9611      -4.6050806
       3586.7869      -1.6305931
       3587.6129      -1.1098496
       3588.4391      -3.7745603
       3589.2655      -1.0308102
       3590.0920      0.67326000
       3590.9188     -0.45990508
       3591.7457     -0.25141632
       3592.5729      -1.6086176
       3593.4002       1.3599904
       3594.2278      -1.6414818
       3595.0555      -1.0187407
       3595.8834       1.9100553
       3596.7115      0.77897032
       3597.5398      -1.3927509
       3598.3682     -0.79164452
       3599.1969       2.3626299
       3600.0258       5.1187788
       3600.8548       2.6299253
       3601.6841      -3.4465043
       3602.5135       4.4384952
       3603.3431      -1.4287522
       3604.1729      0.11647122
       3605.0029       2.5324641
       3605.8331      -1.7878977
       3606.6635      -3.4971985
       3607.4941       1.5648144
       3608.3249      0.34413683
       3609.1558       1.4884862
       3609.9870      0.46654580
       3610.8183      -2.4011776
       3611.6499       1.8043783
       3612.4816     -0.33348900
       3613.3135      -2.6671373
       3614.1456      0.89010211
       3614.9779       2.0431308
       3615.8104     -0.84735035
       3616.6431      -2.8130483
       3617.4760      0.26277368
       3618.3091     -0.64398204
       3619.1423      -3.2098747
       3619.9758      -2.5504189
       3620.8094      -2.4439350
       3621.6432     -0.63558131
       3622.4773       2.1757703
       3623.3115     -0.11586648
       3624.1459    -0.039704883
       3624.9805      -1.6245622
       3625.8153       5.9741970
       3626.6503       4.8461808
       3627.4855      0.67007091
       3628.3209       2.5205357
       3629.1564       3.6531169
       3629.9922     -0.53135604
       3630.8281      -1.7914173
       3631.6643       2.1128514
       3632.5006      -2.3047070
       3633.3371      -2.1429378
       3634.1739       1.3297705
       3635.0108       2.1001446
       3635.8479      -1.2425835
       3636.6852       1.0550827
       3637.5227       1.7973540
       3638.3604      -2.2040839
       3639.1982       3.0735991
       3640.0363       5.7727858
       3640.8746     -0.34841722
       3641.7130      0.72017718
       3642.5517       1.4215921
       3643.3905      -1.2289754
       3644.2296      0.69008636
       3645.0688      -1.5042316
       3645.9082      -3.7698093
       3646.7478       3.8580536
       3647.5877       1.7584562
       3648.4277      -3.0089312
       3649.2679      0.47911077
       3650.1082      -1.9686307
       3650.9488      -2.6047655
       3651.7896      -4.1755396
       3652.6306      -3.6752154
       3653.4717     -0.73624929
       3654.3131     -0.33690752
       3655.1546      -1.5929390
       3655.9964      0.21693576
       3656.8383       1.5514294
       3657.6805      0.94361897
       3658.5228      -6.0476604
       3659.3653      -2.1790233
       3660.2080       1.7719519
       3661.0509       1.5085596
       3661.8940       1.0763731
       3662.7373    -0.072910376
       3663.5808     0.078640615
       3664.4245      0.59998988
       3665.2684      -1.5427687
       3666.1125       2.0374918
       3666.9567    -0.098597874
       3667.8012     0.091175948
       3668.6459       1.3232370
       3669.4907       1.6587076
       3670.3358       2.3342884
       3671.1810     0.030318681
       3672.0264      -1.0800860
       3672.8721       1.3293584
       3673.7179      0.20298316
       3674.5639      -1.1776570
       3675.4101     -0.29991419
       3676.2565       1.2425746
       3677.1032     -0.24396009
       3677.9500      -4.0926233
       3678.7969      -4.7331539
       3679.6441      -1.2840906
       3680.4915      0.30454532
       3681.3391       3.3666100
       3682.1869      -2.2202122
       3683.0349     -0.90108644
       3683.8830     -0.68982730
       3684.7314     -0.81222709
       3685.5799      0.96703052
       3686.4287    -0.054772432
       3687.2776      -1.7682485
       3688.1268       1.0010683
       3688.9761      -3.1486713
       3689.8256      -5.9743677
       3690.6754     -0.66036199
       3691.5253       2.5855971
       3692.3754       2.3972255
       3693.2257      0.75177685
       3694.0763       1.0079328
       3694.9270       1.6813866
       3695.7779      -1.2040996
       3696.6290       3.6462278
       3697.4803      -1.3840502
       3698.3318      0.93643913
       3699.1834       1.0020794
       3700.0353      0.29783094
       3700.8874       2.0222907
       3701.7397       1.7185432
       3702.5922      -2.2720378
       3703.4448      -3.6687909
       3704.2977      -2.2033070
       3705.1508      -3.3529493
       3706.0040      -5.4448923
       3706.8575       2.0661649
       3707.7111      -2.3157577
       3708.5650      -2.4085790
       3709.4190     -0.83456141
       3710.2733      -2.2626001
       3711.1277      -2.0726578
       3711.9823     -0.67511507
       3712.8372       1.4793931
       3713.6922       1.8481748
       3714.5474       1.6136433
       3715.4028      0.86693702
       3716.2585       1.0734435
       3717.1143       2.4011961
       3717.9703       1.7714090
       3718.8265     -0.84093415
       3719.6829      -2.0641598
       3720.5395     -0.71490708
       3721.3963       3.3965933
       3722.2533       3.4033938
       3723.1105       6.0795677
       3723.9679       14.455674
       3724.8255       26.062232
       3725.6833       37.223551
       3726.5413       47.789163
       3727.3995       52.420021
       3728.2578       48.389769
       3729.1164       44.559850
       3729.9752       28.900608
       3730.8342       19.766608
       3731.6934       8.1887683
       3732.5527       4.4036399
       3733.4123      -1.2103822
       3734.2721      -3.6182374
       3735.1320      -1.9120684
       3735.9922      -3.8942593
       3736.8525      -7.2280259
       3737.7131      -2.2190398
       3738.5739      0.34731599
       3739.4348       2.5805196
       3740.2960      -1.6274186
       3741.1573     -0.24899769
       3742.0189       3.0979079
       3742.8806      0.46039175
       3743.7426      -2.3989288
       3744.6047      -1.3403892
       3745.4671      -2.0061584
       3746.3296     -0.80194938
       3747.1923       1.6301868
       3748.0553      -2.1053829
       3748.9184      -3.3931188
       3749.7818      0.39567656
       3750.6453     -0.86647366
       3751.5090     -0.47883628
       3752.3730       2.0404555
       3753.2371     -0.23228958
       3754.1014      -2.2049435
       3754.9660      0.85773575
       3755.8307      -1.8955334
       3756.6956     -0.24665224
       3757.5608      0.85729277
       3758.4261     -0.80138554
       3759.2916       2.2292351
       3760.1573       3.9520624
       3761.0233       2.0601531
       3761.8894       2.1292627
       3762.7557       3.6366896
       3763.6222       3.5155557
       3764.4890       1.3614724
       3765.3559       2.4583559
       3766.2230       1.0266758
       3767.0903      -4.4686567
       3767.9578      -3.3535029
       3768.8256      0.90786241
       3769.6935     -0.25782248
       3770.5616      -4.5270510
       3771.4299      -3.8054326
       3772.2985     -0.61351603
       3773.1672     -0.99214519
       3774.0361      -1.4888431
       3774.9052       3.3407538
       3775.7745       6.7480698
       3776.6441       6.2707098
       3777.5138       3.1572688
       3778.3837       2.8910763
       3779.2538       4.3028769
       3780.1242      0.99700004
       3780.9947       4.7575996
       3781.8654       3.1791184
       3782.7363       2.2041496
       3783.6075       2.9630014
       3784.4788       7.7312133
       3785.3503       4.8131918
       3786.2220      0.94802313
       3787.0940      0.55014161
       3787.9661      -1.3345955
       3788.8384     -0.48617496
       3789.7109       1.1920583
       3790.5837      0.16421321
       3791.4566       2.6278149
       3792.3297      -1.1795767
       3793.2031     0.051897465
       3794.0766      -1.8234333
       3794.9504      -3.6553970
       3795.8243      -2.4378958
       3796.6984      -2.3776537
       3797.5728      -2.1128964
       3798.4473     -0.26369952
       3799.3221      -2.6864498
       3800.1970      -3.7138117
       3801.0721     -0.87102671
       3801.9475       1.0261718
       3802.8230      0.26477537
       3803.6988      -1.8729409
       3804.5747      -1.5069601
       3805.4509      0.86234013
       3806.3273       1.2211259
       3807.2038       3.0940411
       3808.0806       2.1966822
       3808.9575      -2.9094691
       3809.8347      -1.3087062
       3810.7121      0.53603003
       3811.5896     -0.25508269
       3812.4674       3.1175868
       3813.3454       3.3889142
       3814.2235      -2.7173686
       3815.1019      -1.6277499
       3815.9805       1.3705428
       3816.8593     -0.55982945
       3817.7383       2.6847166
       3818.6174     -0.86805080
       3819.4968      -3.7560927
       3820.3764      -1.7059461
       3821.2562      -1.0133075
       3822.1362      -1.6203053
       3823.0164      -3.4081976
       3823.8968      -5.6081922
       3824.7774     -0.87433551
       3825.6582      -3.1054857
       3826.5392      -5.5996797
       3827.4204      -2.1698209
       3828.3019      -2.0048456
       3829.1835      -4.1775316
       3830.0653      -2.6308651
       3830.9473      -2.2850180
       3831.8295      -3.7639294
       3832.7120      -3.5848256
       3833.5946      -4.9997191
       3834.4774      -3.0462850
       3835.3605      -5.5332591
       3836.2437      -4.0067189
       3837.1272      -7.4648021
       3838.0108      -6.4429846
       3838.8947      -2.4553954
       3839.7787      -5.2685185
       3840.6630      -7.6090571
       3841.5475      -4.1464500
       3842.4321      -4.2083844
       3843.3170      -2.6051729
       3844.2021      -1.7189565
       3845.0874       1.4012649
       3845.9728    -0.056491888
       3846.8585       3.0252395
       3847.7444      0.95581451
       3848.6305     0.060690590
       3849.5168       1.4510805
       3850.4033      0.62751078
       3851.2900      -1.4080494
       3852.1769      -2.7454802
       3853.0640       3.9465623
       3853.9514      -1.4713431
       3854.8389      0.13662819
       3855.7266       2.1638183
       3856.6146       3.8531715
       3857.5027      -1.4258419
       3858.3910     -0.49093884
       3859.2796       4.7987791
       3860.1683      0.30057176
       3861.0573      -1.3542146
       3861.9464       2.5619296
       3862.8358     -0.19322934
       3863.7254       3.0228316
       3864.6152       2.3995755
       3865.5051       2.2710914
       3866.3953       5.2004343
       3867.2857       10.308572
       3868.1763       9.9922260
       3869.0671       5.7092117
       3869.9581       5.0172280
       3870.8493       2.2711150
       3871.7407      0.10333202
       3872.6324      -1.5897946
       3873.5242      -3.3784120
       3874.4162      -1.6159294
       3875.3085      -1.6531901
       3876.2009      -1.4830402
       3877.0935      -3.4873032
       3877.9864      -3.8606681
       3878.8795     -0.50192000
       3879.7727      -2.6411955
       3880.6662      -4.2148558
       3881.5599      -2.0389488
       3882.4538      -4.3429777
       3883.3478      -3.4838511
       3884.2421      -1.7164451
       3885.1366      -3.5259592
       3886.0313      -5.3922054
       3886.9263      -6.4498270
       3887.8214      -5.3062122
       3888.7167      -1.9322170
       3889.6122      -2.4547497
       3890.5080      -2.9874457
       3891.4039      -2.1224717
       3892.3001      -4.9893078
       3893.1964      -5.8016566
       3894.0930      -3.8440079
       3894.9897      -4.4134804
       3895.8867      -1.6535823
       3896.7839      0.68910983
       3897.6813     -0.79445799
       3898.5789     -0.99278250
       3899.4767      -2.4129351
       3900.3747       1.3051172
       3901.2729      -5.2794209
       3902.1713     -0.79928510
       3903.0699     -0.59758710
       3903.9688       1.0460951
       3904.8678    -0.047807287
       3905.7671   -0.0010577885
       3906.6665      0.43341201
       3907.5662     -0.51661461
       3908.4661       1.3596141
       3909.3661      -1.0617425
       3910.2664       3.1555624
       3911.1669       1.2822094
       3912.0676       1.2304965
       3912.9685       2.3004382
       3913.8696       1.4111574
       3914.7710      -1.5350930
       3915.6725      -1.6806234
       3916.5742      0.76163852
       3917.4762      0.75989311
       3918.3783     -0.28098469
       3919.2807      0.64671935
       3920.1833      -2.0777972
       3921.0860      -4.3203287
       3921.9890      -3.8285458
       3922.8922      -2.2727148
       3923.7956       3.2215607
       3924.6992     -0.38416454
       3925.6030      -3.7113052
       3926.5071     -0.51458287
       3927.4113      -2.1876424
       3928.3157      -7.2871143
       3929.2204      -9.1221274
       3930.1252      -8.2328757
       3931.0303      -4.3285490
       3931.9356      -7.7018054
       3932.8411      -11.807005
       3933.7468      -12.785430
       3934.6527      -9.6736464
       3935.5588      -6.5719768
       3936.4651      -5.3930803
       3937.3716      -5.1280490
       3938.2783      -5.5683829
       3939.1853      -3.3969417
       3940.0924      -3.3561695
       3940.9998      -5.3450982
       3941.9074      -4.4723945
       3942.8151      -2.6388050
       3943.7231    -0.071583524
       3944.6313      -2.0925479
       3945.5397      -5.4053760
       3946.4484      -4.3597090
       3947.3572     -0.95333254
       3948.2662     -0.58351349
       3949.1755      -2.6438854
       3950.0849      -1.9640563
       3950.9946      -1.0593881
       3951.9044     -0.56992404
       3952.8145      0.36608275
       3953.7248      -1.7387053
       3954.6353     0.093258982
       3955.5460      0.16869551
       3956.4569      -2.2388049
       3957.3681      -2.5630142
       3958.2794      -2.9622728
       3959.1910     -0.97540096
       3960.1027      -3.3633789
       3961.0147      -3.3744901
       3961.9269      -4.3432762
       3962.8393      -5.1349748
       3963.7519      -6.7771363
       3964.6647      -7.8096843
       3965.5777      -9.2677868
       3966.4909      -8.0381380
       3967.4043      -6.0604774
       3968.3180      -10.004010
       3969.2319      -11.466770
       3970.1459      -9.7093660
       3971.0602      -9.1728699
       3971.9747      -9.4801954
       3972.8894      -10.896067
       3973.8043      -8.8980162
       3974.7194      -5.6908053
       3975.6348      -4.6299506
       3976.5503      -4.3463389
       3977.4661      -2.3108909
       3978.3820      -2.4414289
       3979.2982      -6.0170853
       3980.2146      0.45148288
       3981.1312     -0.38958965
       3982.0480      -2.9337654
       3982.9651      -1.6279776
       3983.8823      0.91471882
       3984.7997      -1.9181956
       3985.7174      -1.1393953
       3986.6353      0.61807098
       3987.5533     -0.58149446
       3988.4716      0.56559691
       3989.3901       2.3466318
       3990.3088     -0.27526637
