       Wave            Flux
       3373.9786      -3.6244449
       3374.7556      -1.5316488
       3375.5328       1.5567947
       3376.3101       1.5819444
       3377.0877       2.8803697
       3377.8654       2.9278172
       3378.6433      -2.1280910
       3379.4213      -1.7143750
       3380.1996      -5.8506330
       3380.9780      -1.9556396
       3381.7566      -5.2863883
       3382.5354      -1.5660038
       3383.3143      -2.9359569
       3384.0935       2.8886544
       3384.8728       4.4475679
       3385.6523      0.11414044
       3386.4320      0.40625486
       3387.2118      -1.5514820
       3387.9919      0.42388808
       3388.7721      -4.3514804
       3389.5525      -5.1838109
       3390.3331      -3.9844956
       3391.1138       2.4281712
       3391.8948      0.61180594
       3392.6759      -2.1001241
       3393.4572       1.4778532
       3394.2387       3.7081192
       3395.0203      0.20858985
       3395.8022       2.0434306
       3396.5842       4.7141296
       3397.3664     -0.79080394
       3398.1488       12.762922
       3398.9313      -4.0325102
       3399.7141      -3.1417063
       3400.4970       1.5617045
       3401.2801      -3.4488681
       3402.0634      -2.0789373
       3402.8468       5.8975514
       3403.6305       3.2829369
       3404.4143       1.4983476
       3405.1983      -6.5722302
       3405.9825       5.2473183
       3406.7668      -3.3628714
       3407.5514      -2.2450783
       3408.3361      -3.6029329
       3409.1210      -1.9893704
       3409.9061       2.6119073
       3410.6914      0.48064812
       3411.4768      -2.3782706
       3412.2624      -2.6554205
       3413.0482       1.3107041
       3413.8342       2.8288630
       3414.6204       2.9848521
       3415.4068     -0.97022563
       3416.1933      -2.8318179
       3416.9800       1.1158762
       3417.7669       5.2406422
       3418.5540       2.1572549
       3419.3412      -3.6358941
       3420.1287      -2.2102658
       3420.9163      -1.2027788
       3421.7041     -0.62075013
       3422.4921       1.0355022
       3423.2802       5.5260195
       3424.0686       5.9585214
       3424.8571       4.9050558
       3425.6458       3.0426754
       3426.4347       6.4342575
       3427.2238       5.9735192
       3428.0130     -0.71442180
       3428.8025       5.3453907
       3429.5921     0.050475546
       3430.3819      -3.8019782
       3431.1719      -1.1409047
       3431.9620      -2.3620980
       3432.7524      -1.6882624
       3433.5429       2.0641512
       3434.3336       3.3535009
       3435.1245       5.9927639
       3435.9156       8.0642701
       3436.7068    -0.040034083
       3437.4983      -4.3243015
       3438.2899       3.4313749
       3439.0817       1.7755404
       3439.8737      -1.9379213
       3440.6658      0.94733131
       3441.4582      -4.5005934
       3442.2507      -2.1589198
       3443.0434      -2.4859870
       3443.8363      -3.1604035
       3444.6294       3.0994978
       3445.4227       4.2323873
       3446.2161       9.6935115
       3447.0097      -1.7128934
       3447.8036       1.2956653
       3448.5976       3.2761108
       3449.3917      -1.3758041
       3450.1861       3.1510440
       3450.9806      0.13941267
       3451.7754      -2.8415611
       3452.5703      -1.1061144
       3453.3654     -0.62825627
       3454.1606       2.4561562
       3454.9561      -4.6182046
       3455.7517     -0.78591394
       3456.5475      0.66368147
       3457.3436       1.9996184
       3458.1397     -0.68167372
       3458.9361      -7.5111002
       3459.7327       5.3090854
       3460.5294       9.6468325
       3461.3263       2.3855881
       3462.1234       6.7095468
       3462.9207      0.81543450
       3463.7182      -1.5293978
       3464.5159       1.8049211
       3465.3137       3.9176485
       3466.1117      -3.3875141
       3466.9099      -2.2316458
       3467.7083      -3.4899266
       3468.5069      -2.5286575
       3469.3057     -0.91400117
       3470.1046      -2.5119491
       3470.9037      -2.0380263
       3471.7031      -1.0078915
       3472.5026      -2.3879743
       3473.3022      0.13747684
       3474.1021       4.1444673
       3474.9021      -1.7794729
       3475.7024      0.41093646
       3476.5028      0.73248770
       3477.3034      -1.9965810
       3478.1042     -0.83350406
       3478.9052       3.9311293
       3479.7063       5.6549877
       3480.5077       1.1786146
       3481.3092     -0.87507417
       3482.1109       4.7587802
       3482.9128      0.41382143
       3483.7149      -7.0406602
       3484.5171      -4.8459994
       3485.3196     -0.24905774
       3486.1222       3.7989726
       3486.9250       5.0812382
       3487.7280       2.3065160
       3488.5312     -0.39375015
       3489.3346       1.5233177
       3490.1381       3.8825166
       3490.9419      -4.3406493
       3491.7458       2.3432853
       3492.5499      -1.5173930
       3493.3542     -0.53645807
       3494.1587       1.8832476
       3494.9634       1.3998001
       3495.7682       1.2954840
       3496.5733       2.1558800
       3497.3785       2.4800954
       3498.1839       3.1473548
       3498.9895       2.6990796
       3499.7953      -1.4409765
       3500.6012      -2.9868944
       3501.4074     -0.44216789
       3502.2137      -1.3859329
       3503.0202      0.89737969
       3503.8269      -1.8005617
       3504.6338      -5.0413564
       3505.4409      -1.7113230
       3506.2482       4.3802235
       3507.0556       6.6666665
       3507.8633       2.1802297
       3508.6711      -1.9581686
       3509.4791      0.54681553
       3510.2873     -0.33529491
       3511.0957      -2.1698218
       3511.9043      -2.2892810
       3512.7130      -4.0121855
       3513.5219       1.0567562
       3514.3311       2.5638931
       3515.1404       1.0513122
       3515.9499       5.0900582
       3516.7596      -1.4198509
       3517.5694      -1.9536120
       3518.3795      -1.1948187
       3519.1897       4.3989568
       3520.0002      -1.1686219
       3520.8108      -1.9294289
       3521.6216      -2.8036044
       3522.4326      0.45955550
       3523.2438     -0.85101642
       3524.0551      -4.0516882
       3524.8667      -2.5629256
       3525.6784      -4.2619974
       3526.4904       1.6658227
       3527.3025       2.2615601
       3528.1148      -2.3973598
       3528.9273      -1.4840514
       3529.7399       1.8037455
       3530.5528      0.12203447
       3531.3658       1.5626160
       3532.1791       2.4821311
       3532.9925     -0.31006668
       3533.8061      -1.1550923
       3534.6199      0.24158174
       3535.4339     -0.70237055
       3536.2481       1.7509512
       3537.0624      -4.4754369
       3537.8770      0.41419444
       3538.6917      -4.7082493
       3539.5066       1.6418465
       3540.3217      -1.6179050
       3541.1370      -1.0265954
       3541.9525      0.51639464
       3542.7682    -0.094662238
       3543.5841      -1.0938009
       3544.4001      -4.3034702
       3545.2163       6.7129899
       3546.0328      -1.4149788
       3546.8494       1.2958213
       3547.6662     -0.52186489
       3548.4832      -2.1181573
       3549.3004       3.4288675
       3550.1177       2.1722302
       3550.9353      -2.2443879
       3551.7530     0.034087023
       3552.5709       3.8200036
       3553.3891       2.1986404
       3554.2074      0.21566807
       3555.0259      -3.3036351
       3555.8445      -4.2780991
       3556.6634       1.0671071
       3557.4825       2.0133755
       3558.3017       2.5796426
       3559.1212      -1.2422955
       3559.9408      -4.4431851
       3560.7606       1.2058692
       3561.5806       3.8294884
       3562.4008      -1.8589168
       3563.2212      -1.5087920
       3564.0418      0.49108018
       3564.8625       1.6993918
       3565.6835       3.0574583
       3566.5046      -1.9508030
       3567.3259       1.9282438
       3568.1475      -2.8388004
       3568.9692       2.2529655
       3569.7911       1.4403291
       3570.6131      -1.4107043
       3571.4354       2.1785768
       3572.2579       2.8747753
       3573.0805      -1.0315548
       3573.9034      -1.5950204
       3574.7264     -0.69697431
       3575.5496      -5.6821135
       3576.3730      -2.1242092
       3577.1966       1.5635449
       3578.0204      0.94060459
       3578.8444     -0.70548775
