l	fo
4672	0.61996233513
4673	0.63153803193
4674	0.64721091615
4675	0.6669733722
4676	0.69082540008
4677	0.71864515035
4678	0.75107233257
4679	0.79422226551
4680	0.82760139648
4681	0.85622839929
4682	0.88107045387
4683	0.89632448064
4684	0.90028458744
4685	0.90582873696
4686	0.90954514488
4687	0.91066463661
4688	0.91484559552
4689	0.92364160197
4690	0.92375583582
4691	0.91262945883
4692	0.9075498603
4693	0.90591250845
4694	0.91073317692
4695	0.91027624152
4696	0.90792302421
4697	0.90407715126
4698	0.89866246677
4699	0.89185412931
4700	0.88295912019
4701	0.86856565509
4702	0.85947264063
4703	0.85345632453
4704	0.85187228181
4705	0.84839957277
4706	0.8442643074
4707	0.84215478897
4708	0.84146177028
4709	0.84278688294
4710	0.84293919474
4711	0.84248987493
4712	0.8431981248
4713	0.84462985572
4714	0.84593212161
4715	0.85234444839
4716	0.86679883821
4717	0.87256383984
4718	0.87414026697
4719	0.8709188724
4720	0.86771270901
4721	0.86166593055
4722	0.85664725674
4723	0.85354009602
4724	0.84683076123
4725	0.83739504522
4726	0.82230856143
4727	0.81320031579
4728	0.80463277704
4729	0.80209678557
4730	0.80456423673
4731	0.8147919741
4732	0.82078544343
4733	0.82632197736
4734	0.83156911887
4735	0.83648879001
4736	0.8417511627
4737	0.84415768914
4738	0.84395206821
4739	0.84373883169
4740	0.84290111679
4741	0.84146938587
4742	0.83929132713
4743	0.83473720431
4744	0.83338162929
4745	0.83379287115
4746	0.83641263411
4747	0.83836222515
4748	0.83982441843
4749	0.84385306554
4750	0.85645686699
4751	0.85922132616
4752	0.85465197216
4753	0.83551399449
4754	0.82904835858
4755	0.83129495763
4756	0.83108172111
4757	0.83026685298
4758	0.83095987167
4759	0.82457800725
4760	0.80802933018
4761	0.79809860082
4762	0.79151873106
4763	0.78875427189
4764	0.78773378283
4765	0.78925690083
4766	0.79291238403
4767	0.79879161951
4768	0.80927828694
4769	0.81251491269
4770	0.80965145085
4771	0.80987230296
4772	0.81096133233
4773	0.81423603603
4774	0.8121265176
4775	0.80625489771
4776	0.8001700413
4777	0.7929352308
4778	0.78488555217
4779	0.77375155959
4780	0.75171965772
4781	0.74980814463
4782	0.76931167062
4783	0.78317204442
4784	0.79531129488
4785	0.80376459978
4786	0.81607900881
4787	0.8343640404
4788	0.84634336347
4789	0.85415695881
4790	0.85551253383
4791	0.85996765398
4792	0.86423238438
4793	0.86922059583
4794	0.87474951417
4795	0.88299719814
4796	0.88398722484
4797	0.87605939565
4798	0.87444489057
4799	0.87570146292
4800	0.88243364448
4801	0.88123799685
