SDSS  Name1                RA          DEC       z       Morp  R50   IC    L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Name2
SDSS  J102541.84+114420.8  156.42433  +11.73912  0.0077  Sd     4.3  2.59   9.58    8.61  -0.054  -0.619  SFG  5.70   NA  41.25  UGC_05642
SDSS  J110037.22+112455.1  165.15509  +11.41532  0.0271  Sa     8.3  3.22  11.05    9.01   0.526   0.185  AGN  6.59  170  42.94  CGCG_066-088
SDSS  J120356.03+071747.6  180.98346  +07.29658  0.0223  Sb     7.4  2.01  10.54    9.44  -0.336  -0.107  TO   5.85   89  42.25  CGCG_041-035
SDSS  J141349.19+371608.7  213.45497  +37.26911  0.0222  Sab    5.2  2.67  10.74    8.64  -0.672  -0.389  SFG  7.27  121  42.68  KUG_1411+375
SDSS  J133601.21+495739.0  204.00505  +49.96083  0.0054  Sb     3.6  2.49   9.78    8.67  -0.333  -0.450  SFG  5.55   91  41.28  IC_0902
SDSS  J132956.48+505301.9  202.48537  +50.88386  0.0254  Sb     7.0  2.30  10.51    9.35   0.059  -0.186  TO   6.10  122  42.60  UGC_08495
SDSS  J151401.04+443526.0  228.50434  +44.59056  0.0174  Sd     9.1  2.39  10.27    9.12  -0.455  -0.473  SFG  5.97   85  41.83  UGC_09780
SDSS  J142617.59+122110.5  216.57332  +12.35292  0.0259  Sab    8.8  2.24  10.75    9.49   0.387   0.070  AGN  5.69  122  42.65  IC_1009
SDSS  J151231.81+085126.0  228.13258  +08.85724  0.0337  Sab    7.9  3.05  10.98    9.10   0.095   0.096  AGN  6.37  167  42.99  CGCG_077-043
SDSS  J152552.58+074910.6  231.46911  +07.81962  0.0337  Sb    12.7  1.87  11.10    8.59  -0.517  -0.261  TO   7.31  168  42.81  UGC_09844
SDSS  J153938.96+101311.8  234.91235  +10.21995  0.0342  Sab   13.3  2.57  10.99    9.12   0.169   0.005  AGN  6.44  144  42.61  UGC_09956
SDSS  J160817.26+073218.6  242.07194  +07.53851  0.0045  Sm     3.6  2.13   9.39    8.04   0.180  -0.696  SFG  4.72   NA  40.45  IC_1197
SDSS  J074655.82+441556.5  116.73261  +44.26570  0.0314  Sb     8.6  2.15  10.71    9.18  -0.524  -0.266  TO   7.05  114  42.64  CGCG_206-023
SDSS  J090100.09+103701.7  135.25040  +10.61716  0.0295  Sa    13.8  3.46  11.31    9.77   0.205   0.250  AGN  6.55  259  43.32  UGC_04731
SDSS  J112131.75+132535.8  170.38233  +13.42661  0.0341  Sb    10.3  2.59  11.03    8.98   0.175  -0.152  TO   6.79  136  42.96  IC_2745
SDSS  J115605.96+150755.0  179.02487  +15.13196  0.0213  Sb     7.6  2.13  10.40    9.18  -0.284  -0.326  TO   5.91   85  42.08  UGC_06911
SDSS  J075701.86+493402.4  119.25778  +49.56735  0.0117  Sd     6.3  1.93  10.36    8.45  -0.867  -0.478  SFG  6.51   83  41.89  UGC_04107
SDSS  J084421.43+585031.1  131.08932  +58.84198  0.0043  Sd     2.4  1.79   9.50    8.83  -0.292  -0.385  SFG  4.78   77  40.85  UGC_04549
SDSS  J124922.35+094903.5  192.34315  +09.81765  0.0451  Sab   12.6  2.62  11.08    9.33  -0.528  -0.351  SFG  7.17  133  43.01  CGCG_071-050
SDSS  J125831.75+081302.8  194.63230  +08.21745  0.0277  Sa     9.7  2.90  10.85    9.88   0.198  -0.048  AGN  6.16  139  42.92  CGCG_043-086
SDSS  J142154.19+075257.1  215.47580  +07.88254  0.0251  Sa     8.9  3.43  10.72    9.87   0.171   0.121  AGN  5.86  157  42.96  CGCG_047-026
SDSS  J144412.18+075658.7  221.05076  +07.94964  0.0277  Sa    13.6  2.96  11.12    9.91   0.286   0.138  AGN  6.59  212  43.04  UGC_09492
SDSS  J140852.86+333155.5  212.22026  +33.53210  0.0353  Sb    17.3  2.70  11.09    9.40  -0.194  -0.223  TO   6.29  126  42.83  UGC_09048
SDSS  J100242.47+674349.7  150.67698  +67.73047  0.0151  Sc     6.1  2.09  10.33    8.10  -0.703  -0.412  SFG  6.66   85  42.16  CGCG_312-030
SDSS  J083203.49+240039.2  128.01458  +24.01090  0.0184  Sc    11.2  2.13  10.39    9.02  -0.333  -0.467  SFG  5.83   77  42.04  IC_0509
SDSS  J084533.12+261922.5  131.38804  +26.32293  0.0568  Sab   13.3  2.05  11.28    9.19  -0.252  -0.101  TO   6.99  153  43.26  CGCG_120-030
SDSS  J090847.53+295153.1  137.19807  +29.86478  0.0140  Sab    5.9  2.60  10.57    9.66   0.365   0.166  AGN  5.70  125  42.48  NGC_2766
SDSS  J092723.49+302626.9  141.84790  +30.44081  0.0270  Sb    12.7  2.33  11.03    8.33  -0.286  -0.243  TO   7.55  143  42.99  IC_2473
SDSS  J092455.11+264628.8  141.22963  +26.77467  0.0136  Sa    11.5  2.87  11.07    9.72   0.366   0.205  AGN  5.76  177  42.55  NGC_2862
SDSS  J100750.53+341855.0  151.96056  +34.31529  0.0204  Sc     8.5  2.03  10.61    8.82  -0.458  -0.451  SFG  6.54   90  42.26  IC_2542
SDSS  J102351.92+313812.1  155.96637  +31.63670  0.0294  Sab    8.5  2.38  10.70    9.26  -0.010  -0.139  TO   5.98  107  42.54  CGCG_154-007
SDSS  J102734.02+340405.0  156.89176  +34.06808  0.0562  Sa    13.3  2.76  11.30    9.55  -0.040   0.110  AGN  6.77  208  43.25  2MASX_J10273399+3404049
SDSS  J123142.75+333514.7  187.92813  +33.58743  0.0311  Sab   10.8  2.33  10.85    9.49  -0.720  -0.371  SFG  7.02  125  42.64  UGC_07671
SDSS  J105946.27+332330.5  164.94283  +33.39183  0.0062  Sm     1.5  2.29   9.51    8.00   0.255  -0.676  SFG  6.25   NA  41.89  UGC_06070
SDSS  J110325.26+391518.3  165.85528  +39.25508  0.0216  Sc     7.3  2.45  10.38    8.76  -0.279  -0.275  TO   6.25   83  42.15  UGC_06121
SDSS  J125129.54+314852.4  192.87312  +31.81457  0.0246  Sab    7.9  2.70  10.60    9.26  -0.202  -0.216  TO   6.06  110  42.18  2MFGC_10140
SDSS  J132256.47+281859.1  200.73532  +28.31644  0.0080  Sd     4.1  2.07   9.54    8.19  -0.342  -0.581  SFG  5.56   NA  41.29  NGC_5117
SDSS  J121449.33+330111.0  183.70558  +33.01975  0.0528  Sab   14.7  2.23  11.25    9.61   0.107  -0.024  AGN  6.79  170  43.24  CGCG_187-028
SDSS  J114032.48+353627.7  175.13536  +35.60771  0.0459  Sa    11.1  2.94  11.11    9.89   0.083  -0.140  TO   6.93  193  43.18  2MASX_J11403248+3536277
SDSS  J124206.46+324539.5  190.52695  +32.76099  0.0446  Sa    13.1  2.52  10.99    9.78  -0.330  -0.278  TO   6.62  126  42.76  2MASX_J12420645+3245390
SDSS  J124426.19+370716.3  191.10914  +37.12121  0.0233  Sc    15.3  1.97  11.16    9.86   0.156   0.229  AGN  5.95  152  42.83  NGC_4662
SDSS  J134234.06+313150.9  205.64192  +31.53082  0.0251  Sa     8.8  3.08  10.71    9.71   0.369   0.222  AGN  6.10  152  42.92  CGCG_161-127
SDSS  J105550.05+312332.2  163.95856  +31.39228  0.0350  Sa    11.3  2.70  11.15    9.47   0.793   0.250  AGN  6.85  168  43.00  CGCG_155-038
SDSS  J135128.21+343400.4  207.86756  +34.56678  0.0537  S0a   19.8  2.80  11.38    9.89   0.215   0.219  AGN  6.72  272  43.46  MCG_+06-30-106
SDSS  J125747.68+362214.5  194.44869  +36.37071  0.0151  Sab    6.2  2.68  10.50    9.58   0.761   0.026  AGN  5.78  106  42.42  NGC_4846
SDSS  J104728.46+364927.1  161.86862  +36.82421  0.0358  Sa    13.3  2.72  11.16    9.53   0.081  -0.017  AGN  6.39  153  42.83  2MFGC_08400
SDSS  J111326.77+303627.1  168.36155  +30.60755  0.0342  Sb    10.7  2.45  11.01    9.12  -0.522  -0.307  SFG  7.32  144  43.06  CGCG_156-027
SDSS  J134009.10+365139.9  205.03796  +36.86109  0.0191  Sc     7.2  1.91  10.60    8.60  -0.593  -0.347  SFG  6.81   89  42.30  NGC_5265
SDSS  J131244.75+314833.7  198.18648  +31.80939  0.0211  Sc    11.1  2.51  10.86    9.51   0.362  -0.098  AGN  5.90  105  42.46  NGC_5025
SDSS  J110112.89+320849.6  165.30372  +32.14712  0.0458  Sa    14.7  3.12  11.22    9.81  -0.159  -0.118  TO   7.06  166  43.12  FGC_1182
SDSS  J132838.16+333618.3  202.15904  +33.60511  0.0263  Sb     7.2  2.75  10.68    9.24   0.626  -0.035  AGN  6.59   NA  42.46  2MFGC_10838
SDSS  J135655.99+290951.7  209.23332  +29.16438  0.0080  Sb     6.3  3.53  10.54    9.61   0.200   0.025  AGN  5.79  144  42.24  NGC_5375
SDSS  J135317.78+332927.0  208.32411  +33.49085  0.0079  Sb     5.2  2.03  10.38    8.82   0.913  -0.191  AGN  6.45   95  42.08  NGC_5347
SDSS  J142113.09+295936.6  215.30455  +29.99350  0.0302  Sb     9.5  2.53  11.19    8.91  -0.304  -0.315  TO   7.42  172  42.93  IC_4408
SDSS  J141816.86+313913.8  214.57029  +31.65384  0.0143  Sab    5.3  2.55  10.57    9.22  -0.476  -0.298  SFG  6.97  123  42.40  IC_4403
SDSS  J144022.65+244346.1  220.09438  +24.72949  0.0379  S0a   14.4  3.24  11.10    9.43   0.179  -0.011  AGN  6.53  207  43.31  UGC_09458
SDSS  J143811.83+243130.4  219.54931  +24.52512  0.0166  Sb     5.5  2.49  10.16    8.78   0.650  -0.134  AGN  5.89   89  42.02  2MFGC_11873
SDSS  J143709.54+251503.0  219.28975  +25.25086  0.0340  Sa    11.7  2.94  11.19    9.83   0.276   0.059  AGN  6.54  270  42.98  CGCG_133-098
SDSS  J152230.99+191541.1  230.62914  +19.26142  0.0230  Sb    12.9  2.72  10.75    9.12  -0.059  -0.282  TO   5.84   NA  42.05  UGC_09828
SDSS  J152847.28+254452.0  232.19701  +25.74780  0.0342  Sa     9.8  3.05  10.81    9.72   0.038   0.094  AGN  6.54  154  42.93  CGCG_135-059
SDSS  J153722.91+203259.3  234.34549  +20.54982  0.0149  Sa     5.0  3.12  10.83    9.86   0.233  -0.033  AGN  5.97  214  42.74  UGC_09937
SDSS  J154520.30+171956.6  236.33461  +17.33241  0.0489  Sa    14.8  2.91  11.27    9.64   0.252   0.093  AGN  6.51  204  43.39  CGCG_107-033
SDSS  J161354.89+145536.1  243.47873  +14.92671  0.0468  Sa    13.5  2.11  11.10    9.80   0.178   0.206  AGN  6.24  156  43.15  CGCG_108-167
SDSS  J163050.13+161502.6  247.70889  +16.25074  0.0337  Sb    10.5  2.57  11.04    9.35  -0.757  -0.406  SFG  7.30  142  42.90  UGC_10426
SDSS  J164509.37+132938.5  251.28906  +13.49403  0.0531  Sab   15.4  2.38  11.15    9.76  -0.279  -0.313  TO   6.93  179  43.15  2MASX_J16450933+1329385
SDSS  J112311.43+293554.4  170.79763  +29.59846  0.0471  Sa    19.4  2.68  11.34    9.64   0.811   0.045  AGN  7.45  206  43.21  UGC_06398
SDSS  J114803.35+302133.5  177.01399  +30.35933  0.0210  Sb    12.3  2.88  11.19    9.33   0.288   0.189  AGN  6.24  148  42.88  NGC_3891
SDSS  J115502.29+271752.2  178.75958  +27.29783  0.0219  Sa     8.3  3.03  10.74    9.90   0.612   0.185  AGN  6.12  155  42.74  CGCG_157-052
SDSS  J114956.10+285857.2  177.48378  +28.98258  0.0427  Sb    16.2  2.73  11.01    9.32  -0.127  -0.197  TO   6.50   NA  42.68  UGC_06799
SDSS  J131453.43+270029.2  198.72263  +27.00812  0.0154  Sab    5.9  2.63  10.16    9.18  -0.350  -0.351  SFG  5.76   86  41.89  UGC_08325
SDSS  J131745.18+273411.5  199.43827  +27.56987  0.0234  Sab    8.6  3.15  10.81    9.15  -0.046  -0.115  TO   6.53  121  42.80  UGC_08359
SDSS  J134344.15+252331.7  205.93398  +25.39215  0.0272  S0     7.7  3.29  10.84    9.62   0.557   0.253  AGN  6.17  186  43.10  IC_4322
SDSS  J080913.97+165915.2  122.30825  +16.98757  0.0162  Sb     6.1  2.32  10.28    9.03  -0.425  -0.426  SFG  6.12   NA  41.82  UGC_04249
SDSS  J084053.78+192117.6  130.22409  +19.35490  0.0146  Sab    6.9  2.68  10.42    9.11  -0.455  -0.348  SFG  6.07  105  42.13  UGC_04526
SDSS  J091907.13+213052.7  139.77973  +21.51465  0.0274  S0a    7.6  2.85  10.83    9.35   0.212  -0.109  AGN  6.07  171  42.99  CGCG_121-058
SDSS  J092106.57+241828.7  140.27740  +24.30799  0.0267  Sb    10.2  2.26  10.76    9.07  -0.286  -0.335  SFG  6.49   92  42.32  UGC_04965
SDSS  J093757.99+252941.2  144.49165  +25.49479  0.0136  Sb     5.1  2.70  10.48    9.67   0.517   0.143  AGN  5.51  114  42.49  UGC_05129
SDSS  J095045.54+224515.9  147.68976  +22.75444  0.0286  Sb    11.3  2.19  10.77    9.39  -0.736  -0.396  SFG  6.45  109  42.59  UGC_05278
SDSS  J094854.49+245229.0  147.22706  +24.87474  0.0433  Sb    13.4  2.14  10.97    9.04  -0.537  -0.328  SFG  6.95  120  42.94  CGCG_122-093
SDSS  J095516.16+253431.9  148.81735  +25.57553  0.0444  Sa    12.1  3.26  11.15    9.91   0.117   0.221  AGN  6.37  204  43.32  2MASX_J09551612+2534319
SDSS  J101519.11+282735.8  153.82965  +28.45996  0.0210  Sa     5.2  2.71  10.44    9.57   0.031  -0.139  TO   6.61  108  42.59  CGCG_153-034
SDSS  J101217.63+275143.4  153.07348  +27.86206  0.0159  Sb    10.1  2.50  10.70    9.63  -0.497  -0.393  SFG  6.47  131  42.20  UGC_05499
SDSS  J101241.60+291832.7  153.17334  +29.30910  0.0495  Sa    15.3  2.52  11.15    9.81  -0.393  -0.044  TO   6.48  151  43.13  CGCG_153-030
SDSS  J104244.63+265036.8  160.68596  +26.84358  0.0202  Sab    6.8  2.35  10.48    9.32   0.268  -0.132  AGN  6.51  109  42.44  CGCG_154-040
SDSS  J105845.67+250827.3  164.69030  +25.14093  0.0203  Sb     9.0  2.53  10.76    8.85  -0.272  -0.319  TO   6.11   NA  42.27  UGC_06063
SDSS  J092806.64+171147.3  142.02771  +17.19649  0.0140  Sab    5.2  2.56  10.53    7.46  -0.675  -0.477  SFG  7.31  105  42.46  UGC_05046
SDSS  J100836.40+181352.4  152.15168  +18.23123  0.0171  Sa    10.2  2.59  11.07    9.65   0.187   0.128  AGN  6.37  166  42.57  NGC_3131
SDSS  J080139.47+104357.7  120.41448  +10.73272  0.0163  Sb     5.3  2.28  10.39    8.85  -0.150  -0.246  TO   6.04  102  42.12  CGCG_059-017
SDSS  J075708.03+103547.7  119.28349  +10.59660  0.0463  Sab   16.6  2.45  11.11    9.74   0.439   0.251  AGN  7.00  136  43.11  CGCG_059-005
SDSS  J080020.97+111910.0  120.08741  +11.31945  0.0150  S0     4.1  2.67  10.38    9.73   0.317   0.004  AGN  5.71  128  42.52  2MASX_J08002096+1119098
SDSS  J082810.99+103226.4  127.04581  +10.54067  0.0307  Sab   10.6  2.80  10.91    8.84   0.037  -0.037  AGN  6.17  145  42.68  CGCG_060-016
SDSS  J084315.92+130508.8  130.81635  +13.08580  0.0069  Sb     4.7  2.70   9.77    8.73  -0.016  -0.493  SFG  5.26   87  41.02  UGC_04550
SDSS  J104808.12+181119.2  162.03384  +18.18869  0.0201  S0    12.5  2.77  11.15    9.77   0.191   0.047  AGN  6.52  200  42.85  IC_0642
SDSS  J110434.47+160342.4  166.14363  +16.06179  0.0210  S0a    9.2  3.21  11.05    9.73   0.474   0.107  AGN  6.23  194  42.98  UGC_06137
SDSS  J111828.26+251925.1  169.61779  +25.32366  0.0251  Sb    10.7  2.22  10.60    9.11  -0.348  -0.399  SFG  6.17   84  42.30  UGC_06325
SDSS  J113833.71+252353.1  174.64048  +25.39810  0.0254  Sa     7.1  2.26  10.58    9.08   0.868  -0.245  AGN  6.64  125  42.35  2MASX-J11383367+2523532
SDSS  J114331.43+224331.5  175.88098  +22.72543  0.0231  Sb    14.4  1.95  10.96    9.10  -0.524  -0.271  TO   6.71  100  42.21  NGC_3832
SDSS  J160538.07+100207.4  241.40865  +10.03541  0.0405  Sab   13.7  2.07  11.12    9.36   0.373  -0.041  AGN  7.22  135  42.82  CGCG_079-045
SDSS  J161026.55+121820.4  242.61064  +12.30568  0.0341  Sab   15.1  2.41  11.13    9.20  -0.644  -0.321  SFG  7.31  185  43.04  UGC_10238
SDSS  J161256.85+095201.5  243.23690  +09.86711  0.0171  Sa     9.1  3.39  11.03   10.17   0.383   0.212  AGN  6.56  216  42.77  NGC_6081
SDSS  J092050.74+131128.0  140.21143  +13.19114  0.0167  Sa     5.7  2.87  10.68    9.87   0.339   0.208  AGN  5.89  161  42.59  CGCG_062-022
SDSS  J094043.03+131936.8  145.17931  +13.32692  0.0348  Sab   11.7  2.66  10.91    9.48  -0.231  -0.162  TO   6.25  151  42.93  CGCG_063-034
SDSS  J094457.09+164226.7  146.23791  +16.70744  0.0199  Sb     8.9  2.06  10.81    9.67   0.410   0.219  AGN  5.79  125  42.51  UGC_05213
SDSS  J095307.14+164039.6  148.27978  +16.67767  0.0047  Sc     4.8  2.09  10.20    9.22  -0.151  -0.242  TO   4.74   85  41.33  NGC_3041
SDSS  J103448.55+154255.0  158.70230  +15.71529  0.0655  Sab   20.0  2.50  11.30    9.01  -0.538  -0.368  SFG  7.59  201  43.40  2MASX_J10344854+1542553
SDSS  J121037.50+160158.5  182.65627  +16.03292  0.0072  Sc     3.4  2.12  10.33    8.70  -0.644  -0.338  SFG  6.65   98  42.02  NGC_4152
SDSS  J133038.54+180804.5  202.66059  +18.13461  0.0138  Sb     5.7  2.28  10.58    8.72  -0.579  -0.404  SFG  6.69  111  42.36  NGC_5190
SDSS  J120311.56+194343.7  180.79820  +19.72882  0.0239  Sa     9.3  2.76  11.23    9.73   0.097   0.041  AGN  6.18  215  43.06  NGC_4053
SDSS  J123027.26+184834.9  187.61360  +18.80970  0.0483  Sb    13.1  2.38  11.11    9.09  -0.153  -0.341  TO   7.32  125  43.09  IC_3434
SDSS  J123608.14+191921.6  189.03393  +19.32267  0.0045  Sm     2.9  1.96   9.41    7.98   0.423  -0.803  SFG  5.40   NA  41.09  NGC_4561
SDSS  J130834.28+210259.8  197.14286  +21.04996  0.0089  Sd     4.1  2.26   9.78    8.73  -0.116  -0.572  SFG  5.52   NA  41.48  IC_0851
SDSS  J131041.33+203210.5  197.67222  +20.53628  0.0135  Sb     4.9  2.27  10.32    8.51  -0.126  -0.564  SFG  6.78   NA  41.95  IC_0856
SDSS  J131027.44+182617.4  197.61434  +18.43819  0.0125  Sb     4.6  2.34  10.49    8.80  -0.750  -0.474  SFG  6.54   98  41.82  UGC_08248
SDSS  J133640.73+201200.4  204.16974  +20.20013  0.0164  Sa     7.1  3.06  10.57    9.97   0.343   0.037  AGN  5.96  121  42.50  UGC_08598
SDSS  J122659.47+223822.4  186.74780  +22.63958  0.0228  Sa    12.1  2.74  10.96    9.75   0.386   0.192  AGN  6.10  131  42.96  IC_0791
SDSS  J132730.77+205251.4  201.87823  +20.88095  0.0198  Sab    9.2  2.71  10.77    9.48   0.648  -0.054  AGN  6.38  122  42.39  UGC_08457
SDSS  J121821.42+251300.3  184.58928  +25.21677  0.0232  Sb     9.2  2.15  10.71    9.18  -0.454  -0.378  SFG  6.34   93  42.51  IC_3122
SDSS  J121858.41+241110.7  184.74341  +24.18631  0.0245  Sa     9.0  3.00  10.86    9.41   0.240   0.087  AGN  6.21  198  42.69  IC_3141
SDSS  J131616.82+252418.7  199.07012  +25.40522  0.0130  Sab    4.4  2.78  10.50    9.27   0.534   0.030  AGN  6.03  121  42.13  IC_4215
SDSS  J134652.67+161622.2  206.71950  +16.27284  0.0193  Sc    12.4  2.00  10.58    9.06  -0.564  -0.531  SFG  6.29   90  42.16  NGC_5293
SDSS  J134745.25+165823.2  206.93856  +16.97313  0.0402  S0    12.8  3.31  11.22    9.89   0.238   0.226  AGN  6.67  236  43.38  CGCG_102-059
SDSS  J141450.37+150848.7  213.70988  +15.14689  0.0153  Sb     8.9  2.97  10.88    8.82  -0.347  -0.192  TO   6.85  150  42.45  NGC_5522
SDSS  J150440.57+123800.4  226.16908  +12.63345  0.0289  Sb    11.0  2.13  11.14    9.08  -0.180  -0.123  TO   7.24  147  42.86  NGC_5837
SDSS  J153351.72+110038.5  233.46554  +11.01071  0.0350  Sab   13.8  2.42  10.97    9.43  -0.349  -0.202  TO   6.63  149  43.05  UGC_09897
SDSS  J153000.83+125921.5  232.50347  +12.98932  0.0134  Sb     7.0  1.94  10.93    8.65  -0.822  -0.217  TO   7.37  151  42.36  NGC_5936
SDSS  J140402.95+174441.5  211.01230  +17.74486  0.0591  Sb    20.3  2.77  11.29    9.27   0.563  -0.032  AGN  7.01  137  43.16  2MFGC_11392
SDSS  J142213.95+172350.4  215.55813  +17.39734  0.0532  Sab   15.4  2.41  11.18    9.20   0.557   0.090  AGN  7.16  175  43.10  IC_4410
SDSS  J150402.35+152753.4  226.00982  +15.46486  0.0508  Sa    12.9  2.86  11.21    9.31  -0.243  -0.251  TO   6.94  151  43.12  2MFGC_12205
SDSS  J152207.82+135541.5  230.53261  +13.92822  0.0301  Sab   11.6  1.99  11.10    9.49   0.001   0.000  AGN  5.67  149  42.95  CGCG_077-088
SDSS  J134632.22+205051.0  206.63425  +20.84752  0.0231  Sc    10.0  2.23  10.91    9.08  -0.350  -0.375  SFG  6.49  114  42.61  UGC_08705
SDSS  J152602.66+161923.6  231.51111  +16.32323  0.0235  Sc    10.1  1.97  10.55    8.74  -0.477  -0.402  SFG  6.33   83  42.28  UGC_09846
SDSS  J135107.46+240105.6  207.78109  +24.01825  0.0283  Sb     8.1  2.22  10.80    8.98  -0.716  -0.427  SFG  6.83  119  42.63  CGCG_132-024
SDSS  J142046.12+215608.6  215.19219  +21.93575  0.0156  Sc    12.8  2.70  10.56    8.75  -0.485  -0.433  SFG  6.24   97  42.07  UGC_09182
SDSS  J105024.00+644834.0  162.60004  +64.80947  0.0424  Sb    19.7  2.43  11.31    9.74  -0.039   0.079  AGN  6.02  186  43.11  UGC_05932
