SDSS  Name1                RA          DEC       z       Morp  R50   IC    L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Name2
SDSS  J104612.58+014847.8  161.55243  +01.81329  0.0033  Sd     4.1  2.51   9.38    8.14  -0.223  -0.572  SFG  5.18   NA  40.56  NGC_3365
SDSS  J114743.68+014934.3  176.93204  +01.82622  0.0285  Sb    12.0  2.31  10.87    9.49   0.977   0.055  AGN  6.53  154  42.77  UGC_06769
SDSS  J122435.05+015332.4  186.14608  +01.89235  0.0240  Sab    8.4  2.69  10.62    9.15  -0.142  -0.130  TO   6.16   NA  42.34  CGCG_014-029
SDSS  J133548.24+025956.1  203.95103  +02.99893  0.0218  Sb    10.1  2.37  11.02    8.68   0.535   0.080  AGN  7.19  152  42.90  NGC_5231
SDSS  J092335.85+533606.9  140.89940  +53.60192  0.0255  Sa     6.6  3.07  10.94    9.32   0.605   0.298  AGN  6.59  172  42.99  CGCG_265-011
SDSS  J093011.75+555108.7  142.54898  +55.85242  0.0252  Sc     8.4  3.63  10.92    8.75  -0.682  -0.309  SFG  7.59  123  43.16  UGC_05055
SDSS  J102509.88+580859.9  156.29120  +58.15000  0.0072  Sd     2.7  1.75   9.68    8.74  -0.448  -0.478  SFG  5.53   81  41.43  NGC_3225
SDSS  J102824.15+594550.9  157.10065  +59.76416  0.0310  Sa     9.0  2.51  10.81    9.24  -0.214  -0.144  TO   6.45  128  42.85  CGCG_290-042
SDSS  J103111.52+605605.3  157.79801  +60.93483  0.0311  Sab    7.9  2.49  10.69    9.25   0.455  -0.075  AGN  6.38  118  42.63  MCG_+10-15-091
SDSS  J105225.08+594107.9  163.10452  +59.68554  0.0278  Sc     8.3  2.29  10.80    8.84  -0.583  -0.425  SFG  6.72  109  42.75  CGCG_291-008
SDSS  J093141.63+043000.1  142.92349  +04.50003  0.0181  S0     6.8  3.29  10.90    9.72   0.449   0.290  AGN  6.11  173  43.10  UGC_05075
SDSS  J095145.09+031620.6  147.93789  +03.27239  0.0346  Sb     8.6  2.46  10.88    9.06   0.256  -0.235  TO   6.90  133  42.93  CGCG_035-071
SDSS  J100616.91+034939.9  151.57049  +03.82775  0.0227  Sab    8.3  2.38  10.79    9.59   0.399   0.154  AGN  5.97  168  42.84  CGCG_036-039
SDSS  J100453.90+050345.4  151.22461  +05.06264  0.0132  S0     6.4  3.42  10.56    9.93   0.027  -0.134  TO   5.48  230  42.66  UGC_05432
SDSS  J102453.07+035047.7  156.22115  +03.84660  0.0230  Sc     7.7  2.13  10.44    8.58  -0.003  -0.223  TO   5.80   90  42.30  CGCG_037-029
SDSS  J111356.28+651039.1  168.48453  +65.17755  0.0113  Sc     5.5  2.50   9.90    9.63  -0.346  -0.503  SFG  5.03   NA  41.25  UGC_06256
SDSS  J143933.10+620010.5  219.88794  +62.00292  0.0223  Sb     9.1  2.21  10.78    9.03  -0.167  -0.072  TO   6.83  137  42.78  IC_1049
SDSS  J163446.00+451927.5  248.69170  +45.32432  0.0248  Sc     9.1  1.93  10.55    9.37  -0.445  -0.260  TO   6.08   84  42.15  UGC_10457
SDSS  J165031.26+414837.2  252.63027  +41.81035  0.0288  Sab   10.0  2.55  10.76    9.02  -0.185  -0.247  TO   6.44  123  42.47  2MFGC_13486
SDSS  J165850.68+400716.1  254.71120  +40.12116  0.0289  S0    10.3  3.27  11.11    9.80   0.715   0.201  AGN  6.54  209  43.24  CGCG_225-021
SDSS  J203623.47-043707.4  309.09781  -04.61874  0.0208  Sb    12.4  2.12  11.15    9.35  -0.411  -0.360  SFG  6.67  165  42.84  NGC_6941
SDSS  J204952.23-070118.6  312.46763  -07.02186  0.0201  Sab   11.5  2.74  10.92    9.74  -0.129  -0.180  TO   5.79   NA  42.21  MCG_-01-53-012
SDSS  J234152.63-083853.4  355.46932  -08.64819  0.0340  Sa    17.3  2.96  11.34    9.71   0.803   0.222  AGN  7.17  174  43.04  MCG_-02-60-012
SDSS  J002151.15-092932.1  005.46314  -09.49225  0.0209  Sb     7.6  2.72  10.59    9.15  -0.658  -0.356  SFG  7.25  123  42.52  MCG_-02-02-005
SDSS  J225239.26-091604.0  343.16360  -09.26779  0.0149  Sab    5.4  3.13  10.73    9.60   0.568  -0.092  AGN  6.21  121  42.54  NGC_7399
SDSS  J230658.16-091710.1  346.74237  -09.28615  0.0238  Sa     9.0  3.00  11.08   10.02   0.248   0.163  AGN  5.93  210  43.12  MCG_-02-58-024
SDSS  J212148.84+103921.8  320.45350  +10.65607  0.0168  S0     6.2  3.13  10.55   10.00   0.451   0.192  AGN  5.65  168  42.67  CGCG_426-044
SDSS  J214020.88+122117.2  325.08700  +12.35481  0.0195  Sab    6.1  2.65  10.56    9.24  -0.426  -0.357  SFG  6.63  124  42.22  CGCG_427-012
SDSS  J215038.41+131717.4  327.66006  +13.28817  0.0202  Sa     6.4  3.33  11.00    9.70   0.281   0.266  AGN  6.25  167  42.99  CGCG_427-027
SDSS  J215652.70+121857.9  329.21962  +12.31611  0.0302  Sb    10.2  2.06  10.67    9.05  -0.764  -0.433  SFG  6.86  112  42.73  UGC_11857
SDSS  J232923.57+141215.4  352.34821  +14.20429  0.0416  Sc    13.7  1.77  11.02    9.48  -0.114  -0.241  TO   6.41  106  42.77  KUG_2326+139
SDSS  J081422.02+391504.8  123.59176  +39.25135  0.0277  Sb    12.1  2.70  10.65    8.94  -0.656  -0.324  SFG  7.39  114  42.81  UGC_04283
SDSS  J082922.49+432131.2  127.34372  +43.35867  0.0312  Sb     8.9  2.49  10.87    8.85  -0.469  -0.303  SFG  7.03  124  42.61  KUG_0825+435
SDSS  J083909.27+450747.7  129.78866  +45.12994  0.0380  Sb    14.9  2.10  10.95    8.98  -0.610  -0.385  SFG  6.84  112  42.80  KUG_0835+453
SDSS  J090058.50+474743.3  135.24377  +47.79537  0.0105  Sab    3.8  3.04  10.03    9.35   0.401  -0.120  AGN  5.51   98  41.95  KUG_0857+479
SDSS  J092102.64+493608.2  140.26101  +49.60229  0.0275  Sab   12.8  2.73  11.06    9.85  -0.383  -0.291  TO   6.93  156  42.71  UGC_04958
SDSS  J104636.85+631327.2  161.65356  +63.22424  0.0035  Sd     3.8  2.00   9.96    7.95  -0.193  -0.485  SFG  4.76   81  40.99  NGC_3359
SDSS  J152546.70+522641.0  231.44459  +52.44474  0.0195  Sab   12.0  2.59  10.79    8.95  -0.024  -0.261  TO   5.77  139  42.03  UGC_09853
SDSS  J161015.02+470342.4  242.56262  +47.06180  0.0300  Sab    8.7  2.75  10.71    9.18  -0.371  -0.324  SFG  6.35   NA  42.55  MCG_+08-29-050
SDSS  J084505.72+403334.1  131.27385  +40.55950  0.0291  Sb     8.2  2.41  10.76    9.07  -0.602  -0.450  SFG  6.85  101  42.69  KUG_0841+407
SDSS  J085741.79+430738.9  134.42415  +43.12747  0.0308  Sb    10.3  2.66  11.03    9.00  -0.071  -0.227  TO   7.08  149  43.04  UGC_04686
SDSS  J091214.52+445717.4  138.06051  +44.95485  0.0088  Sc     6.9  2.22  10.65    8.94  -0.247  -0.326  TO   6.00   92  42.07  NGC_2776
