z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    V98               sigma           RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.096910      7.308971      43.309800      -1.139692      1.746000      0.000000      0.549889      2.526552       2.273028      -1351.212303      246.416645      127.25062650      49.98581490      51873      0443      513
0.276926      7.896662      44.300900      -0.736283      3.421000      2.000000      0.719006      -1.298799      2.594385      -974.838714       325.188222      130.00544810      50.49576850      51873      0445      151
0.312534      7.844305      44.217400      -0.767425      2.885000      2.500000      0.700440      -1.489635      2.638511      -993.739414       388.514457      355.08262760      -0.98564320      51877      0385      202
0.380628      8.368827      44.518100      -0.991248      3.091000      3.000000      0.808023      -1.233694      2.211570      -861.286237       360.580199      28.24622070       14.90775740      51877      0430      379
0.310797      7.841108      44.282400      -0.699229      3.114000      2.500000      0.976014      -1.030497      2.587371      -1238.304233      419.068321      28.24776310       14.46058460      51877      0430      492
0.254545      8.302623      44.447900      -0.995243      2.636000      3.000000      0.812191      -2.036147      2.483912      -1082.642718      435.867724      123.32465420      43.93906670      51877      0439      009
0.267678      8.732240      44.394100      -1.478661      2.828000      3.000000      0.724640      -1.785154      2.649656      -1319.180722      346.089086      123.86370120      44.99375390      51877      0439      034
0.237469      8.272245      43.789600      -1.623165      2.470000      2.000000      0.747919      0.035198       2.304605      -724.621972       256.588276      121.95042190      44.90631300      51877      0439      186
0.297311      8.318092      43.998000      -1.460612      2.429000      2.500000      0.824502      -1.259252      2.705503      -1172.241452      221.770048      123.26616780      45.95369290      51877      0439      576
0.362488      8.136016      44.276700      -0.999837      3.113000      2.500000      0.533628      -0.544446      2.642720      -1242.058322      460.880806      118.89684870      41.77358620      51882      0435      441
0.061847      7.517663      43.489000      -1.169183      2.925000      1.000000      0.615856      0.858006       2.520754      -938.148517       335.885639      33.23997480       14.10297830      51883      0428      509
0.293837      8.105028      44.047100      -1.198449      2.817000      1.000000      0.738569      -0.850229      2.760835      -1370.469679      256.827109      126.85475940      52.40960350      51883      0444      267
0.368236      8.103693      44.556800      -0.687413      2.860000      3.000000      0.745659      -1.564688      2.607994      -907.737177       207.527423      120.39284100      47.38324890      51884      0438      398
0.159197      7.971669      44.022300      -1.089889      2.529000      2.500000      0.854397      -2.105620      2.530637      -959.746653       306.627607      124.21612460      49.89301870      51885      0440      536
0.243037      7.911685      44.518800      -0.533406      2.693000      3.000000      0.849222      -2.132198      2.632197      -1206.703536      378.768173      20.19212600       15.71101400      51893      0424      329
0.243816      7.509351      43.991800      -0.658072      2.389000      3.500000      0.802876      -1.485755      2.464585      -735.607748       182.891389      21.82350060       13.24144630      51898      0425      289
0.044619      7.178115      43.209500      -1.109136      2.517000      0.500000      0.783515      1.191263       2.622345      -1164.901399      340.439779      130.40785610      54.91851590      51899      0446      420
0.303166      9.040370      44.382400      -1.798490      3.078000      2.000000      0.891375      -2.316148      2.565506      -789.014784       309.003157      131.26744120      54.43670070      51899      0446      516
0.362356      8.333725      44.689300      -0.784946      2.436000      3.000000      0.991557      -1.950811      2.538994      -931.637213       277.247327      132.38008360      56.32735540      51900      0448      465
0.134033      8.041597      43.740700      -1.441417      2.816000      1.500000      0.756645      -0.129020      2.609944      -1000.051470      230.045000      51.87452820       -0.99955720      51901      0414      111
0.213086      7.676974      43.958200      -0.859294      2.609000      3.000000      0.309426      -1.732702      2.521416      -1165.651872      433.726976      51.11993790       -0.77048550      51901      0414      263
0.154081      8.147624      43.891500      -1.396644      1.902000      0.500000      0.793961      1.848977       2.561488      -1008.251054      334.898867      131.36968890      -0.45643690      51901      0467      219
0.228991      7.751555      44.008100      -0.883976      2.917000      1.000000      0.893587      0.478000       2.621471      -1042.364126      372.630833      137.99778780      59.50254650      51907      0484      449
0.268700      8.038210      44.220200      -0.958531      2.543000      2.500000      0.611144      -1.280850      2.575887      -1200.839650      517.776735      136.13415520      55.64174470      51908      0450      461
0.172491      8.233340      44.170900      -1.202961      2.617000      2.500000      0.639856      -2.130460      2.578056      -1136.701122      456.353621      58.02889030       -6.73776180      51908      0463      107
0.183607      7.876350      44.120000      -0.896871      3.083000      0.500000      0.768937      1.198000       2.621488      -1045.530067      312.966884      57.13283350       -7.19607520      51908      0463      215
0.251493      8.564640      44.552500      -1.152661      2.663000      3.000000      0.804480      -1.617415      2.621762      -1027.735530      325.463355      57.54653460       -6.08378130      51908      0463      487
0.294674      7.829089      44.313600      -0.656010      2.881000      2.500000      0.673222      -1.264985      2.665253      -1258.087200      346.038440      56.02522550       -7.12128280      51909      0462      059
0.241674      7.544070      43.960700      -0.723890      2.704000      0.500000      0.741986      0.008648       2.680541      -1177.652396      311.569033      54.44004660       -5.60402350      51909      0462      321
0.356398      7.835615      44.273200      -0.702936      3.517000      3.000000      0.856973      -1.268138      2.776011      -1283.802295      274.933930      143.40863880      59.69016730      51909      0485      076
0.235582      8.157401      44.097200      -1.200722      2.509000      1.500000      0.921822      -0.127043      2.765815      -1388.003131      311.500736      160.38933860      -0.04348890      51910      0275      306
0.155255      7.742967      43.875300      -1.008188      2.920000      2.000000      0.952402      -0.652287      2.577084      -1211.573452      401.405341      40.82278870       -8.78674670      51910      0456      264
