z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.108941      7.625392      43.837900      -0.928013      3.423000      3.000000      0.893172      -1.192607      2.460293      15.01323920       15.84951620      51821      0421      405
0.246184      7.957788      43.902300      -1.196008      2.811000      2.500000      0.730845      -1.722445      2.649495      17.94257160       13.70436160      51821      0423      289
0.224983      7.823839      44.016700      -0.947659      2.974000      3.500000      0.810229      -2.050494      2.598025      122.02076710      42.71956120      51869      0437      032
0.331748      8.668557      44.395200      -1.413878      2.520000      2.500000      0.895749      -0.696940      2.582679      118.87206770      41.92044920      51869      0437      281
0.275740      8.275482      44.480100      -0.935903      2.491000      2.000000      0.657428      -1.927780      2.551770      120.84369260      43.55196600      51869      0437      536
0.185850      7.863707      43.785700      -1.218528      3.194000      1.500000      0.853554      0.163305       2.780404      28.86751640       0.06857080       51871      0403      425
0.183874      8.297419      43.739700      -1.698240      2.565000      1.000000      0.741313      0.994858       2.393587      42.16683350       -1.00905070      51871      0409      087
0.237259      7.648253      43.872300      -0.916474      2.387000      1.500000      0.704318      -0.585682      2.497840      40.94727570       -0.89861270      51871      0409      283
0.239501      9.017067      44.534700      -1.622888      2.345000      2.000000      0.733099      -1.817083      2.607947      12.37873650       15.53787400      51871      0420      397
0.350254      7.610281      44.285300      -0.465501      2.360000      2.500000      0.807423      -1.968322      2.675153      115.81236630      38.64159920      51873      0433      393
0.227294      7.454677      43.942800      -0.652398      2.555000      3.000000      0.877699      -1.762667      2.727796      126.89561540      49.53612990      51873      0443      438
0.354017      8.755872      44.515600      -1.380793      2.794000      2.500000      0.905328      -2.077136      2.708437      130.16150660      50.60938970      51873      0445      115
0.303038      7.854928      44.085000      -0.910449      2.660000      2.500000      0.776228      -1.384801      2.632594      113.66017050      36.94547540      51877      0431      051
0.287507      8.159169      44.163100      -1.136590      2.654000      2.500000      0.760268      -1.270648      2.794676      132.23528340      51.70730830      51877      0447      163
0.117739      7.258828      43.431600      -0.967749      2.693000      1.000000      0.874499      -0.081123      2.425721      131.93995380      51.98318440      51877      0447      191
0.273529      7.948909      44.319500      -0.769930      2.957000      3.000000      0.777356      -1.421596      2.758329      134.36835480      52.27642970      51877      0447      626
0.144353      7.943108      43.705000      -1.378628      2.605000      2.500000      0.807103      -0.653874      2.446060      134.14947360      52.29138770      51877      0447      638
0.146930      7.372177      43.682200      -0.830498      2.644000      1.500000      0.593195      -0.814232      2.594503      118.39094030      38.95617370      51882      0435      094
0.103812      7.799876      43.330200      -1.610197      2.822000      1.500000      0.816690      0.098714       2.521057      154.77706400      -0.35645690      51883      0271      142
0.189275      7.877271      43.546600      -1.471192      1.944000      1.000000      0.893661      -0.173988      2.459538      154.15274670      0.22601250       51883      0271      427
0.287462      7.845071      44.157500      -0.828091      2.346000      1.000000      0.506075      -0.627062      2.783625      33.31862780       13.42243420      51883      0428      117
0.357480      8.909532      44.588800      -1.461253      2.574000      3.000000      0.673160      -1.889489      2.809823      33.41913490       13.79890570      51883      0428      587
0.322841      7.902811      44.446700      -0.596631      2.283000      3.000000      0.756669      -1.550372      2.757304      129.80769870      52.85370830      51883      0444      630
0.234940      8.016322      44.391900      -0.764943      2.405000      3.000000      0.874029      -1.950283      2.638056      115.03037170      41.15102250      51884      0432      324
0.292213      8.566861      44.277700      -1.429682      2.722000      3.000000      0.767052      -1.531476      2.817693      114.81397540      40.24602760      51884      0432      382
0.130505      7.221718      43.460600      -0.901639      2.271000      2.500000      0.804307      -0.781592      2.462479      119.72279160      46.50424700      51884      0438      309
0.217440      7.748909      44.127600      -0.761830      2.627000      2.500000      0.754303      -2.506339      2.542906      122.07649370      48.29974310      51884      0438      533
0.267996      8.303018      44.158600      -1.284939      1.929000      2.000000      0.681166      -1.701088      2.773928      116.42679450      42.23497410      51885      0434      230
0.341548      8.357186      44.339000      -1.158706      2.705000      2.500000      0.748295      -1.204250      2.700760      115.77303090      42.33710040      51885      0434      319
