z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    V98               sigma           RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.382871      8.549474      44.398100      -1.291895      2.401000      4.500000      0.718821      -1.587025      2.469731      -1057.885210      380.694595      114.92448620      39.03305280      51884      0432      129
0.273005      8.281654      44.334500      -1.087675      2.946000      4.500000      0.911638      -1.320794      2.502452      -1044.286102      315.554376      114.54201640      39.08248900      51884      0432      219
0.224233      8.097705      44.213200      -1.025025      3.699000      4.500000      0.425300      -1.495764      2.718391      -1024.823196      187.363508      121.41900330      48.17958970      51884      0438      419
0.152936      7.370651      43.652000      -0.859172      3.314000      2.500000      0.756739      -0.086392      2.527365      -971.468885       299.315917      118.91093910      43.43198200      51885      0434      609
0.140283      7.225749      43.543200      -0.823070      2.119000      2.000000      0.789565      1.921801       2.407921      -1188.194633      190.655136      124.87638480      49.03912470      51885      0440      038
0.374926      8.775219      44.411300      -1.504440      2.727000      4.000000      0.827336      -1.277956      2.513660      -1147.243343      412.381156      21.73259420       15.56604190      51893      0424      568
0.170113      8.004604      43.918500      -1.226624      2.758000      2.000000      0.968265      0.009711       2.474635      -981.681056       225.773703      22.76406060       13.32396840      51898      0425      124
0.382754      8.055843      44.290800      -0.905563      3.127000      4.500000      0.842068      -1.008323      2.523964      -1147.257713      385.067171      22.01574510       13.86396470      51898      0425      265
0.121940      7.600964      43.317500      -1.423985      2.991000      3.000000      0.657616      0.531668       2.431010      -910.089671       341.203231      30.23627130       13.48401070      51900      0427      196
0.350592      8.508709      44.306300      -1.342930      2.553000      4.500000      0.948734      -1.382670      2.685017      -1434.896791      345.715020      133.03473100      57.19955550      51900      0448      404
0.086601      7.353978      43.418400      -1.076099      2.457000      2.000000      0.946243      1.791515       2.386692      -929.844069       351.700939      131.97535300      56.34269480      51900      0448      440
0.213630      7.687921      44.016000      -0.812442      3.051000      2.500000      0.668375      -0.176294      2.522830      -1188.703671      371.572135      51.93298150       -1.18602990      51901      0414      114
0.145516      7.104719      43.695000      -0.550240      2.386000      1.500000      0.780025      2.224405       2.629607      -1085.874670      378.382365      136.04026350      58.25767510      51907      0484      277
0.277636      8.274215      44.332000      -1.082736      3.177000      4.500000      0.875725      -1.214705      2.628172      -1015.725944      231.166772      140.59723750      58.47330760      51907      0484      623
0.335945      8.223766      44.316500      -1.047786      3.210000      3.500000      0.805585      -0.504587      2.749544      -1636.788420      638.516455      164.02890000      -0.78211900      51908      0277      301
0.265241      8.659651      44.131700      -1.668472      2.738000      3.000000      0.641222      -0.444954      2.649531      -1469.520706      545.429303      38.22261390       -8.47560500      51909      0455      262
0.186626      7.093588      43.705300      -0.528809      3.021000      1.500000      0.472228      2.716523       2.822664      -1258.098032      250.363381      38.20541450       -8.89917970      51909      0455      317
0.097173      7.942893      43.509700      -1.573714      2.341000      1.500000      0.466555      2.381543       2.552566      -1135.906419      394.810760      54.00870320       -7.10471950      51909      0462      284
0.332625      7.936148      44.221100      -0.855568      2.846000      4.500000      0.861100      -1.480050      2.351977      -717.948040       262.722195      141.16471320      59.13445490      51909      0485      217
0.213775      8.152579      44.028200      -1.264900      2.628000      4.000000      0.787532      -1.176043      2.424570      -826.472321       281.461511      151.20108810      0.66925350       51910      0269      536
0.308738      8.105310      44.135200      -1.110631      2.852000      3.000000      0.516822      0.242392       2.615260      -1135.077787      283.970144      143.87930360      58.82011100      51911      0452      457
0.279312      8.421958      44.025400      -1.537079      3.077000      3.000000      0.802425      0.410253       2.680759      -1361.296815      427.698523      145.32584590      58.47341560      51911      0452      583
0.198186      7.522471      43.810600      -0.852391      2.575000      3.500000      0.765298      -1.037323      2.412206      -582.215216       155.962778      135.62694300      0.60440330       51913      0469      061
0.202987      8.029659      44.025000      -1.145180      2.526000      3.000000      0.724416      -0.342040      2.411819      -923.418227       330.983013      134.10237690      57.83050750      51924      0483      394
0.232498      7.776035      43.772800      -1.143756      2.824000      2.500000      0.819011      0.723313       2.573356      -696.277516       223.979158      190.65247630      -0.98787700      51928      0291      201
0.089556      7.629338      43.313500      -1.456358      2.922000      3.000000      0.799951      -0.068123      2.464808      -1314.665366      477.653978      190.85090240      1.00788320       51928      0291      456
0.348210      8.145777      44.404400      -0.881898      2.640000      4.500000      0.814673      -1.925930      2.484058      -1024.993138      367.338434      50.64198400       0.36386990       51929      0413      596
0.196219      8.014993      44.193500      -0.962014      3.142000      4.000000      0.878215      -0.846585      2.560405      -1122.347869      385.956564      135.49535700      0.38719480       51929      0470      383
0.232889      7.792029      44.266600      -0.665950      3.248000      3.500000      0.974712      -1.193771      2.564606      -1032.404871      324.507375      138.74822890      2.58641850       51929      0473      324
0.306070      8.635988      44.188500      -1.588009      2.568000      4.000000      0.775708      -0.905649      2.444623      -1071.452042      413.695236      155.74423190      -0.26068740      51941      0272      223
0.223537      7.909453      43.991000      -1.058973      2.992000      5.000000      0.880951      -1.455207      2.431883      -817.334667       282.180524      172.92680460      66.12310800      51942      0491      017
0.219156      7.762134      43.860600      -1.042055      2.440000      3.000000      0.837365      0.181539       2.516311      -1133.771532      335.507036      168.80139720      66.24430220      51942      0491      307
0.247714      8.719640      44.336600      -1.523560      2.974000      2.500000      0.734745      0.748532       2.676316      -1399.674618      522.418509      169.30791070      67.68965970      51942      0491      402
0.131878      7.634138      43.510100      -1.264559      2.735000      2.000000      0.669425      2.084972       2.433706      -759.319123       295.785302      170.64030220      67.66682660      51942      0491      441
0.218131      7.870566      43.810200      -1.200887      2.316000      2.000000      0.717301      1.823914       2.629993      -904.112676       182.386728      156.96727470      -0.58236840      51957      0273      319
0.295294      8.147281      44.120600      -1.167202      3.169000      3.000000      0.540337      0.657483       2.523699      -1081.901654      415.435817      213.24021380      65.35255540      51984      0498      559
0.220188      7.963557      43.955900      -1.148178      2.885000      3.000000      0.990253      0.456731       2.507500      -1018.144814      330.281872      196.53627170      1.10317950       51986      0294      452
0.105507      7.290372      43.364600      -1.066293      2.349000      3.500000      0.816788      0.236590       2.449905      -714.895442       269.680851      197.50855580      67.09120770      51988      0495      605
0.137430      7.511614      43.755000      -0.897135      2.784000      3.000000      0.693893      0.007961       2.492161      -956.889939       360.770264      174.91413930      2.92643400       51989      0513      120
0.240672      7.532428      43.832500      -0.840448      2.691000      2.500000      0.702845      0.078769       2.585293      -1124.742368      331.313069      174.91490160      2.92721250       51989      0513      627
0.236401      7.739168      43.914300      -0.965388      2.659000      3.500000      0.895625      -0.765561      2.374186      -897.434170       365.348225      187.61731120      -0.73386770      51990      0289      001
0.268512      7.609069      44.102100      -0.647490      2.276000      2.000000      0.660936      0.271644       2.547593      -1338.322555      435.335187      226.16584780      0.15098790       51990      0310      494
0.136303      7.418797      43.719500      -0.839818      2.902000      2.500000      0.719347      -0.214066      2.473679      -720.625123       275.495276      143.88759820      56.74013800      51991      0556      352
0.320173      8.133812      44.119400      -1.154932      2.982000      4.000000      0.823117      -1.234616      2.655025      -1308.408084      450.124812      115.90637520      33.75292110      51993      0542      245
0.174112      7.497686      43.763500      -0.874706      3.087000      4.000000      0.704852      -0.449951      2.608697      -1353.189845      563.450487      134.53913720      49.42973860      51993      0551      061
0.330498      8.204041      44.283200      -1.061361      3.013000      3.500000      0.705522      -0.717192      2.755632      -1235.042878      262.334236      195.71463820      0.33282310       51994      0293      622
0.267030      7.865963      43.904100      -1.102383      2.866000      3.500000      0.808552      0.009938       2.614198      -1478.300107      556.835533      176.91093460      3.53361880       51994      0514      575
0.265427      7.825973      44.251000      -0.715494      3.219000      4.500000      0.889838      -0.038889      2.699007      -1676.143443      553.764777      213.86725070      1.11140210       51994      0533      123
0.374248      8.601849      44.417400      -1.324970      3.327000      4.500000      0.678138      -1.160424      2.519302      -1091.706353      382.019017      227.69258330      1.30532470       51996      0540      151
0.326144      7.986636      43.766100      -1.361057      2.467000      3.000000      0.640895      0.985171       2.662960      -1401.549493      475.320132      185.46026830      0.55682050       52000      0288      553
0.328086      7.752865      44.093500      -0.799885      2.657000      3.500000      0.853343      0.138702       2.272307      -846.769318       330.182394      140.24404900      -0.50677530      52000      0474      261
0.069331      7.412820      43.199700      -1.353640      2.827000      1.500000      0.589566      2.487303       2.713345      -1330.786901      247.295294      140.52189150      0.15093630       52000      0474      391
0.320756      7.818605      44.178700      -0.780425      3.353000      4.500000      0.867443      -0.553612      2.690766      -1316.125225      305.609188      263.02542850      60.24826690      52017      0366      567
0.182209      7.674053      43.890000      -0.924574      2.457000      2.000000      0.842924      0.059988       2.771016      -1087.086946      192.624998      160.36911070      2.53469720       52022      0506      438
0.341005      8.008930      44.363600      -0.785850      2.439000      4.500000      0.945040      -1.191116      2.664619      -1151.673403      263.023727      230.00183660      4.01132520       52022      0591      575
0.196221      7.848599      44.089300      -0.899820      3.500000      3.500000      0.744338      -1.457004      2.557373      -1121.864087      424.305279      238.51657180      2.79178040       52023      0595      279
0.290000      7.789093      44.019100      -0.910514      2.561000      3.000000      0.759866      0.138869       2.480257      -913.266597       336.142369      183.01230740      3.67938250       52024      0517      602
0.342904      8.061043      44.232500      -0.969063      2.650000      3.000000      0.827062      -0.647514      2.540803      -938.048601       281.614046      191.34902230      2.84171820       52024      0522      476
0.101521      7.361556      43.369700      -1.132377      2.507000      2.500000      0.700179      1.845835       2.634457      -1306.893450      469.947435      191.70917350      2.67130020       52024      0522      508
0.280404      7.851308      44.152900      -0.838929      2.527000      3.000000      0.650455      0.339922       2.768623      -997.372480       141.240660      191.97371040      3.25994300       52024      0536      072
0.114676      7.746536      43.596800      -1.290256      3.292000      2.000000      0.691255      -0.194698      2.647324      -1129.022776      211.051883      218.98355660      1.62694330       52025      0529      526
0.377301      8.261562      44.271600      -1.130482      2.234000      4.000000      0.587522      -1.626924      2.607754      -1378.043788      436.641284      206.07183630      3.44254300       52025      0529      600
0.303252      8.204433      43.992600      -1.352354      2.725000      1.500000      0.910470      -0.107683      2.177012      -839.686453       225.959751      230.30017580      3.86489340       52026      0477      255
0.293358      7.958092      43.954400      -1.144213      3.566000      4.000000      0.716984      -0.480168      2.404916      -1031.705076      377.371618      144.99315810      2.66989550       52026      0523      023
0.359191      8.233176      44.270100      -1.103596      2.757000      4.000000      0.780818      -1.731169      2.465452      -1083.716305      350.243993      234.81767350      3.38946550       52026      0593      614
0.319266      8.149403      44.092900      -1.197023      2.256000      3.500000      0.753495      -0.498944      2.579734      -1051.528945      200.844613      210.08208880      3.06281270       52028      0531      537
0.229008      7.704444      43.872200      -0.972764      2.568000      1.500000      0.469364      2.494952       2.684123      -1096.972100      409.340155      224.65186950      1.32752570       52029      0538      069
0.342653      8.654914      44.464100      -1.331335      2.938000      3.500000      0.784769      -1.222841      2.537369      -1252.242708      480.814234      237.70841240      3.42096440       52045      0594      610
0.298088      8.276698      44.339900      -1.077318      2.604000      3.500000      0.719483      -1.495294      2.707799      -1101.205592      224.678641      216.21801050      4.78429600       52049      0584      547
0.238608      7.975248      43.901600      -1.214168      2.930000      4.500000      0.970662      -0.737390      2.441169      -821.580521       256.532641      244.58245820      51.40654270      52051      0623      121
0.358106      8.216848      44.453400      -0.903969      3.105000      4.500000      0.797540      -0.969437      2.482365      -676.459525       183.962178      243.13514190      51.40037530      52051      0623      257
0.136692      7.470101      43.428600      -1.182022      3.342000      3.000000      0.877516      0.096431       2.570696      -1548.917678      334.211437      243.83361020      48.47261340      52054      0622      046
0.307793      7.872328      44.100200      -0.912648      2.235000      2.000000      0.720646      -0.038498      2.416248      -1008.274605      378.103007      243.19105990      47.69375610      52054      0622      074
0.226236      8.197555      43.889700      -1.448375      3.006000      3.000000      0.908304      0.136899       2.568800      -1264.970519      336.810645      224.90792790      62.50189910      52055      0611      370
0.109163      7.413589      43.635900      -0.918209      2.559000      2.000000      0.569154      0.204558       2.491646      -764.413087       257.783089      225.66930880      61.48094800      52055      0611      421
0.225280      7.662238      43.851700      -0.951059      3.088000      4.500000      0.704773      -1.023474      2.543732      -1332.156419      498.130829      204.58887060      63.65472300      52056      0603      034
0.291761      8.215609      44.182200      -1.173930      2.844000      2.500000      0.858557      0.555707       2.312462      -607.357126       213.416548      227.46120140      3.22290080       52057      0590      266
0.312054      8.199542      44.045300      -1.294763      3.209000      4.500000      0.794854      -1.321108      2.422502      -775.816354       234.599802      173.96587090      64.02739890      52059      0597      149
0.273177      8.004321      44.256300      -0.888541      2.994000      4.000000      0.793759      -0.939267      2.640615      -1239.251100      231.951970      199.24017460      64.30288720      52072      0602      022
0.329286      7.806604      44.214400      -0.732725      2.636000      4.500000      0.738995      -1.542919      2.568725      -815.966222       184.458946      197.09764320      63.99214560      52072      0602      155
0.263715      7.626968      43.974000      -0.793488      3.106000      2.500000      0.710536      1.181457       2.618656      -1235.400112      509.775931      234.96237830      56.72599270      52072      0617      423
0.267940      7.942652      44.268700      -0.814473      2.590000      3.000000      0.642413      -0.125192      2.666015      -1262.457317      390.501219      236.39392440      57.60701740      52072      0617      529
0.356060      7.797328      44.224200      -0.713648      3.178000      4.000000      0.827387      -1.923941      2.451131      -902.426891       312.072125      237.57729380      57.13279290      52072      0617      606
0.309123      7.740525      43.950700      -0.930346      3.221000      4.500000      0.742627      -0.841311      2.568116      -1075.008364      202.783152      227.27065310      56.79743390      52079      0612      226
0.136349      8.057822      43.907800      -1.290542      3.712000      4.000000      0.666128      -0.127574      2.616658      -1108.676504      352.642352      221.91388100      61.11556840      52081      0608      521
0.287473      8.411816      43.969200      -1.583137      3.024000      3.000000      0.761166      0.730223       2.590770      -1069.866565      438.175263      -4.67657940       10.77843960      52138      0652      058
0.357714      7.766313      44.358500      -0.548333      2.800000      4.000000      0.787629      -1.841401      2.552191      -1207.507118      376.940944      -0.45635720       10.04772770      52143      0650      152
0.197793      7.505467      43.744300      -0.901688      2.902000      4.000000      0.860054      0.308244       2.462538      -1038.020299      292.939965      -359.7152640      10.75174350      52143      0650      245
0.302052      7.661374      43.997500      -0.804394      2.510000      4.500000      0.859430      -1.411635      2.490073      -1080.198095      405.662162      7.41817710        -9.72599420      52145      0653      624
0.188326      7.602993      43.910000      -0.833513      3.159000      2.500000      0.457477      2.236185       2.507423      -906.904617       362.358259      -25.03829110      10.35248830      52145      0663      139
0.260837      8.013881      43.862100      -1.292301      3.011000      2.500000      0.691370      0.102596       2.389186      -796.190615       299.816962      -7.91539760       10.78506230      52146      0654      211
0.296156      8.302733      44.219700      -1.223554      2.476000      2.500000      0.785933      0.180978       2.544709      -875.704773       184.795417      -7.68163400       10.58827590      52146      0654      236
0.203893      7.609896      43.672500      -1.077917      2.242000      4.000000      0.753691      -0.155139      2.543114      -741.639355       114.152863      11.00311760       -8.82123170      52148      0656      372
