z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.096204      7.867419      43.213600      -1.794339      2.598000      1.500000      0.957183      2.375228       2.466738      27.33690570       13.80365250      51877      0431      471
0.053580      7.257985      43.129600      -1.268906      2.547000      2.000000      0.861680      1.906250       2.333513      123.33052600      46.14715420      51877      0439      566
0.265268      8.181601      43.922300      -1.399822      2.834000      2.000000      0.641980      0.357266       2.671346      131.77553660      52.33315060      51877      0447      480
0.062511      7.682131      43.153100      -1.669551      1.995000      2.000000      0.765886      1.248089       2.445883      25.36582190       13.07683400      51882      0426      045
0.073458      7.184969      43.110500      -1.214990      2.964000      1.500000      0.569152      2.479208       2.573896      127.07965420      50.69218750      51882      0442      113
0.172721      7.788869      43.811800      -1.117589      2.813000      3.500000      0.891875      -0.626454      2.599916      129.14161410      53.01383110      51883      0444      555
0.179510      7.333124      43.725500      -0.748144      4.234000      2.500000      0.571412      1.998351       2.809697      118.18601590      43.68480270      51885      0434      567
0.162999      7.679884      43.660400      -1.160004      2.301000      2.500000      0.621758      0.297329       2.405815      21.02698230       15.21199870      51893      0424      451
0.220803      8.724274      44.253400      -1.611394      2.283000      3.000000      0.673343      -1.243371      2.620282      29.40876110       13.15874430      51900      0427      276
0.335723      8.286187      44.465900      -0.960807      2.670000      4.500000      0.944353      -1.194459      2.578934      132.83585430      57.05507790      51900      0448      417
0.143643      7.237614      43.413600      -0.964535      2.631000      3.000000      0.765182      0.584819       2.505484      133.81714730      57.02459330      51900      0448      533
0.342516      8.138879      44.342600      -0.936800      2.932000      4.500000      0.774943      -1.210757      2.507613      133.52107960      52.97699670      51900      0449      291
0.304635      8.056053      44.184500      -1.012074      3.290000      2.000000      0.649476      -0.649992      2.509738      133.43072080      53.07143610      51900      0449      296
0.164019      7.609061      43.797200      -0.952382      2.800000      4.000000      0.466081      -1.045090      2.609155      50.61305370       0.90115000       51901      0414      352
0.194852      7.934115      43.622200      -1.452435      2.327000      3.000000      0.709585      0.257885       2.470066      136.91469740      59.31456020      51907      0484      378
0.017294      6.849415      42.177700      -1.812236      2.070000      2.500000      0.773312      1.944496       2.310119      165.63878980      -0.29104380      51908      0277      180
0.167983      7.633190      43.736700      -1.037010      2.795000      4.000000      0.915653      -0.872200      2.495955      137.83090150      54.67926660      51908      0450      052
0.037142      7.612020      42.979200      -1.773341      2.912000      3.500000      0.645572      -0.498598      2.467525      136.15398580      55.60074430      51908      0450      469
0.117948      7.327414      43.546800      -0.921134      3.375000      4.000000      0.899660      -0.642867      2.336471      138.70289980      56.06003940      51908      0451      265
0.226568      8.023236      44.239700      -0.924057      3.117000      3.500000      0.982356      -0.614217      2.643579      141.99351060      57.20959450      51908      0451      619
0.169450      7.337001      43.801500      -0.676021      3.179000      2.000000      0.732764      1.998179       2.850990      36.51236760       -9.27669990      51908      0454      260
0.214939      7.830907      43.688200      -1.283228      2.739000      3.500000      0.956076      -1.217083      2.566556      59.95901450       -6.82093420      51908      0464      112
0.227972      8.144564      43.921600      -1.363484      2.265000      3.000000      0.853357      -0.609493      2.582926      152.56544110      -1.01059120      51909      0270      205
0.259193      7.983657      44.247500      -0.876678      3.495000      1.500000      0.558140      1.072357       2.463399      162.22836540      -0.84549420      51909      0276      283
0.335705      7.664210      44.143300      -0.661431      2.918000      4.000000      0.655175      -1.802220      2.478276      39.00865020       -9.00029960      51909      0455      139
0.261505      8.407323      44.226800      -1.321044      2.893000      2.500000      0.887825      -0.498991      2.771882      38.94439250       -7.71415050      51909      0455      466
0.149803      7.328018      43.446000      -1.022539      2.557000      3.500000      0.769209      0.169940       2.525253      161.24313080      0.93591500       51910      0275      442
0.274353      7.933149      43.952800      -1.120869      2.584000      3.500000      0.574784      -1.533036      2.466838      62.53689490       -6.59331870      51910      0465      104
0.327687      8.436512      44.093800      -1.483233      2.645000      4.000000      0.986025      -0.101885      2.800610      62.52304670       -6.60892420      51910      0465      109
0.056638      7.776764      42.905700      -2.011585      2.161000      2.000000      0.760486      1.926587       2.409850      61.45326230       -6.32380990      51910      0465      278
0.038801      6.677689      42.800400      -1.017809      3.206000      4.000000      0.903546      -0.522198      2.450357      62.37147450       -4.48407700      51910      0465      548
0.158554      8.335214      43.849700      -1.626035      2.489000      2.000000      0.643134      1.237818       2.766175      145.43679360      57.85655250      51911      0452      080
0.286278      8.122515      44.257300      -1.005736      2.764000      3.500000      0.664313      -0.903999      2.501514      160.52561670      -0.65487000      51913      0274      045
0.188953      8.139358      43.889100      -1.390778      3.138000      3.500000      0.475583      -1.264381      2.549358      134.76655920      2.08440390       51913      0469      453
0.142305      8.128955      43.581100      -1.688376      2.519000      2.500000      0.488599      1.531377       2.509975      148.17512570      58.69826740      51915      0453      069
0.075094      7.958619      43.145100      -1.954040      2.835000      3.500000      0.597059      0.193134       2.443624      145.56074120      59.99452970      51915      0453      372
0.379517      7.789972      44.402700      -0.527793      3.157000      4.500000      0.709182      -1.027291      2.713802      48.00808300       -6.62176240      51924      0459      420
0.164350      7.823364      43.628300      -1.335585      2.562000      3.000000      0.854086      0.222020       2.549652      51.28735600       -6.65001300      51924      0460      594
0.101700      7.732584      43.415000      -1.458104      2.667000      2.000000      0.728010      1.582056       2.598805      136.43254080      1.51577460       51924      0471      190
