Ho      EP     EN    Year      Type
 57    +5     -5     1997.8      B 
 50    +3     -3     1997.944    S 
 65    +10    -10    1997.958    S 
 60    +10    -10    1998.021    S 
 47    +23    -15    1998.051    Z 
 65    +20    -14    1998.074    B 
 66    +15    -14    1998.081    L 
 82    +16    -16    1998.092    R 
 30    +18    -7     1998.1      CM
 47    +6     -6     1998.113    CM
 42    +12    -9     1998.14     Z 
 62    +7     -7     1998.16     L 
 72    +12    -12    1998.2      TK
 58    +11    -11    1998.158    CM
 57    +7     -7     1998.169    BS
 60    +11    -11    1998.194    O 
 56    +3     -3     1998.2      B 
 51    +4     -4     1998.2      B 
 57    +8     -8     1998.212    O 
 58    +19    -18    1998.214    L 
 70    +10    -10    1998.22     Z 
 57    +7     -7     1998.223    AS
 74    +8     -7     1998.231    L 
 60    +6     -6     1998.25     S 
 57    +7     -7     1998.344    AS
 62    +6     -6     1998.345    G 
 61    +13    -15    1998.9      L 
 68    +5     -5     1998.37     A 
 79    +7     -7     1998.382    A 
 61    +5     -5     1998.406    O 
 77    +8     -8     1998.444    O 
 55    +10    -10    1998.5      L 
 65    +3     -3     1998.55     S 
 87    +11    -11    1998.6      F 
 55    +8     -8     1998.621    S 
 49    +29    -29    1998.632    Z 
 79    +12    -12    1998.667    D 
 47    +14    -14    1998.67     Z 
 70    +18    -18    1998.678    T 
 71    +13    -13    1998.681    L 
 82    +8     -8     1998.714    G 
 77    +4     -4     1998.756    R 
 60    +10    -10    1998.775    O 
 53    +38    -28    1998.85     Z 
 64    +4     -4     1998.869    S 
 42    +9     -9     1998.883    O 
 69    +8     -8     1999.07     R    
 64    +4     -4     1999        S 
 73    +8     -8     1999.02     AK   
 58    +11    -11    1999.04     OC
 61    +6     -6     1999.095    S 
 44    +7     -7     1999.155    Z 
 59    +5     -5     1999.21     S 
 77    +29    -24    1999.218    L 
 69    +13    -19    1999.253    L 
 65    +5     -5     1999.258    A 
 57    +23    -16    1999.288    ZC
 46    +14    -11    1999.29     Z 
 63    +7     -7     1999.3      L 
 62    +5     -5     1999.317    S 
 56    +6     -6     1999.322    OS
 52    +5     -4     1999.325    B 
 60    +2     -2     1999.328    SS
 65    +2     -2     1999.35     S 
 72    +6     -6     1999.352    O 
 70    +5     -6     1999.382    AK
 79    +7     -7     1999.403    S 
 68    +10    -10    1999.409    A 
 73    +11    -13    1999.41     Z 
 78    +11    -11    1999.419    DK
 71    +8     -8     1999.42     BK
 69    +7     -7     1999.43     OK
 68    +5     -5     1999.44     SK
 68    +6     -6     1999.445    AK
 71    +6     -6     1999.445    AK
 79    +7     -7     1999.446    S 
 60    +12    -12    1999.447    Z 
 63    +12    -12    1999.447    Z 
 67    +12    -12    1999.447    Z 
 69    +18    -12    1999.448    L 
 64    +8     -6     1999.458    S 
 65    +8     -8     1999.464    A 
 63    +4     -4     1999.516    S 
 77    +7     -7     1999.52     F 
 74    +7     -7     1999.538    F 
 59    +8     -7     1999.556    LC
 68    +13    -13    1999.557    LC
 74    +18    -17    1999.56     L 
 55    +15    -14    1999.56     L 
 71    +7     -5     1999.561    L 
 69    +13    -10    1999.562    L 
 65    +1     -1     1999.575    S 
 68    +5     -5     1999.618    SK
 66    +6     -6     1999.669    O 
 69    +6     -6     1999.672    FK
 71    +7     -7     1999.675    AK
 72    +4     -4     1999.689    S 
 71    +6     -6     1999.692    AK
 78    +10    -10    1999.706    DK
 60    +20    -15    1999.708    L                               
 71    +8     -8     1999.711    TK
 71    +6     -6     1999.715    AK
 68    +6     -6     1999.717    AK
 69    +13    -19    1999.733    L              
 74    +4     -4     1999.803    S 
 57    +3     -3     1999.808    O 
 77    +8     -8     1999.846    R 
 81    +10    -10    1999.847    H 
 69    +9     -9     1999.866    G 
 61    +11    -11    1999.87     L 
 58    +5     -5     1999.88     SS
 63    +21    -21    1999.92     Z 
 55    +3     -3     1999.97     O 
 70    +12    -12    1999.98     O 
 50    +22    -17    2000.01     Z 
 70    +15    -32    2000.167    O 
 59    +6     -6     2000.267    SS
 71    +7     -7     2000.286    A 
 85    +5     -5     2000.35     O 
 92    +5     -5     2000.354    O 
 40    +13    -13    2000.4      O 
 67    +2     -2     2000.436    A 
 70    +4     -4     2000.508    S 
 71    +7     -7     2000.524    AK
 52    +14    -8     2000.53     L 
 65    +8     -8     2000.535    A                            
 59    +38    -28    2000.586    ZC
 65    +2     -2     2000.591    S                                                                                  
 68    +10    -10    2000.63     O 
