SiIV1403        data
-296.500493389  0.98579040852
-291.352516282  0.94316163410
-286.567357411  0.85968028419
-281.939767121  0.88987566607
-277.126189067  0.96625222024
-271.970633511  0.96625222024
-266.985593053  1.00710479574
-262.027077166  0.89875666074
-257.222656404  0.92362344582
-252.409709888  0.99644760213
-247.429405960  1.01065719361
-242.627195579  1.02309058615
-237.661732781  0.95381882770
-232.500809157  0.98401420959
-227.716281824  0.89698046181
-222.921965660  0.86500888099
-218.469942767  0.90763765541
-213.134714821  0.91829484902
-207.804854944  0.89875666074
-203.362305112  0.88809946714
-198.374738504  0.94316163410
-193.411486086  0.86145648312
-188.614012236  0.84724689165
-183.973791198  0.94849023090
-179.182948490  0.89698046181
-174.042865601  0.80994671403
-169.039194790  0.95559502664
-164.053207026  1.00177619893
-159.446141701  0.91651865008
-154.455733175  0.98756660746
-149.668679692  0.91474245115
-144.506492994  0.95204262877
-139.863114269  1.07104795737
-134.718926386  1.00710479574
-130.284270772  0.95204262877
-125.127136373  0.96092362344
-120.148727057  0.96447602131
-115.182632722  0.89875666074
-111.074166173  1.00888099467
-105.560528913  1.02309058615
-101.126504835  0.96447602131
-96.4970199329  1.00532859680
-91.5179790803  1.01243339254
-86.5389382277  1.01953818828
-81.5627392935  1.01065719361
-76.5792776791  1.04262877442
-71.6068679692  1.01243339254
-66.6265640418  1.02664298401
-61.4621669627  1.07637655417
-56.8601539372  0.96269982238
-51.8555358200  1.11367673179
-47.2247878429  1.16163410302
-42.0837576475  1.07992895204
-37.4719557924  1.02131438721
-32.6836392343  0.95559502664
-27.5347148214  0.91829484902
-22.3782119597  0.92362344582
-17.7414643773  1.00532859680
-13.1467140320  0.85079928952
-7.99905269390  0.80639431616
-3.21420959147  0.72113676731
1.75725281232  0.68561278863
6.04160252615  0.78507992895
11.3787250839  0.80639431616
16.1676731794  0.74422735346
21.1486086442  0.76198934280
26.2905861456  0.68561278863
30.5973554371  0.91119005328
35.5789224393  0.93250444049
40.5601736728  0.95204262877
45.8862443260  0.91119005329
50.5132030787  0.93783303730
55.3119400039  0.93072824156
60.2732978094  0.83836589698
64.9068877048  0.90230905862
69.8912966252  0.93960923623
74.8738109335  0.96625222025
79.8433787251  0.92007104796
84.6626406157  1.02841918295
89.6312611012  0.97690941385
94.4410499309  1.03197158082
99.2369449378  1.00888099467
104.222616933  1.05328596803
109.366173278  0.98579040853
114.001657786  1.06039076377
119.147108743  1.00355239787
123.950897967  1.02486678508
129.103927373  1.01065719361
133.529741464  0.90586145648
138.512887310  0.93605683837
143.136688376  0.94493783304
147.779119795  1.05861456483
153.289283600  1.05328596803
158.093072824  1.07460035524
162.693822775  0.95381882771
167.667811328  0.93250444049
172.658219854  1.00355239787
177.626840339  0.95204262877
182.421472272  0.92184724689
187.426406157  1.07460035524
192.221038090  1.04440497336
197.026721926  1.07637655417
201.993763568  1.01598579041
206.958279061  0.94138543517
211.411565029  0.99111900533
216.564594435  0.97690941385
221.380382870  1.06571936057
226.174383264  1.03197158082
230.621669627  1.04795737123
236.127728439  1.01953818828
240.945095717  1.11722912966
245.733412276  1.05150976909
251.058851391  1.00710479574
255.144266825  0.98756660746
260.293507006  0.95204262877
264.918886915  0.96980461812
270.082020920  1.01243339254
275.409986185  0.98223801066
280.036944938  1.00888099467
285.185237813  0.96802841918
289.642944543  1.04262877442
295.503295836  1.00710479574
