# Matter power spectrum P(k) at redshift z=0
# for k=1.03357e-05 to 5.43082 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.033566789962e-05       4.951275658247e+01 
       2.297376901659e-05       1.071097512297e+02 
       3.565487051180e-05       1.637670647322e+02 
       4.841181529509e-05       2.200580218374e+02 
       6.127797118478e-05       2.763117289993e+02 
       7.428751736720e-05       3.327761550455e+02 
       8.747573971149e-05       3.896640634352e+02 
       1.008793387312e-04       4.471718351417e+02 
       1.145367540137e-04       5.054891287059e+02 
       1.284885089710e-04       5.648047172550e+02 
       1.427775797755e-04       6.253105410565e+02 
       1.574497923075e-04       6.872048486401e+02 
       1.725542508043e-04       7.506948775669e+02 
       1.881438016230e-04       8.159992914739e+02 
       2.042755350112e-04       8.833505081455e+02 
       2.210113269442e-04       9.529970099815e+02 
       2.384184217761e-04       1.025205647789e+03 
       2.565700545131e-04       1.100263974688e+03 
       2.755461087193e-04       1.178482592462e+03 
       2.954338021560e-04       1.260197477036e+03 
       3.163283869230e-04       1.345772221998e+03 
       3.383338437860e-04       1.435600113957e+03 
       3.615635411999e-04       1.530105895898e+03 
       3.861408180271e-04       1.629747049442e+03 
       4.121994350047e-04       1.735014356080e+03 
       4.398838239044e-04       1.846431445168e+03 
       4.693490458635e-04       1.964552973193e+03 
       5.007603532405e-04       2.089961032769e+03 
       5.342922353897e-04       2.223259319298e+03 
       5.701268222026e-04       2.365064656572e+03 
       6.084515257725e-04       2.515995461789e+03 
       6.494558266635e-04       2.676656920498e+03 
       6.933271632982e-04       2.847622892360e+03 
       7.402459648069e-04       3.029414886164e+03 
       7.903799778939e-04       3.222478920408e+03 
       8.438781672258e-04       3.427161621614e+03 
       9.008645969466e-04       3.643687255416e+03 
       9.614328000621e-04       3.872137940592e+03 
       1.025641181648e-03       4.112439049706e+03 
       1.093509956880e-03       4.364351867568e+03 
       1.165019988828e-03       4.627474651237e+03 
       1.240113680810e-03       4.901252410548e+03 
       1.318697833273e-03       5.184994750185e+03 
       1.400648146579e-03       5.477899869780e+03 
       1.485814885201e-03       5.779078366465e+03 
       1.574029143284e-03       6.087566289630e+03 
       1.665109168558e-03       6.402423554910e+03 
       1.758866291671e-03       6.722682466953e+03 
       1.855110139326e-03       7.047395250559e+03 
       1.953652949915e-03       7.375650999801e+03 
       2.054312934789e-03       7.706588112559e+03 
       2.156916723144e-03       8.039403016554e+03 
       2.261300989986e-03       8.373354357593e+03 
       2.367313398094e-03       8.707765560406e+03 
       2.474812993236e-03       9.042023669294e+03 
       2.583670184728e-03       9.375577729489e+03 
       2.693766427456e-03       9.707934833860e+03 
       2.804993701867e-03       1.003865744076e+04 
       2.917253868549e-03       1.036735837260e+04 
       3.030457955779e-03       1.069369624187e+04 
       3.144525422899e-03       1.101737220172e+04 
       3.259383429691e-03       1.133812475226e+04 
       3.374966132006e-03       1.165572616284e+04 
       3.491214016368e-03       1.196997942830e+04 
       3.608073280749e-03       1.228071378358e+04 
       3.725495264754e-03       1.258778434866e+04 
       3.843435929724e-03       1.289106768318e+04 
       3.961855387443e-03       1.319045844408e+04 
       4.080717475016e-03       1.348586792522e+04 
       4.199989372808e-03       1.377722642856e+04 
       4.319641262024e-03       1.406447295509e+04 
       4.439646018430e-03       1.434756119914e+04 
       4.559978938785e-03       1.462645749313e+04 
       4.680617496677e-03       1.490112286112e+04 
       4.801541124735e-03       1.517150515240e+04 
       4.922731020377e-03       1.543770190510e+04 
       5.044169972529e-03       1.569962220044e+04 
       5.165842207000e-03       1.595723744315e+04 
       5.287733248433e-03       1.621068000430e+04 
       5.409829796957e-03       1.645991179817e+04 
       5.532119617913e-03       1.670489577760e+04 
       5.654591443144e-03       1.694566633482e+04 
       5.777234882587e-03       1.718150683981e+04 
       5.900040344978e-03       1.741392033880e+04 
       6.022998966678e-03       1.764213819025e+04 
       6.146102547700e-03       1.786634188263e+04 
       6.269343494150e-03       1.808659442900e+04 
       6.392714766379e-03       1.830300593191e+04 
       6.516209832218e-03       1.851489773502e+04 
       6.639822624758e-03       1.872288226886e+04 
       6.763547504176e-03       1.892685048427e+04 
       6.887379223190e-03       1.912702284068e+04 
       7.011312895748e-03       1.932328711399e+04 
       7.135343968633e-03       1.951578146990e+04 
       7.259468195661e-03       1.970437630435e+04 
       7.383681614227e-03       1.988905327722e+04 
       7.507980523954e-03       2.007025432117e+04 
       7.632361467229e-03       2.024818871506e+04 
       7.756821211452e-03       2.042198363189e+04 
       7.881356732819e-03       2.059211843502e+04 
       8.005965201499e-03       2.075867439959e+04 
       8.130643968063e-03       2.092174837068e+04 
       8.255390551059e-03       2.108128971308e+04 
       8.380202625607e-03       2.123736212449e+04 
       8.505078012939e-03       2.139000534155e+04 
       8.630014670789e-03       2.153927694168e+04 
       8.755010684545e-03       2.168518854372e+04 
       8.880064259117e-03       2.182774042236e+04 
       9.005173711443e-03       2.196706202465e+04 
       9.130337463573e-03       2.210313771538e+04 
       9.255554036295e-03       2.223599253548e+04 
       9.380822043247e-03       2.236572419171e+04 
       9.506140185476e-03       2.249165758057e+04 
       9.631507246401e-03       2.261579537239e+04 
       9.756922087164e-03       2.273622858358e+04 
       9.882383642309e-03       2.285369967586e+04 
       1.000789091579e-02       2.296803835854e+04 
       1.013344297728e-02       2.307949748458e+04 
       1.025903895870e-02       2.318811010431e+04 
       1.038467805107e-02       2.329366603406e+04 
       1.051035950151e-02       2.339656170401e+04 
       1.063608261053e-02       2.349648932334e+04 
       1.076184672943e-02       2.359368386025e+04 
       1.088765125796e-02       2.368809921882e+04 
       1.101349564207e-02       2.377983371829e+04 
       1.113937937191e-02       2.386894540114e+04 
       1.126530197987e-02       2.395522469808e+04 
       1.139126303879e-02       2.403899476638e+04 
       1.151726216036e-02       2.412014267784e+04 
       1.164329899355e-02       2.419883839452e+04 
       1.176937322313e-02       2.427479264779e+04 
       1.189548456843e-02       2.434836155800e+04 
       1.202163278201e-02       2.441942013978e+04 
       1.214781764856e-02       2.448806565518e+04 
       1.227403898380e-02       2.455433267462e+04 
       1.240029663350e-02       2.461824398622e+04 
       1.252659047253e-02       2.467966264531e+04 
       1.265292040403e-02       2.473889882921e+04 
       1.277928635860e-02       2.479572142262e+04 
       1.290568829355e-02       2.485035922690e+04 
       1.303212619225e-02       2.490273029194e+04 
       1.315860006346e-02       2.495299678592e+04 
       1.328510994079e-02       2.500095841558e+04 
       1.341165588212e-02       2.504675324255e+04 
       1.353823796918e-02       2.509042191992e+04 
       1.366485630700e-02       2.513192682619e+04 
       1.379151102361e-02       2.517152062810e+04 
       1.391820226959e-02       2.520894352395e+04 
       1.404493021776e-02       2.524437851263e+04 
       1.417169506289e-02       2.527770244559e+04 
       1.429849702141e-02       2.530914797358e+04 
       1.442533633118e-02       2.533858708701e+04 
       1.455221325128e-02       2.536618856063e+04 
       1.467912806183e-02       2.539194352079e+04 
       1.480608106381e-02       2.541564175390e+04 
       1.493307257897e-02       2.543760544114e+04 
       1.506010294971e-02       2.545779117436e+04 
       1.518717253898e-02       2.547601890084e+04 
       1.531428173025e-02       2.549253498669e+04 
       1.544143092746e-02       2.550731403315e+04 
       1.556862055500e-02       2.552037571640e+04 
       1.569585105773e-02       2.553175319823e+04 
       1.582312290103e-02       2.554135626263e+04 
       1.595043657078e-02       2.554928892305e+04 
       1.607779257349e-02       2.555560189245e+04 
       1.620519143636e-02       2.555967675029e+04 
       1.633263370740e-02       2.556348845802e+04 
       1.646011995551e-02       2.556509515745e+04 
       1.658765077068e-02       2.556506215358e+04 
       1.671522676410e-02       2.556347745271e+04 
       1.684284856835e-02       2.556049416717e+04 
