# Matter power spectrum P(k) at redshift z=1
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345347051603e-02       9.113781103379e+03 
       1.358213575713e-02       9.130256737749e+03 
       1.371083727760e-02       9.145927313924e+03 
       1.383957518639e-02       9.160805336577e+03 
       1.396834961557e-02       9.174903832258e+03 
       1.409716071990e-02       9.188233454986e+03 
       1.422600867652e-02       9.200789367761e+03 
       1.435489368463e-02       9.212612079916e+03 
       1.448381596521e-02       9.223676351538e+03 
       1.461277576080e-02       9.234016377601e+03 
       1.474177333527e-02       9.243621729657e+03 
       1.487080897367e-02       9.252520260219e+03 
       1.499988298201e-02       9.260697134619e+03 
       1.512899568719e-02       9.268192488571e+03 
       1.525814743687e-02       9.274990306672e+03 
       1.538733859939e-02       9.281112648901e+03 
       1.551656956372e-02       9.286565460835e+03 
       1.564584073940e-02       9.291354355973e+03 
       1.577515255657e-02       9.295491876889e+03 
       1.590450546593e-02       9.298984000377e+03 
       1.603389993880e-02       9.301839052412e+03 
       1.616333646718e-02       9.304062190942e+03 
       1.629281556376e-02       9.305672907434e+03 
       1.642233776207e-02       9.306674011449e+03 
       1.655190361655e-02       9.307059911301e+03 
       1.668151370268e-02       9.306860950857e+03 
       1.681116861713e-02       9.306074193050e+03 
       1.694086897792e-02       9.304721138844e+03 
       1.707061542457e-02       9.302783553986e+03 
       1.720040861833e-02       9.300285985872e+03 
       1.733024924236e-02       9.297231566803e+03 
       1.746013800200e-02       9.293640396909e+03 
       1.759007562495e-02       9.289503605123e+03 
       1.772006286159e-02       9.284802353684e+03 
       1.785010048523e-02       9.279645663913e+03 
       1.798018929242e-02       9.273913714417e+03 
       1.811033010322e-02       9.267735965052e+03 
       1.824052376159e-02       9.260985790906e+03 
       1.837077113569e-02       9.253779317045e+03 
       1.850107311825e-02       9.246077080260e+03 
       1.863143062694e-02       9.237948902396e+03 
       1.876184460481e-02       9.229313441000e+03 
       1.889231602063e-02       9.220165353739e+03 
       1.902284586938e-02       9.210640353051e+03 
       1.915343517266e-02       9.200600011076e+03 
       1.928408497917e-02       9.189882833715e+03 
       1.941479636520e-02       9.178989448238e+03 
