# Matter power spectrum P(k) at redshift z=10
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       6.406924383681e-01 
       2.326965112415e-05       1.392195205619e+00 
       3.616368416872e-05       2.131461078709e+00 
       4.913719191725e-05       2.866079964738e+00 
       6.222526306445e-05       3.600427282065e+00 
       7.546386573355e-05       4.337816600112e+00 
       8.889016871877e-05       5.081104168328e+00 
       1.025428768881e-04       5.832937347284e+00 
       1.164625850318e-04       6.595882592772e+00 
       1.306921544768e-04       7.372503548709e+00 
       1.452771167917e-04       8.165415809327e+00 
       1.602661088538e-04       8.977330019525e+00 
       1.757113433749e-04       9.811089033513e+00 
       1.916691186261e-04       1.066970221584e+01 
       2.082003704664e-04       1.155637859954e+01 
       2.253712687320e-04       1.247455991667e+01 
       2.432538584340e-04       1.342795397334e+01 
       2.619267438085e-04       1.442056857389e+01 
       2.814758098240e-04       1.545674579919e+01 
       3.019949709311e-04       1.654119607903e+01 
       3.235869302956e-04       1.767903110013e+01 
       3.463639240694e-04       1.887579414799e+01 
       3.704484140748e-04       2.013748563494e+01 
       3.959736783305e-04       2.147058114856e+01 
       4.230842321522e-04       2.288203812771e+01 
       4.519359935960e-04       2.437928654770e+01 
       4.826960870561e-04       2.597019797567e+01 
       5.155421603026e-04       2.766302646173e+01 
       5.506610770747e-04       2.946631436812e+01 
       5.882468451593e-04       3.138875617508e+01 
       6.284976558419e-04       3.343901517858e+01 
       6.716119524841e-04       3.562548982508e+01 
       7.177835202354e-04       3.795603138348e+01 
       7.671956976641e-04       4.043762117507e+01 
       8.200149485639e-04       4.307602230535e+01 
       8.763841814321e-04       4.587542988625e+01 
       9.364163367091e-04       4.883814887309e+01 
       1.000188842050e-03       5.196433432839e+01 
       1.067739530131e-03       5.525182473630e+01 
       1.139064503232e-03       5.869609314060e+01 
       1.214118221415e-03       6.229032849935e+01 
       1.292815822631e-03       6.602564230203e+01 
       1.375037409658e-03       6.989111468113e+01 
       1.460633819102e-03       7.387468093308e+01 
       1.549433263643e-03       7.796361505662e+01 
       1.641248223755e-03       8.214441102706e+01 
       1.735882043984e-03       8.640343911581e+01 
       1.833134827612e-03       9.072728799361e+01 
       1.932808383248e-03       9.510304475683e+01 
       2.034710125310e-03       9.951850013598e+01 
       2.138655947702e-03       1.039622842469e+02 
       2.244472168970e-03       1.084239532515e+02 
       2.351996690194e-03       1.128940117426e+02 
       2.461079521215e-03       1.173639075728e+02 
       2.571582825405e-03       1.218259950806e+02 
       2.683380616443e-03       1.262734729899e+02 
       2.796358218551e-03       1.307003327570e+02 
       2.910411578940e-03       1.351012643825e+02 
       3.025446500155e-03       1.394716136521e+02 
       3.141377841964e-03       1.438072852176e+02 
       3.258128727682e-03       1.481047126003e+02 
       3.375629778325e-03       1.523607678638e+02 
       3.493818389235e-03       1.565727439972e+02 
       3.612638057434e-03       1.607382782509e+02 
       3.732037763424e-03       1.648553592912e+02 
       3.851971407996e-03       1.689222242451e+02 
       3.972397302585e-03       1.729374254076e+02 
       4.093277710397e-03       1.768996931905e+02 
       4.214578434808e-03       1.808080256781e+02 
       4.336268451195e-03       1.846615508761e+02 
       4.458319578280e-03       1.884596405567e+02 
       4.580706185135e-03       1.922017387574e+02 
       4.703404930208e-03       1.958874630920e+02 
       4.826394528974e-03       1.995165647713e+02 
       4.949655547086e-03       2.030888452870e+02 
       5.073170216191e-03       2.066042525483e+02 
       5.196922269879e-03       2.100627699175e+02 
       5.320896797456e-03       2.134644544837e+02 
       5.445080113527e-03       2.168094546684e+02 
       5.569459641572e-03       2.200978913133e+02 
       5.694023809915e-03       2.233300627826e+02 
       5.818761958675e-03       2.265061623827e+02 
       5.943664256446e-03       2.296265555694e+02 
       6.068721625606e-03       2.326914222458e+02 
       6.193925675282e-03       2.357012612521e+02 
       6.319268641115e-03       2.386563182616e+02 
       6.444743331067e-03       2.415571207338e+02 
       6.570343076612e-03       2.444039839559e+02 
       6.696061688712e-03       2.471973660040e+02 
       6.821893418064e-03       2.499377267260e+02 
       6.947832919166e-03       2.526255383198e+02 
       7.073875217785e-03       2.552612171035e+02 
       7.200015681476e-03       2.578452379542e+02 
       7.326249992837e-03       2.603781421211e+02 
       7.452574125202e-03       2.628604215930e+02 
       7.578984320550e-03       2.652924375944e+02 
       7.705477069379e-03       2.676749212459e+02 
       7.832049092365e-03       2.700081682364e+02 
       7.958697323625e-03       2.722927140554e+02 
       8.085418895432e-03       2.745290677650e+02 
       8.212211124224e-03       2.767177855671e+02 
       8.339071497814e-03       2.788592821472e+02 
       8.465997663657e-03       2.809540022554e+02 
       8.592987418093e-03       2.830026598159e+02 
       8.720038696471e-03       2.850056005040e+02 
       8.847149564069e-03       2.869632592175e+02 
       8.974318207751e-03       2.888761321950e+02 
       9.101542928276e-03       2.907448311013e+02 
       9.228822133218e-03       2.925697613424e+02 
       9.356154330437e-03       2.943514422793e+02 
       9.483538122048e-03       2.960903451509e+02 
       9.610972198861e-03       2.977868648050e+02 
       9.738455335230e-03       2.994415598586e+02 
       9.865986384300e-03       3.010548304832e+02 
       9.993564273599e-03       3.026272459217e+02 
       1.012118800096e-02       3.041591412282e+02 
       1.024885663075e-02       3.056510376685e+02 
       1.037656929035e-02       3.071034150200e+02 
       1.050432516691e-02       3.085165594991e+02 
       1.063212350435e-02       3.098911679291e+02 
       1.075996360053e-02       3.112275568808e+02 
       1.088784480465e-02       3.125260646579e+02 
       1.101576651488e-02       3.137872236167e+02 
       1.114372817602e-02       3.150114337238e+02 
       1.127172927752e-02       3.161992477278e+02 
       1.139976935144e-02       3.173508917902e+02 
       1.152784797069e-02       3.184668904630e+02 
