Galaxy   Type   mFUV   mFUVhi   mFUVlo   mNUV   mNUVhi   mNUVlo   m36   m36hi   m36lo   BTUV   BT36   DTUV   DT36   DT36B   DT36D   DTFB   DTFV   DTNB   DTND   MBH   MBHlo   MBHhi   dist   M3.6m
NGC2748   Sbc   13.98   0.36   -0.36   13.52   0.36   -0.36   11.05   0.34   -0.34   NA   0.03   0.97   0.97   0.34   0.11   NA   1.16   NA   1.17   7.65   -0.24   0.24   21.8953338321381   -20.6517578557362
NGC2787   SB0-a   16.66   0.54   -0.54   14.85   0.36   -0.36   9.85   0.35   -0.35   0.39   0.51   0.59   0.45   0.19   0.07   2.32   1.65   2.34   1.66   7.61   -0.09   0.09   10.3067718334422   -20.2156133097081
NGC2903   SBbc   11.66   0.33   -0.33   11.17   0.36   -0.36   8.35   0.34   -0.34   NA   0.07   0.9   0.9   0.25   0.08   NA   0.96   NA   0.96   7.06   -7.06   0.28   8.13762755845763   -21.2024890462838
NGC2964   SBbc   14.13   0.35   -0.35   13.47   0.35   -0.35   10.72   0.34   -0.34   NA   0.1   0.9   0.9   0.2   0.06   NA   0.75   NA   0.75   6.73   -6.73   0.61   19.5436276593093   -20.735025899829
NGC2974   E4   16.98   0.23   -0.23   15.59   0.24   -0.24   10.52   0.22   -0.22   0.49   0.54   NA   NA   0.01   NA   0.44   NA   0.45   0.45   8.23   -0.09   0.09   28.0221283750685   -21.7175055916587
NGC3021   Sbc   14.6   0.35   -0.35   14.07   0.35   -0.35   11.62   0.34   -0.34   NA   0.01   0.98   0.98   0.19   0.06   NA   0.71   NA   0.71   7.26   -7.26   0.3   22.7749165416612   -20.1672839709118
NGC3031   Sab   10.07   0.36   -0.36   9.29   0.45   -0.45   6.22   0.39   -0.39   0.14   0.46   0.86   0.54   0.23   0.08   1.96   1.3   1.97   1.31   7.81   -0.13   0.13   -0.575955295694484   NA
NGC3079   SBc   12.1   0.36   -0.36   11.69   0.36   -0.36   9.26   0.34   -0.34   0.07   0.24   0.93   0.77   0.57   0.24   1.81   1.73   1.82   1.73   6.4   -0.05   0.05   16.3916315801687   -21.813110921299
NGC3115   E-S0   14.45   0.36   -0.36   12.71   0.35   -0.35   8.18   0.33   -0.33   0.63   0.74   0.37   0.26   0.36   0.13   1.86   1.37   1.87   1.38   8.95   -0.09   0.09   10.1511442322292   -21.8525749923964
NGC3310   SBbc   11.68   0.36   -0.36   11.41   0.36   -0.36   10.69   0.34   -0.34   0.16   0.33   0.83   0.63   0.13   0.05   1.33   0.65   1.33   0.66   6.7   -6.7   0.92   14.6543539256183   -20.1398333811108
