# Matter power spectrum P(k) at redshift z=5
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       2.159310583266e+00 
       2.326965112415e-05       4.692076407123e+00 
       3.616368416872e-05       7.183586576285e+00 
       4.913719191725e-05       9.659413458214e+00 
       6.222526306445e-05       1.213429532893e+01 
       7.546386573355e-05       1.461939107088e+01 
       8.889016871877e-05       1.712431742706e+01 
       1.025428768881e-04       1.965798593772e+01 
       1.164625850318e-04       2.222903411875e+01 
       1.306921544768e-04       2.484608806755e+01 
       1.452771167917e-04       2.751794680704e+01 
       1.602661088538e-04       3.025372709072e+01 
       1.757113433749e-04       3.306298772855e+01 
       1.916691186261e-04       3.595584486841e+01 
       2.082003704664e-04       3.894308265779e+01 
       2.253712687320e-04       4.203626344721e+01 
       2.432538584340e-04       4.524783907602e+01 
       2.619267438085e-04       4.859126375182e+01 
       2.814758098240e-04       5.208110748764e+01 
       3.019949709311e-04       5.573316868800e+01 
       3.235869302956e-04       5.956458224572e+01 
       3.463639240694e-04       6.359391842937e+01 
       3.704484140748e-04       6.784126487070e+01 
       3.959736783305e-04       7.232828261263e+01 
       4.230842321522e-04       7.707822282589e+01 
       4.519359935960e-04       8.211588955994e+01 
       4.826960870561e-04       8.746752745852e+01 
       5.155421603026e-04       9.316061532849e+01 
       5.506610770747e-04       9.922354028479e+01 
       5.882468451593e-04       1.056851315657e+02 
       6.284976558419e-04       1.125740361343e+02 
       6.716119524841e-04       1.199179280204e+02 
       7.177835202354e-04       1.277425574180e+02 
       7.671956976641e-04       1.360706703973e+02 
       8.200149485639e-04       1.449208526673e+02 
       8.763841814321e-04       1.543063773764e+02 
       9.364163367091e-04       1.642341591586e+02 
       1.000188842050e-03       1.747039309044e+02 
       1.067739530131e-03       1.857077426651e+02 
       1.139064503232e-03       1.972298627573e+02 
       1.214118221415e-03       2.092471153013e+02 
       1.292815822631e-03       2.217296284402e+02 
       1.375037409658e-03       2.346410268832e+02 
       1.460633819102e-03       2.479414150903e+02 
       1.549433263643e-03       2.615889782082e+02 
       1.641248223755e-03       2.755395347029e+02 
       1.735882043984e-03       2.897486593339e+02 
       1.833134827612e-03       3.041727351492e+02 
       1.932808383248e-03       3.187697911228e+02 
       2.034710125310e-03       3.335000956933e+02 
       2.138655947702e-03       3.483265338087e+02 
       2.244472168970e-03       3.632148469097e+02 
       2.351996690194e-03       3.781336737899e+02 
       2.461079521215e-03       3.930545991250e+02 
       2.571582825405e-03       4.079519595123e+02 
       2.683380616443e-03       4.228027797645e+02 
       2.796358218551e-03       4.375866291129e+02 
       2.910411578940e-03       4.522853660381e+02 
       3.025446500155e-03       4.668830530782e+02 
       3.141377841964e-03       4.813656727133e+02 
       3.258128727682e-03       4.957210527750e+02 
       3.375629778325e-03       5.099385735049e+02 
       3.493818389235e-03       5.240091026786e+02 
       3.612638057434e-03       5.379247254115e+02 
       3.732037763424e-03       5.516787469068e+02 
       3.851971407996e-03       5.652653262594e+02 
       3.972397302585e-03       5.786796808843e+02 
       4.093277710397e-03       5.919176140072e+02 
       4.214578434808e-03       6.049758026200e+02 
       4.336268451195e-03       6.178513434131e+02 
       4.458319578280e-03       6.305421147595e+02 
       4.580706185135e-03       6.430462308924e+02 
       4.703404930208e-03       6.553623711715e+02 
       4.826394528974e-03       6.674896424405e+02 
       4.949655547086e-03       6.794273462352e+02 
       5.073170216191e-03       6.911752511515e+02 
