 ID    Name                            RA-s               Dec-s            RA            Dec         Type      Velocity         Redshift
 46    ABELL S1063:[RJL2014] 08.1      22h48m46.0104s    -44d31m49.872s    342.19171    -44.53052    G_Lens    917364.921480    3.0600
 47    RXC J2248.7-4431:[MSG2014] 02a  22h48m46.9440s    -44d31m42.261s    342.19560    -44.52840    G_Lens    368444.930882    1.2290
 48    ABELL S1063:[JSB2014] 04.1      22h48m46.4856s    -44d31m48.504s    342.19369    -44.53014    G_Lens    377138.912164    1.2580
 49    ABELL S1063:[DBW2016] 34.2      22h48m45.7230s    -44d31m22.650s    342.19051    -44.52295    G_Lens    569605.670200    1.9000
 50    ABELL S1063:[DBW2016] 21.2      22h48m44.4500s    -44d31m34.820s    342.18520    -44.52633    G_Lens    224844.343500    0.7500
 51    ABELL S1063:[KCC2017] NE-025    22h48m46.8408s    -44d31m45.300s    342.19517    -44.52925    IrS       102229.228178    0.3410
 52    ABELL S1063:[KCC2017] NE-098a   22h48m45.6360s    -44d31m51.384s    342.19015    -44.53094    G_Lens   1514251.705358    5.0510
 53    RXC J2248:[BZC2014] 0979        22h48m45.4486s    -44d31m51.369s    342.18936    -44.53093    G        1768775.502200    5.9000
 54    ABELL S1063:[KCC2017] NE-013    22h48m46.0968s    -44d31m22.188s    342.19207    -44.52283    IrS       100970.099854    0.3368
 55    [BVR2013] J224847.00-443144.0   22h48m47.0112s    -44d31m44.220s    342.19588    -44.52895    G_Lens    377738.497080    1.2600
 56    ABELL S1063:[DBW2016] 51.2      22h48m47.1330s    -44d31m42.210s    342.19638    -44.52839    G_Lens    713625.967023    2.3804
 57    ABELL S1063:[DBW2016] 10.3      22h48m44.3800s    -44d31m31.710s    342.18491    -44.52547    G_Lens    218848.494340    0.7300
 58    ABELL S1063:[KCC2017] NE-099b   22h48m45.2976s    -44d31m21.936s    342.18874    -44.52276    G_Lens   1570013.102546    5.2370
 59    ABELL S1063:[KCC2017] NE-011    22h48m44.7768s    -44d31m49.008s    342.18657    -44.53028    G         100340.535692    0.3347
 60    [BVR2013] J224846.22-443150.6   22h48m46.2499s    -44d31m52.280s    342.19270    -44.53118    G_Lens    368744.723340    1.2300
 61    RX J2248.7-4431:[ZFM2015] 03.1  22h48m46.2504s    -44d31m52.284s    342.19271    -44.53119    G_Lens    377438.704622    1.2590
