 ID    Name                            RA-s               Dec-s            RA            Dec         Type      Velocity         Redshift
202    ABELL S1063:[KCG2015] 14        22h48m41.8728s    -44d31m44.364s    342.17447    -44.52899    G         103728.190468    0.3460
203    ABELL S1063:[CKR2016] B2        22h48m43.1090s    -44d32m08.600s    342.17962    -44.53572    G_Lens    950342.091860    3.1700
204    SSTSL2 J224842.11-443152.6      22h48m42.0624s    -44d31m53.076s    342.17526    -44.53141    IrS       101869.477228    0.3398
205    SSTSL2 J224841.80-443142.4      22h48m41.7816s    -44d31m42.384s    342.17409    -44.52844    G_Lens    428103.630024    1.4280
206    ABELL S1063:[GVR2012] 0966      22h48m41.7780s    -44d31m42.250s    342.17407    -44.52840    G         428103.630024    1.4280
207    ABELL S1063:[KIS2018] 70.1      22h48m42.3184s    -44d31m14.415s    342.17632    -44.52067    G_Lens   1113129.396554    3.7130
208    ABELL S1063:[JSB2014] 14.2      22h48m44.9880s    -44d32m19.284s    342.18745    -44.53869    G_Lens    934752.884044    3.1180
209    SSTSL2 J224842.24-443157.2      22h48m42.1992s    -44d31m57.288s    342.17583    -44.53258    G_Lens    428103.630024    1.4280
210    SSTSL2 J224846.28-443053.9      22h48m46.2456s    -44d30m53.712s    342.19269    -44.51492    IrS       102648.937619    0.3424
211    ABELL S1063:[KIS2018] 63.1      22h48m43.9190s    -44d32m15.550s    342.18299    -44.53765    G_Lens    437696.988680    1.4600
212    SSTSL2 J224842.34-443201.5      22h48m42.3552s    -44d32m01.068s    342.17648    -44.53363    G         103758.169713    0.3461
213    SSTSL2 J224842.42-443202.0      22h48m42.4584s    -44d32m02.688s    342.17691    -44.53408    G         100190.639463    0.3342
214    ABELL S1063:[KCC2017] SW-064    22h48m44.5344s    -44d32m18.924s    342.18556    -44.53859    IrS       100430.473430    0.3350
215    PSZRX G349.49-59.93             22h48m41.6380s    -44d31m36.926s    342.17349    -44.52692    XrayS     104177.879155    0.3475
216    ABELL S1063:[CKR2016] N1        22h48m45.0410s    -44d32m20.400s    342.18767    -44.53900    G_Lens    929356.619800    3.1000
217    ABELL S1063:[KIS2018] 56.2      22h48m45.0398s    -44d32m20.400s    342.18766    -44.53900    G_Lens    901775.713664    3.0080
218    SSTSL2 J224842.87-443208.4      22h48m42.9264s    -44d32m09.132s    342.17886    -44.53587    G_Lens    934752.884044    3.1180
219    [VGE2018] mul 14                22h48m42.9199s    -44d32m09.128s    342.17883    -44.53586    G_Lens    933853.506670    3.1150
220    ABELL S1063:[RJL2014] 07.1      22h48m42.9199s    -44d32m09.160s    342.17883    -44.53587    G_Lens    934752.884044    3.1180
221    ABELL S1063:[CKR2016] A3        22h48m44.9140s    -44d32m20.550s    342.18714    -44.53904    G_Lens    891043.143667    2.9722
222    SSTSL2 J224844.50-443219.4      22h48m44.6064s    -44d32m19.788s    342.18586    -44.53883    G_Lens   1081051.603548    3.6060
223    RXC J2248:[BZC2014] 0743        22h48m41.5985s    -44d31m33.362s    342.17332    -44.52593    G        1774771.351360    5.9200
224    ABELL S1063:[RJL2014] 11.1      22h48m44.5999s    -44d32m19.899s    342.18583    -44.53886    G_Lens   1081051.603548    3.6060
225    ABELL S1063:[DBW2016] 14.1.d    22h48m42.7820s    -44d32m08.960s    342.17825    -44.53582    G_Lens    947344.167280    3.1600
226    ABELL S1063:[CKR2016] B3        22h48m42.7790s    -44d32m09.610s    342.17824    -44.53600    G_Lens    938350.393540    3.1300
227    SSTSL2 J224850.04-443132.3      22h48m50.0330s    -44d31m32.160s    342.20847    -44.52560    G         104657.547087    0.3491
228    ABELL S1063:[JSB2014] 15.3      22h48m42.2200s    -44d31m10.740s    342.17591    -44.51965    G_Lens    749481.145000    2.5000
229    SSTSL2 J224842.98-443212.6      22h48m42.9408s    -44d32m12.048s    342.17892    -44.53668    G_Lens   1081261.458268    3.6067
230    SSTSL2 J224850.03-443145.4      22h48m50.0392s    -44d31m45.427s    342.20849    -44.52928    IrS       490820.212237    1.6372
231    SSTSL2 J224843.47-443216.4      22h48m43.4784s    -44d32m16.368s    342.18116    -44.53788    IrS       101569.684770    0.3388
232    ABELL S1063:[JSB2014] 17.2      22h48m42.9199s    -44d32m12.231s    342.17883    -44.53673    G_Lens   1081051.603548    3.6060
233    WISEA J224841.82-443157.1       22h48m41.7672s    -44d31m56.784s    342.17403    -44.53244    G         181974.022006    0.6070
234    GALEXASC J224841.77-443157.0    22h48m41.7470s    -44d31m56.720s    342.17394    -44.53242    G         182873.399380    0.6100
235    [BVR2013] J224845.22-443224.0   22h48m45.2232s    -44d32m23.892s    342.18843    -44.53997    G_Lens    428103.630024    1.4280
236    [IKO2018] HFF5C-4186-1141       22h48m41.8600s    -44d31m14.200s    342.17441    -44.52061    G        1798754.748000    6.0000
237    SSTSL2 J224843.67-443218.8      22h48m43.6728s    -44d32m18.888s    342.18197    -44.53858    IrS       105227.152758    0.3510
238    HLS J224842.0-443203            22h48m41.9760s    -44d32m02.832s    342.17490    -44.53412    IrS       102229.228178    0.3410
239    ABELL S1063:[DBW2016] 47.3      22h48m41.8720s    -44d31m12.300s    342.17446    -44.52008    G_Lens    802364.534591    2.6764
240    ABELL S1063:[KCG2015] 40        22h48m44.2608s    -44d32m22.452s    342.18442    -44.53957    G         195464.682616    0.6520
241    ABELL S1063:[KCG2015] 34        22h48m41.6784s    -44d31m58.008s    342.17366    -44.53278    G         107625.492422    0.3590
242    WISEA J224845.32-443226.1       22h48m45.3552s    -44d32m25.332s    342.18898    -44.54037    G         104237.837646    0.3477
243    ABELL S1063:[KCG2015] 36        22h48m41.1960s    -44d31m44.256s    342.17165    -44.52896    G          47966.793280    0.1600
244    ABELL S1063:[RJL2014] 14.3      22h48m41.3020s    -44d31m49.860s    342.17209    -44.53051    G_Lens    310285.194030    1.0350
245    SSTSL2 J224843.23-443218.4      22h48m43.3660s    -44d32m19.160s    342.18069    -44.53865    G_Lens    310285.194030    1.0350
246    ABELL S1063:[KCC2017] SW-043a   22h48m41.3016s    -44d31m49.872s    342.17209    -44.53052    G_Lens    310285.194030    1.0350
247    ABELL S1063:[KCC2017] SW-043c   22h48m43.3656s    -44d32m19.176s    342.18069    -44.53866    G_Lens    310285.194030    1.0350
248    Abell S1063:[CJ2023] 019.1      22h48m43.2148s    -44d32m18.297s    342.18006    -44.53841    G_Lens    310285.194030    1.0350
249    Abell S1063:[CJ2023] 019.3      22h48m41.2632s    -44d31m48.864s    342.17193    -44.53024    G_Lens    310285.194030    1.0350
250    SSTSL2 J224842.11-443207.5      22h48m42.1104s    -44d32m07.512s    342.17546    -44.53542    G         100790.224379    0.3362
251    ABELL S1063:[LBL2018] clu009    22h48m42.1500s    -44d31m05.100s    342.17562    -44.51808    G        1682135.481838    5.6110
252    APMUKS(BJ) B224548.03-444805.2  22h48m42.4896s    -44d32m12.984s    342.17704    -44.53694    G         100850.182871    0.3364
253    ABELL S1063:[RJL2014] 14.2      22h48m42.2340s    -44d32m10.130s    342.17597    -44.53614    G_Lens    310285.194030    1.0350
254    ABELL S1063:[KCC2017] SW-043b   22h48m42.2328s    -44d32m10.140s    342.17597    -44.53615    G_Lens    310285.194030    1.0350
255    ABELL S1063:[KCG2015] 52b       22h48m43.5936s    -44d32m21.696s    342.18164    -44.53936    G_Lens   1233046.379754    4.1130
256    SSTSL2 J224846.62-443047.1      22h48m46.6212s    -44d30m47.135s    342.19425    -44.51309    IrS       440095.328344    1.4680
257    Abell S1063:[CJ2023] 019.2      22h48m42.1140s    -44d32m09.103s    342.17547    -44.53586    G_Lens    310285.194030    1.0350
258    SSTSL2 J224844.82-443226.9      22h48m44.8104s    -44d32m26.664s    342.18671    -44.54074    IrS       104627.567842    0.3490
259    ABELL S1063:[KIS2018] 67.1      22h48m46.4300s    -44d32m27.400s    342.19345    -44.54044    G_Lens   2038588.714400    6.8000
260    WISEA J224849.24-443101.8       22h48m49.2439s    -44d31m01.827s    342.20518    -44.51717    G         102499.041390    0.3419
261    RXC J2248.7-4431:[CGR2016] 15c  22h48m41.6844s    -44d31m09.807s    342.17368    -44.51939    G_Lens    917364.921480    3.0600
262    HLS J224847.3-443048            22h48m47.2959s    -44d30m48.144s    342.19706    -44.51337    IrS       431101.554604    1.4380
263    ABELL S1063:[KCG2015] 52a       22h48m42.9840s    -44d32m19.068s    342.17910    -44.53863    G_Lens   1233046.379754    4.1130
264    ABELL S1063:[DBW2016] 23.1      22h48m41.0190s    -44d31m46.550s    342.17091    -44.52959    G_Lens   1016296.432620    3.3900
265    SSTSL2 J224844.38-443226.3      22h48m44.3712s    -44d32m26.340s    342.18488    -44.54065    IrS       104657.547087    0.3491
266    ABELL S1063:[KCG2015] 17        22h48m42.4608s    -44d32m14.784s    342.17692    -44.53744    G         104027.982926    0.3470
267    ABELL S1063:[DBW2016] 32.1      22h48m43.2550s    -44d32m21.350s    342.18022    -44.53926    G_Lens    998308.885140    3.3300
268    HLS J224842.9-443054            22h48m42.8693s    -44d30m54.427s    342.17862    -44.51511    IrS       197863.022280    0.6600
269    ABELL S1063:[DBW2016] 32.2      22h48m42.9450s    -44d32m19.900s    342.17893    -44.53886    G_Lens   1017135.851502    3.3928
270    ABELL S1063:[DBW2016] 23.2      22h48m41.1680s    -44d31m56.510s    342.17153    -44.53236    G_Lens   1451175.372194    4.8406
271    WISEA J224850.72-443132.0       22h48m50.7251s    -44d31m32.050s    342.21135    -44.52556    G         108614.807533    0.3623
272    SSTSL2 J224843.69-443225.4      22h48m43.6920s    -44d32m25.224s    342.18205    -44.54034    G_Lens    102828.813094    0.3430
273    ABELL S1063:[KIS2018] 59.1      22h48m43.6920s    -44d32m25.260s    342.18205    -44.54035    G_Lens    562110.858750    1.8750
274    SSTSL2 J224847.82-443048.0      22h48m47.8296s    -44d30m48.204s    342.19929    -44.51339    IrS       427713.899828    1.4267
275    ABELL S1063:[KIS2018] 60.1      22h48m43.7539s    -44d32m26.221s    342.18230    -44.54061    G_Lens    575601.519360    1.9200
276    Abell S1063:[CJ2023] 007.3      22h48m43.6480s    -44d32m25.767s    342.18186    -44.54049    G_Lens    550718.745346    1.8370
277    ABELL S1063:[DBW2016] 14.3.d    22h48m40.9450s    -44d31m20.580s    342.17060    -44.52238    G_Lens    929356.619800    3.1000
278    ABELL S1063:[JSB2014] 14.3      22h48m40.9600s    -44d31m19.520s    342.17066    -44.52208    G_Lens    934752.884044    3.1180
279    ABELL S1063:[CKR2016] C3        22h48m40.9150s    -44d31m20.870s    342.17047    -44.52246    G_Lens    929356.619800    3.1000
280    ABELL S1063:[DBW2016] 14.3.b    22h48m41.0250s    -44d31m17.380s    342.17093    -44.52144    G_Lens    938110.559573    3.1292
281    ABELL S1063:[CKR2016] C2        22h48m40.9990s    -44d31m18.090s    342.17082    -44.52169    G_Lens    947973.731441    3.1621
282    ABELL S1063:[KIS2018] 59.3      22h48m40.6867s    -44d31m43.050s    342.16952    -44.52862    G_Lens    562110.858750    1.8750
283    ABELL S1063:[JSB2014] 07.1      22h48m40.6536s    -44d31m38.103s    342.16939    -44.52725    G_Lens    550718.745346    1.8370
284    SSTSL2 J224841.84-443213.4      22h48m41.9088s    -44d32m13.164s    342.17462    -44.53699    G_Lens    550718.745346    1.8370
285    ABELL S1063:[YLT2022] 2608      22h48m41.2804s    -44d31m09.591s    342.17200    -44.51933    G        1963640.599900    6.5500
286    SSTSL2 J224843.25-443048.7      22h48m43.2280s    -44d30m48.610s    342.18010    -44.51350    G         105287.111249    0.3512
287    SSTSL2 J224849.29-443055.8      22h48m49.2792s    -44d30m55.872s    342.20533    -44.51552    IrS      1064263.225900    3.5500
288    [BVR2013] J224841.11-443111.4   22h48m41.1100s    -44d31m11.400s    342.17129    -44.51983    G        1775670.728734    5.9230
289    ABELL S1063:[JSB2014] 12.4      22h48m41.1096s    -44d31m11.323s    342.17129    -44.51981    G        1831731.918380    6.1100
290    WISEA J224848.50-443224.9       22h48m48.5042s    -44d32m24.950s    342.20210    -44.54026    G         109124.454712    0.3640
291    ABELL S1063:[KIS2018] 59.2      22h48m41.6304s    -44d32m11.749s    342.17346    -44.53659    G_Lens    562110.858750    1.8750
292    ABELL S1063:[JSB2014] 08.3      22h48m43.3896s    -44d32m27.178s    342.18079    -44.54088    G_Lens    812437.561180    2.7100
293    ABELL S1063:[DBW2016] 24.3      22h48m50.5770s    -44d31m13.630s    342.21073    -44.52045    G_Lens    899377.374000    3.0000
294    ABELL S1063:[RJL2014] 11.3      22h48m40.7500s    -44d31m19.120s    342.16979    -44.52197    G_Lens   1081051.603548    3.6060
295    WISEA J224850.89-443121.5       22h48m50.8839s    -44d31m22.454s    342.21201    -44.52290    IrS       299792.458000    1.0000
296    ABELL S1063:[JSB2014] 18.2      22h48m44.3500s    -44d32m31.419s    342.18479    -44.54206    G_Lens   1049273.603000    3.5000
297    ABELL S1063:[JSB2014] 09.3      22h48m43.2672s    -44d32m26.984s    342.18028    -44.54082    G_Lens    848412.656140    2.8300
298    ABELL S1063:[DBW2016] 24.2      22h48m50.7480s    -44d31m16.580s    342.21145    -44.52127    G_Lens    899377.374000    3.0000
299    ABELL S1063:[DBW2016] 24.1      22h48m50.8700s    -44d31m18.830s    342.21195    -44.52189    G_Lens    899377.374000    3.0000
300    [IKO2018] HFF5C-4650-2338       22h48m46.5062s    -44d32m33.795s    342.19377    -44.54272    G        1678837.764800    5.6000
301    ABELL S1063:[JSB2014] 08.2      22h48m41.9112s    -44d32m18.207s    342.17463    -44.53839    G_Lens     53962.642440    0.1800
302    ABELL S1063:[JSB2014] 08.1      22h48m40.3008s    -44d31m34.395s    342.16792    -44.52622    G_Lens    815435.485760    2.7200
303    ABELL S1063:[JSB2014] 09.2      22h48m41.9472s    -44d32m18.924s    342.17478    -44.53859    G_Lens    851410.580720    2.8400
304    ABELL S1063:[JSB2014] 09.1      22h48m40.2768s    -44d31m34.654s    342.16782    -44.52629    G_Lens    821431.334920    2.7400
305    ABELL S1063:[RJL2014] 12.1      22h48m41.3200s    -44d32m11.828s    342.17216    -44.53661    G_Lens   1037281.904680    3.4600
306    ABELL S1063:[JSB2014] 18.1      22h48m41.3200s    -44d32m11.828s    342.17216    -44.53661    G_Lens   1049273.603000    3.5000
307    SSTSL2 J224843.62-443042.5      22h48m43.5980s    -44d30m42.410s    342.18165    -44.51178    G         160119.151817    0.5341
308    RXC J2248:[BZC2014] 1301        22h48m50.0110s    -44d32m15.061s    342.20837    -44.53751    G        2308401.926600    7.7000
309    ABELL S1063:[DBW2016] 28.3      22h48m40.5320s    -44d31m57.190s    342.16888    -44.53255    G_Lens    389730.195400    1.3000
310    HLS J224849.0-443225            22h48m49.0751s    -44d32m25.094s    342.20447    -44.54030    IrS       752778.862038    2.5110
311    ABELL S1063:[KCG2015] 05        22h48m41.0040s    -44d32m09.132s    342.17085    -44.53587    G         100730.265888    0.3360
312    ABELL S1063:[DBW2016] 43.3      22h48m40.3380s    -44d31m53.330s    342.16807    -44.53148    G_Lens    506589.295528    1.6898
313    WISEA J224850.43-443210.9       22h48m50.4340s    -44d32m10.953s    342.21014    -44.53637    IrS       434699.064100    1.4500
314    ABELL S1063:[DBW2016] 43.1      22h48m42.5480s    -44d32m26.530s    342.17728    -44.54070    G_Lens    494657.555700    1.6500
315    SSTSL2 J224844.28-443235.5      22h48m44.2848s    -44d32m35.448s    342.18452    -44.54318    IrS       105826.737674    0.3530
316    ABELL S1063:[DBW2016] 28.1      22h48m42.0840s    -44d32m23.050s    342.17535    -44.53973    G_Lens    389730.195400    1.3000
317    ABELL S1063:[LKL2017] LSBdw013  22h48m40.3970s    -44d31m56.683s    342.16832    -44.53241    G        1588900.027400    5.3000
318    ABELL S1063:[DBW2016] 28.2      22h48m41.8750s    -44d32m21.260s    342.17447    -44.53923    G_Lens    389730.195400    1.3000
319    [IKO2018] HFF5C-4111-2125       22h48m41.1129s    -44d32m12.516s    342.17130    -44.53681    G         479667.932800    1.6000
320    ABELL S1063:[LBL2018] clu001    22h48m40.5979s    -44d31m10.503s    342.16915    -44.51958    G        1471081.591406    4.9070
321    ABELL S1063:[DBW2016] 43.2      22h48m41.1910s    -44d32m13.820s    342.17162    -44.53717    G_Lens    506589.295528    1.6898
322    [HZW2015] EELG J40              22h48m41.2968s    -44d30m58.248s    342.17207    -44.51618    G         503651.329440    1.6800
323    SSTSL2 J224840.52-443202.5      22h48m40.5048s    -44d32m02.364s    342.16877    -44.53399    IrS        98271.967732    0.3278
324    ABELL S1063:[KIS2018] 61.1      22h48m42.9698s    -44d32m30.915s    342.17904    -44.54192    G_Lens    677530.955080    2.2600
325    ABELL S1063:[LBL2018] clu003    22h48m40.5961s    -44d31m09.200s    342.16915    -44.51922    G        1557122.026852    5.1940
326    SSTSL2 J224840.77-443208.0      22h48m40.7640s    -44d32m07.980s    342.16985    -44.53555    IrS       104627.567842    0.3490
327    ABELL S1063:[KCG2015] 41        22h48m43.0200s    -44d32m31.884s    342.17925    -44.54219    G         209255.135684    0.6980
328    ABELL S1063:[LBL2018] clu004    22h48m47.0739s    -44d32m38.086s    342.19614    -44.54391    G        1578407.291370    5.2650
329    ABELL S1063:[YLT2022] 3001      22h48m41.7516s    -44d30m50.720s    342.17396    -44.51408    G        1792758.898840    5.9800
330    ACT-CL J2248.8-4431             22h48m51.6796s    -44d31m33.564s    342.21533    -44.52599    GClstr    105227.156045    0.3510
331    SSTSL2 J224851.34-443114.2      22h48m51.3030s    -44d31m14.130s    342.21376    -44.52059    G         103698.211222    0.3459
332    [STB2016] Anc 01561             22h48m48.4510s    -44d32m33.589s    342.20187    -44.54266    G        2964947.409620    9.8900
333    SSTSL2 J224843.96-443238.1      22h48m43.9776s    -44d32m37.896s    342.18324    -44.54386    IrS       105886.696165    0.3532
334    SSTSL2 J224848.92-443232.0      22h48m48.8720s    -44d32m31.750s    342.20363    -44.54215    G         106486.281081    0.3552
335    WISEA J224851.21-443204.0       22h48m51.2185s    -44d32m04.047s    342.21341    -44.53445    G          24433.085327    0.0815
336    ABELL S1063:[JSB2014] 11.1      22h48m42.0120s    -44d32m27.672s    342.17505    -44.54102    G_Lens    934153.299128    3.1160
337    [VGE2018] mul 11                22h48m42.0100s    -44d32m27.711s    342.17504    -44.54103    G_Lens    934243.236865    3.1163
338    [BVR2013] J224841.56-443223.9   22h48m41.5632s    -44d32m24.000s    342.17318    -44.54000    G_Lens    934153.299128    3.1160
339    ABELL S1063:[JSB2014] 11.3      22h48m39.7344s    -44d31m46.354s    342.16556    -44.52954    G_Lens    934453.091586    3.1170
340    2CXO J224842.3-443041           22h48m42.3325s    -44d30m41.564s    342.17638    -44.51154    XrayS     100250.597955    0.3344
341    WISEA J224849.49-443043.4       22h48m49.4997s    -44d30m43.474s    342.20624    -44.51207    G         106006.613148    0.3536
342    SSTSL2 J224841.19-443222.2      22h48m41.1792s    -44d32m22.128s    342.17158    -44.53948    IrS       101030.058346    0.3370
343    SSTSL2 J224840.04-443205.2      22h48m40.0992s    -44d32m04.884s    342.16708    -44.53469    IrS        98032.133766    0.3270
344    ABELL S1063:[JSB2014] 16.3      22h48m42.6799s    -44d32m35.048s    342.17783    -44.54306    G_Lens    963832.752470    3.2150
345    ABELL S1063:[KCG2015] 51        22h48m41.7648s    -44d32m28.464s    342.17402    -44.54124    G         967730.054424    3.2280
346    ABELL S1063:[JSB2014] 16.1      22h48m39.9000s    -44d32m01.140s    342.16625    -44.53365    G_Lens    941348.318120    3.1400
347    ABELL S1063:[RJL2014] 10.1      22h48m39.9000s    -44d32m01.161s    342.16625    -44.53365    G_Lens    689522.653400    2.3000
348    SSTSL2 J224840.38-443211.7      22h48m40.3824s    -44d32m11.688s    342.16826    -44.53658    IrS       104627.567842    0.3490
349    ABELL S1063:[DBW2016] 52.2      22h48m39.6140s    -44d31m51.800s    342.16505    -44.53105    G_Lens    967730.054424    3.2280
350    ABELL S1063:[GVR2012] 0667      22h48m43.2336s    -44d32m38.652s    342.18014    -44.54407    G         214051.815012    0.7140
351    WISEA J224842.26-443040.4       22h48m42.2641s    -44d30m40.491s    342.17610    -44.51124    UvS       106666.156556    0.3558
352    ABELL S1063:[JSB2014] 16.2      22h48m40.0300s    -44d32m05.751s    342.16679    -44.53493    G_Lens    963832.752470    3.2150
353    RXC J2248:[BZC2014] 1563        22h48m42.2705s    -44d32m33.619s    342.17612    -44.54267    G        1743293.143270    5.8150
354    ABELL S1063:[YLT2022] 2932      22h48m40.7760s    -44d30m54.558s    342.16990    -44.51515    G        2020601.166920    6.7400
355    ABELL S1063:[JSB2014] G3        22h48m39.9768s    -44d32m05.388s    342.16657    -44.53483    G         102529.020636    0.3420
356    ABELL S1063:[DBW2016] 25.2      22h48m51.5450s    -44d31m07.890s    342.21477    -44.51885    G_Lens    365746.798760    1.2200
357    SSTSL2 J224852.11-443146.5      22h48m52.1088s    -44d31m46.560s    342.21712    -44.52960    IrS       791751.881578    2.6410
358    ABELL S1063:[DBW2016] 25.1      22h48m51.6440s    -44d31m09.230s    342.21518    -44.51923    G_Lens    365746.798760    1.2200
359    [IKO2018] HFF5C-3944-1488       22h48m39.4473s    -44d31m48.835s    342.16436    -44.53023    G        1752586.709468    5.8460
360    HLS J224850.7-443049            22h48m50.6280s    -44d30m51.994s    342.21095    -44.51444    IrS       425705.290360    1.4200
361    ABELL S1063:[DBW2016] 25.3      22h48m51.4610s    -44d31m04.930s    342.21442    -44.51803    G_Lens    365746.798760    1.2200
362    WISEA J224841.28-443226.8       22h48m41.2272s    -44d32m25.944s    342.17178    -44.54054    G         104327.775384    0.3480
363    [IKO2018] HFF5C-3935-1469       22h48m39.3566s    -44d31m46.934s    342.16398    -44.52970    G        2368360.418200    7.9000
364    ABELL S1063:[DBW2016] 20.2      22h48m51.7000s    -44d31m08.780s    342.21541    -44.51910    G_Lens    647551.709280    2.1600
365    SSTSL2 J224841.38-443228.4      22h48m41.4072s    -44d32m28.608s    342.17253    -44.54128    IrS       380436.629202    1.2690
366    [IKO2018] HFF5C-3930-1274       22h48m39.3100s    -44d31m27.500s    342.16379    -44.52430    G        1719009.954172    5.7340
367    ABELL S1063:[DBW2016] 20.3      22h48m51.3900s    -44d31m00.630s    342.21412    -44.51684    G_Lens    647551.709280    2.1600
368    ABELL S1063:[DBW2016] 20.1      22h48m51.8300s    -44d31m09.940s    342.21595    -44.51942    G_Lens    647551.709280    2.1600
369    [IKO2018] HFF5C-4493-2466       22h48m44.9332s    -44d32m46.615s    342.18722    -44.54628    G        1672841.915640    5.5800
370    SSTSL2 J224842.03-443037.9      22h48m42.0190s    -44d30m37.970s    342.17507    -44.51054    G         103008.688568    0.3436
371    WISEA J224851.81-443106.4       22h48m51.8110s    -44d31m06.424s    342.21587    -44.51845    G         100287.772219    0.3345
372    RXC J2248:[BZC2014] 1704        22h48m47.3842s    -44d32m46.568s    342.19743    -44.54626    G        1708817.010600    5.7000
373    ABELL S1063:[LBL2018] clu008    22h48m41.1797s    -44d30m43.715s    342.17158    -44.51214    G        1671942.538266    5.5770
374    SSTSL2 J224849.22-443240.0      22h48m49.2212s    -44d32m40.094s    342.20508    -44.54447    IrS       491299.880170    1.6388
375    SSTSL2 J224846.93-443249.5      22h48m46.9200s    -44d32m49.400s    342.19550    -44.54705    IrS       353755.100440    1.1800
376    SSTSL2 J224840.56-443225.1      22h48m40.5816s    -44d32m25.440s    342.16909    -44.54040    IrS       104747.484825    0.3494
377    SSTSL2 J224852.11-443207.9      22h48m52.0710s    -44d32m07.680s    342.21696    -44.53540    G          70810.978579    0.2362
378    [STB2016] Anc 01735             22h48m44.5472s    -44d32m50.030s    342.18561    -44.54723    G        1599092.970972    5.3340
379    ABELL S1063:[LBL2018] clu010    22h48m45.0600s    -44d32m50.800s    342.18775    -44.54744    G        1683634.444128    5.6160
380    ABELL S1063:[GVR2012] 0395      22h48m51.3310s    -44d32m21.760s    342.21387    -44.53930    G          68052.887966    0.2270
381    SSTSL2 J224838.86-443148.1      22h48m38.8490s    -44d31m47.870s    342.16187    -44.52996    G         104027.982926    0.3470
382    SSTSL2 J224843.36-443247.9      22h48m43.3944s    -44d32m47.292s    342.18081    -44.54647    IrS        45868.246074    0.1530
383    SSTSL2 J224841.33-443235.4      22h48m41.3208s    -44d32m35.304s    342.17217    -44.54314    IrS       104747.484825    0.3494
384    ABELL S1063:[DBW2016] 48.2      22h48m52.3060s    -44d31m07.480s    342.21794    -44.51874    G_Lens    851410.580720    2.8400
385    WISEA J224840.14-443049.9       22h48m40.1659s    -44d30m50.040s    342.16735    -44.51390    UvS       105437.007478    0.3517
386    ABELL S1063:[DBW2016] 48.3      22h48m52.2810s    -44d31m06.060s    342.21783    -44.51835    G_Lens    851410.580720    2.8400
387    SSTSL2 J224852.94-443133.4      22h48m52.9010s    -44d31m33.280s    342.22042    -44.52591    G         102139.290440    0.3407
388    ABELL S1063:[DBW2016] 48.1      22h48m51.9980s    -44d30m59.230s    342.21665    -44.51645    G_Lens    899377.374000    3.0000
389    SSTSL2 J224842.87-443247.5      22h48m42.8928s    -44d32m47.652s    342.17872    -44.54657    IrS       105826.737674    0.3530
390    SSTSL2 J224842.15-443244.2      22h48m42.1248s    -44d32m44.088s    342.17552    -44.54558    IrS       380436.629202    1.2690
391    GALEXASC J224838.42-443144.1    22h48m38.4900s    -44d31m42.460s    342.16037    -44.52846    UvS       136975.174060    0.4569
392    [BIV2022] AS1063I-8466832541    22h48m46.7040s    -44d32m54.254s    342.19460    -44.54840    G        1747790.030140    5.8300
393    ABELL S1063:[YLT2022] 2955      22h48m39.7303s    -44d30m52.804s    342.16554    -44.51466    G        1840725.692120    6.1400
394    SSTSL2 J224840.04-443224.9      22h48m39.9792s    -44d32m24.756s    342.16658    -44.54021    IrS       137604.738222    0.4590
395    ABELL S1063:[KCG2015] 47        22h48m42.4776s    -44d32m46.788s    342.17699    -44.54633    G         442793.460466    1.4770
396    [IKO2018] HFF5C-4017-0457       22h48m40.1702s    -44d30m45.752s    342.16737    -44.51270    G         359750.949600    1.2000
397    RXC J2248:[BZC2014] 1722        22h48m42.6526s    -44d32m48.976s    342.17771    -44.54693    G        1690829.463120    5.6400
398    ABELL S1063:[LBL2018] clu006    22h48m38.8500s    -44d32m06.700s    342.16187    -44.53514    G        1659351.255030    5.5350
399    [IKO2018] HFF5C-3977-0487       22h48m39.7706s    -44d30m48.744s    342.16571    -44.51354    G        1618879.273200    5.4000
400    [IKO2018] HFF5C-3960-0509       22h48m39.6079s    -44d30m50.965s    342.16503    -44.51415    G        1696825.312280    5.6600
401    RXC J2248:[BZC2014] 1551        22h48m40.3164s    -44d32m33.025s    342.16798    -44.54250    G        1774771.351360    5.9200
402    SSTSL2 J224841.86-443246.6      22h48m41.8776s    -44d32m46.356s    342.17449    -44.54621    IrS       100430.473430    0.3350
403    SSTSL2 J224841.48-443243.5      22h48m41.4648s    -44d32m43.620s    342.17277    -44.54545    IrS            0.0         0.0
404    SSTSL2 J224839.04-443217.4      22h48m39.0360s    -44d32m17.124s    342.16265    -44.53809    IrS       934453.091586    3.1170
405    SSTSL2 J224852.86-443104.3      22h48m52.8670s    -44d31m04.080s    342.22027    -44.51780    G         105826.737674    0.3530
406    ABELL S1063:[KCC2017] SW-050    22h48m38.9400s    -44d32m17.844s    342.16225    -44.53829    G_Lens    934153.299128    3.1160
407    ABELL S1063:[GBA2017] EL03      22h48m47.4500s    -44d32m59.000s    342.19770    -44.54972    EmLS      920212.949831    3.0695
408    ABELL S1063:[LBL2018] clu007    22h48m42.4936s    -44d32m53.991s    342.17705    -44.54833    G        1661150.009778    5.5410
409    [IKO2018] HFF5C-3998-0372       22h48m39.9883s    -44d30m37.302s    342.16661    -44.51036    G        1996317.977822    6.6590
410    WISEA J224853.55-443116.0       22h48m53.5546s    -44d31m16.030s    342.22314    -44.52111    G         104177.879155    0.3475
