

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.


queryDateTime:2007-11-21T06:10:20PST



Main Information Table for ABELL 0085



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|pos_ra_equ|pos_dec_equ|Object Type|Velocity|Redshift|Redshift_flag|DistanceArcmin|Number of References|Number of Notes|Number of Photometry Data Points|Number of Position Data Points|Number of Redshift Data Points|Number of Diameter Data Points|Number of Associations
1240|ABELL 0085:[SDG98] 1220| 10.17679 | -10.15572 |G|||||1|0|0|0|0|0|0
1241|SDSS J004042.48-092531.6| 10.17725 |  -9.42515 |G| 11162| 0.037233 |    ||3|0|21|2|2|4|1
1242|ABELL 0085:[SPS89] 09| 10.17860 |  -9.38869 |RadioS|||||2|0|0|0|0|0|0
1243|APMUKS(BJ) B003810.91-084716.4| 10.17892 |  -8.51358 |G|||||1|0|1|1|0|0|0
1244|2MASX J00404355-0857275| 10.18121 |  -8.95766 |G| 16316| 0.054423 |    ||8|0|30|3|3|6|0
1245|NVSS J004043-095104| 10.18141 |  -9.85260 |RadioS|||||2|0|1|0|0|0|0
1246|ABELL 0085:[SDG98] 1224| 10.18167 |  -9.86586 |G|||||1|0|0|0|0|0|0
1247|ABELL 0085:[SDG98] 1225| 10.18208 |  -9.29972 |G|||||1|0|0|0|0|0|0
1248|ABELL 0085:[SDG98] 1226| 10.18287 |  -9.35056 |G|||||1|0|0|0|0|0|0
1249|APMUKS(BJ) B003812.01-085856.6| 10.18329 |  -8.70808 |G|||||1|0|1|1|0|0|0
1250|2MASX J00404403-0923585| 10.18333 |  -9.39960 |G| 17543| 0.058516 |    ||8|0|30|3|3|6|0
1251|ABELL 0085:[SDG98] 1229| 10.18362 |  -9.11142 |G|||||1|0|0|0|0|0|0
1252|ABELL 0085:[SDG98] 1230| 10.18400 |  -9.47464 |G|||||1|0|0|0|0|0|0
1253|ABELL 0085:[SDG98] 1231| 10.18400 |  -8.63178 |G|||||1|0|0|0|0|0|0
1254|2MASX J00404424-0922235| 10.18421 |  -9.37321 |G| 17136| 0.057158 |    ||8|0|30|3|2|6|0
1255|APMUKS(BJ) B003812.42-094830.0| 10.18442 |  -9.53392 |G|||||1|0|1|1|0|0|0
1256|NVSS J004044-092939| 10.18471 |  -9.49430 |RadioS|||||2|0|1|0|0|0|0
1257|ABELL 0085:[SDG98] 1234| 10.18483 |  -9.67547 |G|||||1|0|0|0|0|0|0
1258|ABELL 0085:[SDG98] 1235| 10.18538 |  -8.51089 |G|||||1|0|0|0|0|0|0
1259|APMUKS(BJ) B003812.58-085651.4| 10.18571 |  -8.67336 |G|||||1|0|1|1|0|0|0
1260|APMUKS(BJ) B003812.94-103148.5| 10.18587 | -10.25581 |G|||||1|0|1|1|0|0|0
1261|SDSS J004044.65-101712.1| 10.18606 | -10.28671 |G| 17499| 0.058371 |    ||2|0|24|2|1|4|0
1262|ABELL 0085:[SDG98] 1239| 10.18679 |  -8.91964 |G|||||1|0|0|0|0|0|0
1263|ABELL 0085:[SDG98] 1240| 10.18692 |  -9.51600 |G|||||1|0|0|0|0|0|0
1264|APMUKS(BJ) B003813.13-094959.2| 10.18729 |  -9.55867 |G|||||1|0|1|1|0|0|0
1265|ABELL 0085:[SDG98] 1242| 10.18829 |  -9.53328 |G|||||1|0|0|0|0|0|0
1266|ABELL 0085:[SDG98] 1243| 10.18850 |  -9.02708 |G|||||1|0|0|0|0|0|0
1267|SDSS J004045.43-085139.0| 10.18929 |  -8.86086 |G| 17835| 0.059491 |    ||4|0|21|3|2|4|0
1268|ABELL 0085:[SDG98] 1245| 10.18929 | -10.14656 |G|||||1|0|0|0|0|0|0
1269|APMUKS(BJ) B003814.00-091355.0| 10.19138 |  -8.95764 |G|||||1|0|1|1|0|0|0
1270|APMUKS(BJ) B003814.15-092017.0| 10.19179 |  -9.06372 |G|||||1|0|1|1|0|0|0
1271|ABELL 0085:[SDG98] 1248| 10.19221 |  -8.73147 |G|||||1|0|0|0|0|0|0
1272|APMUKS(BJ) B003814.36-093325.7| 10.19262 |  -9.28286 |G|||||1|0|1|1|0|0|0
1273|APMUKS(BJ) B003814.29-085921.9| 10.19275 |  -8.71519 |G|||||1|0|1|1|0|0|0
1274|APMUKS(BJ) B003814.51-095029.4| 10.19296 |  -9.56719 |G|||||1|0|1|1|0|0|0
1275|ABELL 0085:[SDG98] 1252| 10.19304 |  -8.52211 |G|||||1|0|0|0|0|0|0
1276|ABELL 0085:[MKV92] 020| 10.19342 |  -8.83572 |G| 16118| 0.053764 |    ||3|0|0|1|1|0|1
1277|APMUKS(BJ) B003814.50-085932.2| 10.19363 |  -8.71800 |G|||||1|0|1|1|0|0|0
1278|ABELL 0085:[SDG98] 1255| 10.19367 |  -9.74786 |G|||||1|0|0|0|0|0|0
1279|SDSS J004046.80-093301.4| 10.19517 |  -9.55040 |G| 17204| 0.057388 |    ||6|0|22|2|1|4|0
1280|ABELL 0085:[SDG98] 1257| 10.19579 |  -9.63697 |G|||||1|0|0|0|0|0|0
1281|ABELL 0085:[SDG98] 1258| 10.19579 |  -9.72386 |G|||||1|0|0|0|0|0|0
1282|APMUKS(BJ) B003815.24-090743.3| 10.19654 |  -8.85442 |G|||||1|0|1|1|0|0|0
1283|APMUKS(BJ) B003815.27-085853.5| 10.19688 |  -8.70717 |G|||||1|0|1|1|0|0|0
1284|NVSS J004047-091241| 10.19695 |  -9.21015 |G|||||2|0|1|0|0|0|0
1285|ABELL 0085:[SDG98] 1261| 10.19804 |  -8.56856 |G|||||1|0|0|0|0|0|0
1286|APMUKS(BJ) B003815.72-093151.2| 10.19821 |  -9.25658 |G| 23891| 0.079692 |    ||2|0|1|1|0|0|0
1287|ABELL 0085:[SDG98] 1263| 10.19842 |  -9.65856 |G|||||1|0|0|0|0|0|0
1288|ABELL 0085:[SDG98] 1264| 10.19854 |  -8.90807 |*|||||2|0|0|0|0|0|0
1289|APMUKS(BJ) B003815.81-085634.4| 10.19900 |  -8.66851 |*|||||2|0|1|1|0|0|0
1290|ABELL 0085:[SDG98] 1266| 10.19917 |  -9.60806 |G|||||1|0|0|0|0|0|0
1291|ABELL 0085:[SDG98] 1267| 10.19933 |  -9.78914 |G|||||1|0|0|0|0|0|0
1292|ABELL 0085:[SDG98] 1268| 10.19937 |  -9.11333 |G|||||1|0|0|0|0|0|0
1293|APMUKS(BJ) B003816.21-093616.1| 10.20021 |  -9.33017 |G| 49987| 0.166738 |    ||2|0|1|1|0|0|0
1294|ABELL 0085:[SDG98] 1270| 10.20079 |  -8.71694 |G|||||1|0|0|0|0|0|0
1295|APMUKS(BJ) B003816.85-101927.7| 10.20237 | -10.04997 |G|||||1|0|1|1|0|0|0
1296|APMUKS(BJ) B003816.94-095941.9| 10.20304 |  -9.72047 |G|||||1|0|1|1|0|0|0
1297|APMUKS(BJ) B003816.83-090456.2| 10.20329 |  -8.80794 |G|||||1|0|1|1|0|0|0
1298|ABELL 0085:[SDG98] 1274| 10.20342 |  -8.57639 |G|||||1|0|0|0|0|0|0
1299|ABELL 0085:[SDG98] 1275| 10.20412 |  -8.64347 |G|||||1|0|0|0|0|0|0
1300|APMUKS(BJ) B003817.12-092647.2| 10.20412 |  -9.17211 |G|||||1|0|1|1|0|0|0
1301|PMN J0040-0948| 10.20421 |  -9.81061 |RadioS|||||8|0|6|2|0|0|0
1302|ABELL 0085:[SDG98] 1277| 10.20433 |  -8.53961 |G|||||1|0|0|0|0|0|0
1303|ABELL 0085:[SDG98] 1278| 10.20500 |  -8.37186 |G|||||1|0|0|0|0|0|0
1304|ABELL 0085:[SDG98] 1279| 10.20504 |  -9.61428 |G|||||1|0|0|0|0|0|0
1305|APMUKS(BJ) B003817.56-101206.0| 10.20538 |  -9.92744 |G|||||1|0|1|1|0|0|0
1306|ABELL 0085:[SDG98] 1281| 10.20633 |  -8.47803 |G|||||1|0|0|0|0|0|0
1307|ABELL 0085:[SDG98] 1282| 10.20875 |  -9.49006 |G|||||1|0|0|0|0|0|0
1308|2MASX J00405037-0853505| 10.20958 |  -8.89740 |G| 25066| 0.083610 |    ||5|0|30|3|3|6|0
1309|APMUKS(BJ) B003818.69-102608.7| 10.20992 | -10.16142 |G|||||1|0|1|1|0|0|0
1310|2MASX J00405038-0913235| 10.21008 |  -9.22311 |G| 16193| 0.054014 |    ||8|0|31|3|3|6|0
1311|ABELL 0085:[SDG98] 1286| 10.21150 |  -8.97828 |G|||||1|0|0|0|0|0|0
1312|APMUKS(BJ) B003818.95-093529.0| 10.21162 |  -9.31711 |G|||||1|0|1|1|0|0|0
1313|APMUKS(BJ) B003819.11-100027.1| 10.21208 |  -9.73317 |G|||||1|0|1|1|0|0|0
1314|APMUKS(BJ) B003819.24-102617.8| 10.21221 | -10.16400 |G|||||1|0|1|1|0|0|0
1315|NVSS J004051-094053| 10.21342 |  -9.68156 |RadioS|||||2|0|1|0|0|0|0
1316|APMUKS(BJ) B003819.20-083841.1| 10.21363 |  -8.37042 |G|||||1|0|1|1|0|0|0
1317|ABELL 0085:[SDG98] 1291| 10.21450 |  -9.45100 |G|||||1|0|0|0|0|0|0
1318|APMUKS(BJ) B003819.73-093655.5| 10.21475 |  -9.34112 |G| 16506| 0.055058 |    ||5|0|1|1|0|0|0
1319|SDSS J004051.83-092328.6| 10.21600 |  -9.39128 |G| 25261| 0.084262 |    ||5|0|21|3|3|4|0
1320|APMUKS(BJ) B003819.98-085944.8| 10.21650 |  -8.72151 |G| 50252| 0.167622 |    ||2|0|1|1|0|0|0
1321|ABELL 0085:[SDG98] 1295| 10.21650 |  -9.43953 |G|||||1|0|0|0|0|0|0
1322|ABELL 0085:[SDG98] 1296| 10.21779 |  -9.98381 |G|||||1|0|0|0|0|0|0
1323|APMUKS(BJ) B003820.90-095709.4| 10.21937 |  -9.67831 |G|||||1|0|1|1|0|0|0
1324|APMUKS(BJ) B003820.83-093546.3| 10.21937 |  -9.32189 |G|||||1|0|1|1|0|0|0
1325|ABELL 0085:[SDG98] 1299| 10.21975 |  -9.46258 |G|||||1|0|0|0|0|0|0
1326|ABELL 0085:[SDG98] 1300| 10.22021 |  -9.72639 |G|||||1|0|0|0|0|0|0
1327|APMUKS(BJ) B003821.44-095134.2| 10.22179 |  -9.58519 |G| 16835| 0.056155 |    ||3|0|1|1|0|0|0
1328|SDSS J004053.28-092201.8| 10.22225 |  -9.36732 |G| 25321| 0.084462 |    ||3|0|21|2|2|4|0
1329|SDSS J004053.38-094402.8| 10.22267 |  -9.73415 |G| 23982| 0.079995 |    ||3|0|21|2|2|4|0
1330|ABELL 0085:[SDG98] 1304| 10.22296 |  -9.74858 |G|||||1|0|0|0|0|0|0
1331|ABELL 0085:[SDG98] 1305| 10.22296 |  -8.72669 |G|||||1|0|0|0|0|0|0
1332|APMUKS(BJ) B003821.75-094132.9| 10.22321 |  -9.41822 |G|||||1|0|1|1|0|0|0
1333|SDSS J004053.65-090607.3| 10.22354 |  -9.10204 |G| 17011| 0.056744 |    ||6|0|22|2|1|4|0
1334|ABELL 0085:[SDG98] 1308| 10.22446 |  -9.25097 |G|||||1|0|0|0|0|0|0
1335|APMUKS(BJ) B003822.33-103240.0| 10.22496 | -10.27017 |G|||||1|0|1|1|0|0|0
1336|ABELL 0085:[SDG98] 1310| 10.22529 |  -8.46156 |G|||||1|0|0|0|0|0|0
1337|APMUKS(BJ) B003822.13-085155.2| 10.22554 |  -8.59108 |G|||||1|0|1|1|0|0|0
1338|APMUKS(BJ) B003822.26-093142.4| 10.22558 |  -9.25414 |G|||||1|0|1|1|0|0|0
1339|APMUKS(BJ) B003822.45-102605.6| 10.22579 | -10.16094 |G|||||1|0|1|1|0|0|0
1340|APMUKS(BJ) B003822.50-095952.3| 10.22642 |  -9.72338 |G| 16533| 0.055148 |    ||2|0|1|1|0|0|0
1341|SDSS J004054.56-090112.3| 10.22729 |  -9.02010 |G| 53846| 0.179612 |    ||2|0|21|2|2|4|0
1342|NVSS J004054-090334| 10.22730 |  -9.05973 |RadioS|||||2|0|1|0|0|0|0
1343|APMUKS(BJ) B003822.83-093843.7| 10.22783 |  -9.37106 |G|||||1|0|1|1|0|0|0
1344|ABELL 0085:[SDG98] 1318| 10.22804 |  -9.76497 |G|||||1|0|0|0|0|0|0
1345|2MASX J00405475-0845415| 10.22808 |  -8.76151 |G| 33622| 0.112152 |    ||2|0|30|2|1|6|0
1346|ABELL 0085:[SDG98] 1319| 10.22888 |  -8.97658 |G|||||1|0|0|0|0|0|0
1347|NVSS J004054-095631| 10.22900 |  -9.94092 |RadioS|||||2|0|1|0|0|0|0
1348|ABELL 0085:[SDG98] 1320| 10.22979 |  -8.59778 |G|||||1|0|0|0|0|0|0
1349|APMUKS(BJ) B003823.25-085543.1| 10.23004 |  -8.65439 |G|||||1|0|1|1|0|0|0
1350|ABELL 0085:[SDG98] 1322| 10.23012 |  -8.89397 |G|||||1|0|0|0|0|0|0
1351|ABELL 0085:[SDG98] 1323| 10.23137 |  -8.59964 |G|||||1|0|0|0|0|0|0
1352|ABELL 0085:[SPS89] 16| 10.23150 |  -9.74720 |RadioS|||||2|0|0|0|0|0|0
1353|APMUKS(BJ) B003823.82-093135.5| 10.23175 |  -9.25242 |G| 11227| 0.037449 |    ||5|0|1|2|1|0|0
1354|APMUKS(BJ) B003823.77-092611.5| 10.23192 |  -9.16217 |G|||||1|0|1|1|0|0|0
1355|ABELL 0085:[SDG98] 1326| 10.23237 |  -9.93353 |G|||||1|0|0|0|0|0|0
1356|ABELL 0085:[SDG98] 1327| 10.23271 | -10.17569 |G|||||1|0|0|0|0|0|0
1357|APMUKS(BJ) B003824.51-102721.4| 10.23421 | -10.18161 |G|||||1|0|1|1|0|0|0
1358|APMUKS(BJ) B003824.57-093616.0| 10.23517 |  -9.33004 |G| 24896| 0.083044 |    ||3|0|1|1|0|0|0
1359|APMUKS(BJ) B003824.89-103152.3| 10.23567 | -10.25692 |G|||||1|0|1|1|0|0|0
1360|ABELL 0085:[SDG98] 1331| 10.23571 | -10.24919 |G|||||1|0|0|0|0|0|0
1361|APMUKS(BJ) B003824.79-092851.6| 10.23612 |  -9.20675 |G|||||1|0|1|1|0|0|0
1362|APMUKS(BJ) B003824.78-091353.3| 10.23638 |  -8.95722 |G|||||1|0|1|1|0|0|0
1363|ABELL 0085:[SDG98] 1334| 10.23767 | -10.01225 |G|||||1|0|0|0|0|0|0
1364|ABELL 0085:[SDG98] 1335| 10.23808 |  -9.51511 |G|||||1|0|0|0|0|0|0
1365|APMUKS(BJ) B003825.56-102726.9| 10.23850 | -10.18317 |G|||||1|0|1|1|0|0|0
1366|APMUKS(BJ) B003825.43-090150.7| 10.23908 |  -8.75642 |G|||||1|0|1|1|0|0|0
1367|ABELL 0085:[SDG98] 1338| 10.23929 |  -9.96003 |G|||||1|0|0|0|0|0|0
1368|ABELL 0085:[SDG98] 1339| 10.23938 |  -8.92881 |G|||||1|0|0|0|0|0|0
1369|APMUKS(BJ) B003825.55-092619.6| 10.23942 |  -9.16453 |G|||||1|0|1|1|0|0|0
1370|ABELL 0085:[SDG98] 1341| 10.23946 |  -8.42178 |G|||||1|0|0|0|0|0|0
1371|ABELL 0085:[SDG98] 1342| 10.23975 |  -9.19228 |G|||||1|0|0|0|0|0|0
1372|ABELL 0085:[SDG98] 1343| 10.24021 | -10.24494 |G|||||1|0|0|0|0|0|0
1373|APMUKS(BJ) B003825.97-091445.0| 10.24113 |  -8.97147 |G|||||1|0|1|1|0|0|0
1374|APMUKS(BJ) B003826.19-102320.3| 10.24129 | -10.11475 |G|||||1|0|1|1|0|0|0
1375|ABELL 0085:[SDG98] 1346| 10.24133 |  -9.58303 |G|||||1|0|0|0|0|0|0
1376|ABELL 0085:[SDG98] 1347| 10.24142 |  -9.20019 |G|||||1|0|0|0|0|0|0
1377|NVSS J004056-084322| 10.24188 |  -8.72372 |G|||||1|0|1|0|0|0|0
1378|ABELL 0085:[SDG98] 1350| 10.24221 |  -9.18700 |G|||||1|0|0|0|0|0|0
1379|SDSS J004058.13-085647.4| 10.24229 |  -8.94654 |G| 16104| 0.053718 |    ||3|0|21|2|1|4|0
1380|SDSS J004058.80-084505.6| 10.24525 |  -8.75154 |G| 33643| 0.112221 |    ||2|0|21|2|2|4|0
1381|2MASX J00405897-0958164| 10.24554 |  -9.97196 |G| 55798| 0.186123 |    ||2|0|10|1|0|2|0
1382|APMUKS(BJ) B003827.24-102132.8| 10.24558 | -10.08494 |G|||||1|0|1|1|0|0|0
1383|2MASX J00405906-0859584| 10.24604 |  -8.99954 |G| 16966| 0.056593 |    ||6|0|31|2|2|6|0
1384|APMUKS(BJ) B003827.02-083607.2| 10.24608 |  -8.32772 |G|||||1|0|1|1|0|0|0
1385|ABELL 0085:[SDG98] 1356| 10.24633 | -10.21664 |G|||||1|0|0|0|0|0|0
1386|ABELL 0085:[SDG98] 1357| 10.24638 |  -8.99075 |G|||||1|0|0|0|0|0|0
1387|APMUKS(BJ) B003827.36-095211.0| 10.24642 |  -9.59544 |G|||||1|0|1|1|0|0|0
1388|ABELL 0085:[SDG98] 1359| 10.24679 |  -9.48231 |G|||||1|0|0|0|0|0|0
1389|NVSS J004059-094359| 10.24679 |  -9.73288 |G|||||2|0|1|0|0|0|0
1390|ABELL 0085:[SDG98] 1360| 10.24687 |  -8.99531 |G|||||1|0|0|0|0|0|0
1391|ABELL 0085:[SDG98] 1361| 10.24725 | -10.10656 |G|||||1|0|0|0|0|0|0
1392|ABELL 0085:[SDG98] 1362| 10.24767 |  -8.69333 |G|||||1|0|0|0|0|0|0
1393|APMUKS(BJ) B003827.89-091458.5| 10.24912 |  -8.97528 |G|||||1|0|1|1|0|0|0
1394|ABELL 0085:[SDG98] 1364| 10.25088 | -10.02519 |G|||||1|0|0|0|0|0|0
1395|APMUKS(BJ) B003828.48-092728.0| 10.25146 |  -9.18350 |G|||||1|0|1|1|0|0|0
1396|NVSS J004100-094924| 10.25167 |  -9.82342 |RadioS|||||2|0|1|0|0|0|0
1397|ABELL 0085:[SDG98] 1366| 10.25183 |  -9.49364 |G|||||1|0|0|0|0|0|0
1398|ABELL 0085:[SDG98] 1367| 10.25271 |  -9.42475 |G|||||1|0|0|0|0|0|0
1399|APMUKS(BJ) B003829.17-100134.2| 10.25388 |  -9.75189 |G|||||1|0|1|1|0|0|0
1400|2MASX J00410103-0841534| 10.25433 |  -8.69826 |G| 53678| 0.179050 |    ||2|0|10|1|0|2|0
1401|APMUKS(BJ) B003829.77-093234.3| 10.25671 |  -9.26864 |G|||||1|0|1|1|0|0|0
1402|SDSS J004101.87-091233.1| 10.25783 |  -9.20921 |G| 16194| 0.054017 |    ||11|0|22|3|4|4|1
1403|ABELL 0085:[SDG98] 1372| 10.25800 |  -9.94764 |G|||||1|0|0|0|0|0|0
1404|APMUKS(BJ) B003830.22-101217.3| 10.25812 |  -9.93067 |G|||||1|0|1|1|0|0|0
1405|ABELL 0085:[SDG98] 1374| 10.25812 |  -9.15722 |G|||||1|0|0|0|0|0|0
1406|SDSS J004102.32-085116.3| 10.25967 |  -8.85453 |G| 17041| 0.056841 |    ||4|0|21|3|2|4|0
1407|APMUKS(BJ) B003830.43-091529.7| 10.25971 |  -8.98394 |G|||||1|0|1|1|0|0|0
1408|APMUKS(BJ) B003830.41-084720.5| 10.26013 |  -8.51475 |G|||||1|0|1|1|0|0|0
1409|ABELL 0085:[SDG98] 1378| 10.26021 |  -9.41192 |G|||||1|0|0|0|0|0|0
1410|APMUKS(BJ) B003830.72-095359.6| 10.26037 |  -9.62561 |G|||||1|0|1|1|0|0|0
1411|APMUKS(BJ) B003831.03-101446.2| 10.26133 |  -9.97194 |G|||||1|0|1|1|0|0|0
1412|APMUKS(BJ) B003831.12-095032.3| 10.26212 |  -9.56792 |G| 25449| 0.084889 |    ||2|0|1|1|0|0|0
1413|2MASX J00410343-0956284| 10.26429 |  -9.94112 |G| 11064| 0.036904 |    ||3|0|30|2|2|6|0
1414|APMUKS(BJ) B003831.62-092920.4| 10.26446 |  -9.21481 |G|||||1|0|1|1|0|0|0
1415|ABELL 0085:[SDG98] 1384| 10.26446 |  -9.55125 |G|||||1|0|0|0|0|0|0
1416|ABELL 0085:[SDG98] 1386| 10.26492 | -10.22914 |G|||||1|0|0|0|0|0|0
1417|2MASX J00410357-0946104| 10.26512 |  -9.76954 |G| 28395| 0.094715 |    ||3|0|30|2|2|6|0
1418|ABELL 0085:[SDG98] 1387| 10.26558 | -10.24119 |G|||||1|0|0|0|0|0|0
1419|ABELL 0085:[SDG98] 1388| 10.26596 |  -8.45550 |G|||||1|0|0|0|0|0|0
1420|APMUKS(BJ) B003832.04-093104.1| 10.26621 |  -9.24356 |G|||||1|0|1|1|0|0|0
1421|ABELL 0085:[SDG98] 1390| 10.26867 |  -8.99881 |G|||||1|0|0|0|0|0|0
1422|ABELL 0085:[SDG98] 1391| 10.26967 |  -9.59614 |G|||||1|0|0|0|0|0|0
1423|APMUKS(BJ) B003832.79-090206.6| 10.26983 |  -8.76085 |G| 50962| 0.169991 |    ||2|0|1|1|0|0|0
1424|ABELL 0085:[SDG98] 1393| 10.27108 |  -8.80489 |G|||||1|0|0|0|0|0|0
1425|ABELL 0085:[SDG98] 1394| 10.27121 | -10.28022 |G|||||1|0|0|0|0|0|0
1426|APMUKS(BJ) B003833.48-100309.4| 10.27179 |  -9.77816 |G| 25669| 0.085622 |    ||3|0|1|1|0|0|2
1427|2MASX J00410554-0911314| 10.27304 |  -9.19218 |G| 16725| 0.055789 |    ||10|0|10|3|2|2|0
1428|APMUKS(BJ) B003833.98-091836.3| 10.27450 |  -9.03589 |G|||||1|0|1|1|0|0|0
1429|APMUKS(BJ) B003834.03-091731.9| 10.27479 |  -9.01791 |G| 16846| 0.056192 |    ||2|0|1|1|0|0|0
1430|ABELL 0085:[SDG98] 1399| 10.27512 |  -9.12350 |G|||||1|0|0|0|0|0|0
1431|APMUKS(BJ) B003834.09-085229.6| 10.27525 |  -8.60075 |G|||||1|0|1|1|0|0|0
1432|APMUKS(BJ) B003834.52-103356.8| 10.27567 | -10.29150 |G|||||1|0|1|1|0|0|0
1433|ABELL 0085:[SDG98] 1402| 10.27679 | -10.20931 |G|||||1|0|0|0|0|0|0
1434|2MASX J00410655-0917494| 10.27708 |  -9.29690 |G| 17475| 0.058289 |    ||12|0|31|3|4|6|0
1435|ABELL 0085:[SDG98] 1403| 10.27708 |  -9.24694 |G|||||1|0|0|0|0|0|0
1436|ABELL 0085:[SDG98] 1405| 10.27750 |  -9.93464 |G|||||1|0|0|0|0|0|0
1437|NVSS J004106-092845| 10.27803 |  -9.47899 |RadioS|||||2|0|1|0|0|0|0
1438|APMUKS(BJ) B003834.92-090248.6| 10.27862 |  -8.77253 |G|||||1|0|1|1|0|0|0
1439|APMUKS(BJ) B003835.00-092529.5| 10.27867 |  -9.15064 |G|||||1|0|1|1|0|0|0
1440|ABELL 0085:[SDG98] 1409| 10.27958 |  -9.89792 |G|||||1|0|0|0|0|0|0
1441|SDSS J004107.09-092653.3| 10.27971 |  -9.44816 |G| 14227| 0.047456 |    ||3|0|22|2|1|4|0
1442|SDSS J004107.25-092929.6| 10.28021 |  -9.49156 |G|427204| 1.425000 |PHOT||2|0|0|0|0|0|0
1443|ABELL 0085:[SDG98] 1411| 10.28104 |  -9.29011 |G|||||1|0|0|0|0|0|0
1444|APMUKS(BJ) B003835.72-092924.4| 10.28158 |  -9.21589 |G|||||1|0|1|1|0|0|0
1445|APMUKS(BJ) B003835.64-090621.9| 10.28179 |  -8.83228 |G|||||1|0|1|1|0|0|0
1446|APMUKS(BJ) B003835.84-095413.8| 10.28179 |  -9.62956 |G|||||1|0|1|1|0|0|0
1447|ABELL 0085:[SDG98] 1415| 10.28200 | -10.28094 |G|||||1|0|0|0|0|0|0
1448|ABELL 0085:[SDG98] 1416| 10.28213 | -10.26092 |G|||||1|0|0|0|0|0|0
1449|APMUKS(BJ) B003836.05-102439.1| 10.28225 | -10.13667 |G|||||1|0|1|1|0|0|0
1450|APMUKS(BJ) B003835.96-093346.6| 10.28258 |  -9.28872 |G|||||1|0|1|1|0|0|0
1451|ABELL 0085:[SDG98] 1419| 10.28313 |  -8.43692 |G|||||1|0|0|0|0|0|0
1452|ABELL 0085:[SDG98] 1421| 10.28467 |  -8.61125 |G|||||1|0|0|0|0|0|0
1453|APMUKS(BJ) B003836.62-100941.3| 10.28467 |  -9.88732 |G| 33851| 0.112915 |    ||2|0|1|1|0|0|0
1454|SDSS J004108.32-100545.7| 10.28467 | -10.09604 |G| 39533| 0.131869 |    ||2|0|21|2|2|4|0
1455|ABELL 0085:[SDG98] 1422| 10.28471 |  -9.43336 |G|||||1|0|0|0|0|0|0
1456|ABELL 0085:[SDG98] 1424| 10.28533 |  -9.94869 |G|||||1|0|0|0|0|0|0
1457|ABELL 0085:[SDG98] 1425| 10.28554 |  -9.64194 |G|||||1|0|0|0|0|0|0
1458|APMUKS(BJ) B003836.88-101611.9| 10.28575 |  -9.99583 |G|||||1|0|1|1|0|0|0
1459|ABELL 0085:[SDG98] 1427| 10.28629 |  -8.88739 |G|||||1|0|0|0|0|0|0
1460|ABELL 0085:[SDG98] 1428| 10.28746 |  -8.50744 |G|||||1|0|0|0|0|0|0
1461|ABELL 0085:[SDG98] 1429| 10.28796 | -10.25553 |G|||||1|0|0|0|0|0|0
1462|ABELL 0085:[SDG98] 1430| 10.28817 |  -8.53614 |G|||||1|0|0|0|0|0|0
1463|SDSS J004109.25-095135.1| 10.28846 |  -9.85974 |G| 28401| 0.094735 |    ||3|0|21|2|1|4|0
1464|APMUKS(BJ) B003837.58-101209.1| 10.28862 |  -9.92836 |G|||||1|0|1|1|0|0|0
1465|APMUKS(BJ) B003837.82-101951.2| 10.28958 | -10.05667 |G|||||1|0|1|1|0|0|0
1466|APMUKS(BJ) B003837.81-093736.6| 10.29004 |  -9.35256 |G|||||1|0|1|1|0|0|0
1467|APMUKS(BJ) B003837.77-091037.7| 10.29042 |  -8.90300 |G|||||1|0|1|1|0|0|0
1468|APMUKS(BJ) B003838.02-095130.6| 10.29071 |  -9.58422 |G| 69889| 0.233124 |    ||2|0|1|1|0|0|0
1469|APMUKS(BJ) B003838.12-091845.1| 10.29171 |  -9.03828 |G|||||1|0|1|1|0|0|0
1470|ABELL 0085:[SDG98] 1438| 10.29204 | -10.27058 |G|||||1|0|0|0|0|0|0
1471|ABELL 0085:[SDG98] A001| 10.29246 |  -9.29667 |G|||||1|0|0|0|0|0|0
1472|ABELL 0085:[SDG98] A002| 10.29267 |  -9.31406 |G|||||1|0|0|0|0|0|0
1473|APMUKS(BJ) B003838.53-093128.6| 10.29296 |  -9.25053 |G| 18254| 0.060889 |    ||7|0|1|2|1|0|0
1474|ABELL 0085:[SDG98] 1440| 10.29321 |  -8.77881 |G|||||1|0|0|0|0|0|0
1475|ABELL 0085:[SDG98] 1441| 10.29342 |  -9.90353 |G|||||1|0|0|0|0|0|0
1476|ABELL 0085:[SDG98] 1442| 10.29346 |  -9.60128 |G|||||1|0|0|0|0|0|0
1477|ABELL 0085:[SDG98] A003| 10.29350 |  -9.32494 |G|||||1|0|0|0|0|0|0
1478|APMUKS(BJ) B003838.51-084220.0| 10.29383 |  -8.43144 |G|||||1|0|1|1|0|0|0
1479|APMUKS(BJ) B003838.77-100617.2| 10.29387 |  -9.83060 |G|  6705| 0.022365 |    ||3|0|1|1|0|0|0
1480|APMUKS(BJ) B003838.88-092936.3| 10.29462 |  -9.21917 |G|||||1|0|1|1|0|0|0
1481|APMUKS(BJ) B003839.09-095917.6| 10.29529 |  -9.71386 |G|||||1|0|1|1|0|0|0
