Name1                RA          DEC       z       Morp     R50   IC     L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Bulge   MB       O/H     BMAG    
J132956.48+505301.9  202.48537  +50.88386  0.0254  EarlyS   7.0   2.30   10.51    9.35   0.059  -0.186  TO   6.10   122  42.60   9.41   10.88   -0.03   -18.89   
J151401.04+443526.0  228.50434  +44.59056  0.0174  LateS    9.1   2.39   10.27    9.12  -0.455  -0.473  SFG  5.97    85  41.83   8.93   10.11   +0.32   -17.61   
J142617.59+122110.5  216.57332  +12.35292  0.0259  EarlyS   8.8   2.24   10.75    9.49   0.387   0.070  AGN  5.69   122  42.65   9.42   10.84   -0.26   -18.78   
J151231.81+085126.0  228.13258  +08.85724  0.0337  EarlyS   7.9   3.05   10.98    9.10   0.095   0.096  AGN  6.37   167  42.99   9.80   10.78   -0.06   -18.65   
J152552.58+074910.6  231.46911  +07.81962  0.0337  EarlyS  12.7   1.87   11.10    8.59  -0.517  -0.261  TO   7.31   168  42.81   9.81   11.10   +0.37   -19.43   
J153938.96+101311.8  234.91235  +10.21995  0.0342  EarlyS  13.3   2.57   10.99    9.12   0.169   0.005  AGN  6.44   144  42.61   9.68   10.97   -0.11   -19.11     
J074655.82+441556.5  116.73261  +44.26570  0.0314  EarlyS   8.6   2.15   10.71    9.18  -0.524  -0.266  TO   7.05   114  42.64   9.44   11.00   +0.37   -19.20   
J090100.09+103701.7  135.25040  +10.61716  0.0295  EarlyS  13.8   3.46   11.31    9.77   0.205   0.250  AGN  6.55   259  43.32  10.13   11.20   -0.13   -19.73   
J112131.75+132535.8  170.38233  +13.42661  0.0341  EarlyS  10.3   2.59   11.03    8.98   0.175  -0.152  TO   6.79   136  42.96   9.63   11.10   -0.11   -19.45   
J115605.96+150755.0  179.02487  +15.13196  0.0213  EarlyS   7.6   2.13   10.40    9.18  -0.284  -0.326  TO   5.91    85  42.08   9.01   10.60   +0.21   -18.20   
J075701.86+493402.4  119.25778  +49.56735  0.0117  LateS    6.3   1.93   10.36    8.45  -0.867  -0.478  SFG  6.51    83  41.89   8.74   10.08   +0.61   -17.52   
J084421.43+585031.1  131.08932  +58.84198  0.0043  LateS    2.4   1.79    9.50    8.83  -0.292  -0.385  SFG  4.78    77  40.85   8.24    9.38   +0.21   -15.79   
J124922.35+094903.5  192.34315  +09.81765  0.0451  EarlyS  12.6   2.62   11.08    9.33  -0.528  -0.351  SFG  7.17   133  43.01   9.73   11.17   +0.37   -19.61   
J125831.75+081302.8  194.63230  +08.21745  0.0277  EarlyS   9.7   2.90   10.85    9.88   0.198  -0.048  AGN  6.16   139  42.92   9.56   11.00   -0.13   -19.22   
J142154.19+075257.1  215.47580  +07.88254  0.0251  EarlyS   8.9   3.43   10.72    9.87   0.171   0.121  AGN  5.86   157  42.96   9.62   10.67   -0.11   -18.41   
J144412.18+075658.7  221.05076  +07.94964  0.0277  EarlyS  13.6   2.96   11.12    9.91   0.286   0.138  AGN  6.59   212  43.04   9.93   11.08   -0.19   -19.43   
J140852.86+333155.5  212.22026  +33.53210  0.0353  EarlyS  17.3   2.70   11.09    9.40  -0.194  -0.223  TO   6.29   126  42.83   9.58   11.22   +0.14   -19.73   
J100242.47+674349.7  150.67698  +67.73047  0.0151  LateS    6.1   2.09   10.33    8.10  -0.703  -0.412  SFG  6.66    85  42.16   8.87   10.56   +0.50   -18.48   
J083203.49+240039.2  128.01458  +24.01090  0.0184  LateS   11.2   2.13   10.39    9.02  -0.333  -0.467  SFG  5.83    77  42.04   8.87   10.64   +0.24   -18.67   
J084533.12+261922.5  131.38804  +26.32293  0.0568  EarlyS  13.3   2.05   11.28    9.19  -0.252  -0.101  TO   6.99   153  43.26   9.96   11.58   +0.18   -20.64   
J090847.53+295153.1  137.19807  +29.86478  0.0140  EarlyS   5.9   2.60   10.57    9.66   0.365   0.166  AGN  5.70   125  42.48   9.17   10.57   -0.24   -18.12   
J092723.49+302626.9  141.84790  +30.44081  0.0270  EarlyS  12.7   2.33   11.03    8.33  -0.286  -0.243  TO   7.55   143  42.99   9.57   11.18   +0.21   -19.65   
J092455.11+264628.8  141.22963  +26.77467  0.0136  EarlyS  11.5   2.87   11.07    9.72   0.366   0.205  AGN  5.76   177  42.55   9.46   10.80   -0.24   -18.72   
J100750.53+341855.0  151.96056  +34.31529  0.0204  LateS    8.5   2.03   10.61    8.82  -0.458  -0.451  SFG  6.54    90  42.26   9.04   10.79   +0.33   -19.05   
J102351.92+313812.1  155.96637  +31.63670  0.0294  EarlyS   8.5   2.38   10.70    9.26  -0.010  -0.139  TO   5.98   107  42.54   9.36   10.80   +0.02   -18.68   
J102734.02+340405.0  156.89176  +34.06808  0.0562  EarlyS  13.3   2.76   11.30    9.55  -0.040   0.110  AGN  6.77   208  43.25  10.22   11.14   +0.04   -19.58   
J123142.75+333514.7  187.92813  +33.58743  0.0311  EarlyS  10.8   2.33   10.85    9.49  -0.720  -0.371  SFG  7.02   125  42.64   9.52   10.99   +0.51   -19.17     
J110325.26+391518.3  165.85528  +39.25508  0.0216  LateS    7.3   2.45   10.38    8.76  -0.279  -0.275  TO   6.25    83  42.15   9.00   10.58   +0.20   -18.52   
J125129.54+314852.4  192.87312  +31.81457  0.0246  EarlyS   7.9   2.70   10.60    9.26  -0.202  -0.216  TO   6.06   110  42.18   9.30   10.46   +0.15   -17.85    
J121449.33+330111.0  183.70558  +33.01975  0.0528  EarlyS  14.7   2.23   11.25    9.61   0.107  -0.024  AGN  6.79   170  43.24  10.01   11.42   -0.06   -20.25   
J114032.48+353627.7  175.13536  +35.60771  0.0459  EarlyS  11.1   2.94   11.11    9.89   0.083  -0.140  TO   6.93   193  43.18  10.06   11.07   -0.05   -19.39   
J124206.46+324539.5  190.52695  +32.76099  0.0446  EarlyS  13.1   2.52   10.99    9.78  -0.330  -0.278  TO   6.62   126  42.76   9.68   10.99   +0.24   -19.19   
J124426.19+370716.3  191.10914  +37.12121  0.0233  LateS   15.3   1.97   11.16    9.86   0.156   0.229  AGN  5.95   152  42.83   9.56   10.87   -0.10   -19.25   
J134234.06+313150.9  205.64192  +31.53082  0.0251  EarlyS   8.8   3.08   10.71    9.71   0.369   0.222  AGN  6.10   152  42.92   9.59   10.75   -0.24   -18.61   
J105550.05+312332.2  163.95856  +31.39228  0.0350  EarlyS  11.3   2.70   11.15    9.47   0.793   0.250  AGN  6.85   168  43.00   9.83   10.95   -0.54   -19.10   
J135128.21+343400.4  207.86756  +34.56678  0.0537  Early   19.8   2.80   11.38    9.89   0.215   0.219  AGN  6.72   272  43.46  10.43   11.36   -0.14   -20.13   
J125747.68+362214.5  194.44869  +36.37071  0.0151  EarlyS   6.2   2.68   10.50    9.58   0.761   0.026  AGN  5.78   106  42.42   9.06   10.64   -0.52   -18.30   
J104728.46+364927.1  161.86862  +36.82421  0.0358  EarlyS  13.3   2.72   11.16    9.53   0.081  -0.017  AGN  6.39   153  42.83   9.75   10.74   -0.05   -18.58   
J111326.77+303627.1  168.36155  +30.60755  0.0342  EarlyS  10.7   2.45   11.01    9.12  -0.522  -0.307  SFG  7.32   144  43.06   9.68   11.24   +0.37   -19.78   
J134009.10+365139.9  205.03796  +36.86109  0.0191  LateS    7.2   1.91   10.60    8.60  -0.593  -0.347  SFG  6.81    89  42.30   9.01   10.73   +0.42   -18.9    
J131244.75+314833.7  198.18648  +31.80939  0.0211  LateS   11.1   2.51   10.86    9.51   0.362  -0.098  AGN  5.90   105  42.46   9.20   10.72   -0.24   -18.88   
J110112.89+320849.6  165.30372  +32.14712  0.0458  EarlyS  14.7   3.12   11.22    9.81  -0.159  -0.118  TO   7.06   166  43.12   9.93   11.04   +0.12   -19.33     
J135655.99+290951.7  209.23332  +29.16438  0.0080  EarlyS   6.3   3.53   10.54    9.61   0.200   0.025  AGN  5.79   144  42.24   9.05   10.53   -0.13   -18.01   
J135317.78+332927.0  208.32411  +33.49085  0.0079  EarlyS   5.2   2.03   10.38    8.82   0.913  -0.191  AGN  6.45    95  42.08   8.68   10.14   -0.62   -17.05   
J142113.09+295936.6  215.30455  +29.99350  0.0302  EarlyS   9.5   2.53   11.19    8.91  -0.304  -0.315  TO   7.42   172  42.93   9.78   11.24   +0.22   -19.79   
J141816.86+313913.8  214.57029  +31.65384  0.0143  EarlyS   5.3   2.55   10.57    9.22  -0.476  -0.298  SFG  6.97   123  42.40   9.17   10.56   +0.34   -18.09   
J144022.65+244346.1  220.09438  +24.72949  0.0379  Early   14.4   3.24   11.10    9.43   0.179  -0.011  AGN  6.53   207  43.31  10.04   11.25   -0.11   -19.84   
J143811.83+243130.4  219.54931  +24.52512  0.0166  EarlyS   5.5   2.49   10.16    8.78   0.650  -0.134  AGN  5.89    89  42.02   8.95   10.18   -0.44   -17.13   
J143709.54+251503.0  219.28975  +25.25086  0.0340  EarlyS  11.7   2.94   11.19    9.83   0.276   0.059  AGN  6.54   270  42.98  10.22   10.87   -0.18   -18.89    
J152847.28+254452.0  232.19701  +25.74780  0.0342  EarlyS   9.8   3.05   10.81    9.72   0.038   0.094  AGN  6.54   154  42.93   9.74   10.80   -0.02   -18.73   
J153722.91+203259.3  234.34549  +20.54982  0.0149  EarlyS   5.0   3.12   10.83    9.86   0.233  -0.033  AGN  5.97   214  42.74   9.66   10.65   -0.15   -18.36   
J154520.30+171956.6  236.33461  +17.33241  0.0489  EarlyS  14.8   2.91   11.27    9.64   0.252   0.093  AGN  6.51   204  43.39  10.14   11.34   -0.16   -20.07   
J161354.89+145536.1  243.47873  +14.92671  0.0468  EarlyS  13.5   2.11   11.10    9.80   0.178   0.206  AGN  6.24   156  43.15   9.89   11.23   -0.11   -19.80   
J163050.13+161502.6  247.70889  +16.25074  0.0337  EarlyS  10.5   2.57   11.04    9.35  -0.757  -0.406  SFG  7.30   142  42.90   9.66   11.21   +0.53   -19.71   
J164509.37+132938.5  251.28906  +13.49403  0.0531  EarlyS  15.4   2.38   11.15    9.76  -0.279  -0.313  TO   6.93   179  43.15  10.06   11.23   +0.20   -19.76   
J112311.43+293554.4  170.79763  +29.59846  0.0471  EarlyS  19.4   2.68   11.34    9.64   0.811   0.045  AGN  7.45   206  43.21  10.13   11.09   -0.55   -19.46   
J114803.35+302133.5  177.01399  +30.35933  0.0210  EarlyS  12.3   2.88   11.19    9.33   0.288   0.189  AGN  6.24   148  42.88   9.49   11.45   -0.19   -20.31   
J115502.29+271752.2  178.75958  +27.29783  0.0219  EarlyS   8.3   3.03   10.74    9.90   0.612   0.185  AGN  6.12   155  42.74   9.55   10.81   -0.41   -18.76     
J131453.43+270029.2  198.72263  +27.00812  0.0154  EarlyS   5.9   2.63   10.16    9.18  -0.350  -0.351  SFG  5.76    86  41.89   8.89   10.18   +0.25   -17.15   
J131745.18+273411.5  199.43827  +27.56987  0.0234  EarlyS   8.6   3.15   10.81    9.15  -0.046  -0.115  TO   6.53   121  42.80   9.37   10.93   +0.04   -19.02   
J134344.15+252331.7  205.93398  +25.39215  0.0272  Early    7.7   3.29   10.84    9.62   0.557   0.253  AGN  6.17   186  43.10   9.80   10.98   -0.37   -18.63     
J084053.78+192117.6  130.22409  +19.35490  0.0146  EarlyS   6.9   2.68   10.42    9.11  -0.455  -0.348  SFG  6.07   105  42.13   9.03   10.48   +0.32   -17.88   
J091907.13+213052.7  139.77973  +21.51465  0.0274  Early    7.6   2.85   10.83    9.35   0.212  -0.109  AGN  6.07   171  42.99   9.73   10.75   -0.14   -18.60   
J092106.57+241828.7  140.27740  +24.30799  0.0267  EarlyS  10.2   2.26   10.76    9.07  -0.286  -0.335  SFG  6.49    92  42.32   9.18   11.06   +0.21   -19.33   
J093757.99+252941.2  144.49165  +25.49479  0.0136  EarlyS   5.1   2.70   10.48    9.67   0.517   0.143  AGN  5.51   114  42.49   9.08   10.65   -0.35   -18.31   
J095045.54+224515.9  147.68976  +22.75444  0.0286  EarlyS  11.3   2.19   10.77    9.39  -0.736  -0.396  SFG  6.45   109  42.59   9.36   11.03   +0.52   -19.27   
J094854.49+245229.0  147.22706  +24.87474  0.0433  EarlyS  13.4   2.14   10.97    9.04  -0.537  -0.328  SFG  6.95   120  42.94   9.62   11.19   +0.38   -19.67   
J095516.16+253431.9  148.81735  +25.57553  0.0444  EarlyS  12.1   3.26   11.15    9.91   0.117   0.221  AGN  6.37   204  43.32  10.10   11.05   -0.07   -19.36   
J101519.11+282735.8  153.82965  +28.45996  0.0210  EarlyS   5.2   2.71   10.44    9.57   0.031  -0.139  TO   6.61   108  42.59   9.22   10.56   -0.01   -18.13   
J101217.63+275143.4  153.07348  +27.86206  0.0159  EarlyS  10.1   2.50   10.70    9.63  -0.497  -0.393  SFG  6.47   131  42.20   9.27   10.59   +0.35   -18.16   
J101241.60+291832.7  153.17334  +29.30910  0.0495  EarlyS  15.3   2.52   11.15    9.81  -0.393  -0.044  TO   6.48   151  43.13   9.88   11.29   +0.28   -19.95   
J104244.63+265036.8  160.68596  +26.84358  0.0202  EarlyS   6.8   2.35   10.48    9.32   0.268  -0.132  AGN  6.51   109  42.44   9.21   10.70   -0.17   -18.45     
J092806.64+171147.3  142.02771  +17.19649  0.0140  EarlyS   5.2   2.56   10.53    7.46  -0.675  -0.477  SFG  7.31   105  42.46   9.02   10.71   +0.48   -18.46   
J100836.40+181352.4  152.15168  +18.23123  0.0171  EarlyS  10.2   2.59   11.07    9.65   0.187   0.128  AGN  6.37   166  42.57   9.50   10.99   -0.12   -19.21   
J080139.47+104357.7  120.41448  +10.73272  0.0163  EarlyS   5.3   2.28   10.39    8.85  -0.150  -0.246  TO   6.04   102  42.12   9.06   10.46   +0.11   -17.83   
J075708.03+103547.7  119.28349  +10.59660  0.0463  EarlyS  16.6   2.45   11.11    9.74   0.439   0.251  AGN  7.00   136  43.11   9.76   11.30   -0.29   -19.93   
J080020.97+111910.0  120.08741  +11.31945  0.0150  Early    4.1   2.67   10.38    9.73   0.317   0.004  AGN  5.71   128  42.52   9.22   10.53   -0.21   -17.51   
J082810.99+103226.4  127.04581  +10.54067  0.0307  EarlyS  10.6   2.80   10.91    8.84   0.037  -0.037  AGN  6.17   145  42.68   9.64   10.73   -0.02   -18.51   
J084315.92+130508.8  130.81635  +13.08580  0.0069  EarlyS   4.7   2.70    9.77    8.73  -0.016  -0.493  SFG  5.26    87  41.02   8.55    9.92   +0.02   -16.5    
J104808.12+181119.2  162.03384  +18.18869  0.0201  Early   12.5   2.77   11.15    9.77   0.191   0.047  AGN  6.52   200  42.85   9.73   11.28   -0.12   -19.38   
J110434.47+160342.4  166.14363  +16.06179  0.0210  Early    9.2   3.21   11.05    9.73   0.474   0.107  AGN  6.23   194  42.98   9.73   10.98   -0.32   -19.18   
J111828.26+251925.1  169.61779  +25.32366  0.0251  EarlyS  10.7   2.22   10.60    9.11  -0.348  -0.399  SFG  6.17    84  42.30   9.08   10.87   +0.25   -18.86   
J113833.71+252353.1  174.64048  +25.39810  0.0254  EarlyS   7.1   2.26   10.58    9.08   0.868  -0.245  AGN  6.64   125  42.35   9.43   10.68   -0.59   -18.43   
J114331.43+224331.5  175.88098  +22.72543  0.0231  EarlyS  14.4   1.95   10.96    9.10  -0.524  -0.271  TO   6.71   100  42.21   9.20   11.17   +0.37   -19.61   
J160538.07+100207.4  241.40865  +10.03541  0.0405  EarlyS  13.7   2.07   11.12    9.36   0.373  -0.041  AGN  7.22   135  42.82   9.70   11.36   -0.25   -20.10   
J161026.55+121820.4  242.61064  +12.30568  0.0341  EarlyS  15.1   2.41   11.13    9.20  -0.644  -0.321  SFG  7.31   185  43.04   9.90   11.18   +0.45   -19.64   
J161256.85+095201.5  243.23690  +09.86711  0.0171  EarlyS   9.1   3.39   11.03   10.17   0.383   0.212  AGN  6.56   216  42.77   9.73   10.81   -0.25   -18.76   
J092050.74+131128.0  140.21143  +13.19114  0.0167  EarlyS   5.7   2.87   10.68    9.87   0.339   0.208  AGN  5.89   161  42.59   9.47   10.50   -0.22   -17.98   
J094043.03+131936.8  145.17931  +13.32692  0.0348  EarlyS  11.7   2.66   10.91    9.48  -0.231  -0.162  TO   6.25   151  42.93   9.73   11.09   +0.17   -19.42   
J094457.09+164226.7  146.23791  +16.70744  0.0199  EarlyS   8.9   2.06   10.81    9.67   0.410   0.219  AGN  5.79   125  42.51   9.32   10.64   -0.27   -18.30   
J095307.14+164039.6  148.27978  +16.67767  0.0047  LateS    4.8   2.09   10.20    9.22  -0.151  -0.242  TO   4.74    85  41.33   8.36    9.95   +0.11   -16.96   
J103448.55+154255.0  158.70230  +15.71529  0.0655  EarlyS  20.0   2.50   11.30    9.01  -0.538  -0.368  SFG  7.59   201  43.40  10.25   11.49   +0.38   -20.42   
J121037.50+160158.5  182.65627  +16.03292  0.0072  LateS    3.4   2.12   10.33    8.70  -0.644  -0.338  SFG  6.65    98  42.02   8.68   10.58   +0.45   -18.53   
J133038.54+180804.5  202.66059  +18.13461  0.0138  EarlyS   5.7   2.28   10.58    8.72  -0.579  -0.404  SFG  6.69   111  42.36   9.06   10.71   +0.41   -18.46   
J120311.56+194343.7  180.79820  +19.72882  0.0239  EarlyS   9.3   2.76   11.23    9.73   0.097   0.041  AGN  6.18   215  43.06   9.88   11.09   -0.06   -19.45   
J123027.26+184834.9  187.61360  +18.80970  0.0483  EarlyS  13.1   2.38   11.11    9.09  -0.153  -0.341  TO   7.32   125  43.09   9.71   11.46   +0.12   -20.35     
J131027.44+182617.4  197.61434  +18.43819  0.0125  EarlyS   4.6   2.34   10.49    8.80  -0.750  -0.474  SFG  6.54    98  41.82   8.91   10.41   +0.53   -17.72   
J133640.73+201200.4  204.16974  +20.20013  0.0164  EarlyS   7.1   3.06   10.57    9.97   0.343   0.037  AGN  5.96   121  42.50   9.21   10.61   -0.23   -18.25   
J122659.47+223822.4  186.74780  +22.63958  0.0228  EarlyS  12.1   2.74   10.96    9.75   0.386   0.192  AGN  6.10   131  42.96   9.42   10.95   -0.26   -19.10   
J132730.77+205251.4  201.87823  +20.88095  0.0198  EarlyS   9.2   2.71   10.77    9.48   0.648  -0.054  AGN  6.38   122  42.39   9.30   10.63   -0.44   -18.26   
J121821.42+251300.3  184.58928  +25.21677  0.0232  EarlyS   9.2   2.15   10.71    9.18  -0.454  -0.378  SFG  6.34    93  42.51   9.13   10.82   +0.32   -18.74   
J121858.41+241110.7  184.74341  +24.18631  0.0245  EarlyS   9.0   3.00   10.86    9.41   0.240   0.087  AGN  6.21   198  42.69   9.81   10.61   -0.16   -18.24   
J131616.82+252418.7  199.07012  +25.40522  0.0130  EarlyS   4.4   2.78   10.50    9.27   0.534   0.030  AGN  6.03   121  42.13   9.11   10.41   -0.36   -17.71   
J134652.67+161622.2  206.71950  +16.27284  0.0193  LateS   12.4   2.00   10.58    9.06  -0.564  -0.531  SFG  6.29    90  42.16   9.03   10.82   +0.40   -19.12   
J134745.25+165823.2  206.93856  +16.97313  0.0402  Early   12.8   3.31   11.22    9.89   0.238   0.226  AGN  6.67   236  43.38  10.18   11.28   -0.15   -19.40   
J141450.37+150848.7  213.70988  +15.14689  0.0153  EarlyS   8.9   2.97   10.88    8.82  -0.347  -0.192  TO   6.85   150  42.45   9.36   10.88   +0.25   -18.88   
J150440.57+123800.4  226.16908  +12.63345  0.0289  EarlyS  11.0   2.13   11.14    9.08  -0.180  -0.123  TO   7.24   147  42.86   9.63   11.39   +0.13   -20.17   
J153351.72+110038.5  233.46554  +11.01071  0.0350  EarlyS  13.8   2.42   10.97    9.43  -0.349  -0.202  TO   6.63   149  43.05   9.72   11.26   +0.25   -19.83   
J153000.83+125921.5  232.50347  +12.98932  0.0134  EarlyS   7.0   1.94   10.93    8.65  -0.822  -0.217  TO   7.37   151  42.36   9.32   10.74   +0.58   -18.53   
J140402.95+174441.5  211.01230  +17.74486  0.0591  EarlyS  20.3   2.77   11.29    9.27   0.563  -0.032  AGN  7.01   137  43.16   9.87   11.16   -0.38   -19.59   
J142213.95+172350.4  215.55813  +17.39734  0.0532  EarlyS  15.4   2.41   11.18    9.20   0.557   0.090  AGN  7.16   175  43.10  10.04   11.43   -0.37   -20.26   
J150402.35+152753.4  226.00982  +15.46486  0.0508  EarlyS  12.9   2.86   11.21    9.31  -0.243  -0.251  TO   6.94   151  43.12   9.89   11.01   +0.18   -19.26   
J152207.82+135541.5  230.53261  +13.92822  0.0301  EarlyS  11.6   1.99   11.10    9.49   0.001   0.000  AGN  5.67   149  42.95   9.66   11.02   +0.01   -19.23   
J134632.22+205051.0  206.63425  +20.84752  0.0231  LateS   10.0   2.23   10.91    9.08  -0.350  -0.375  SFG  6.49   114  42.61   9.31   10.88   +0.25   -19.27   
J152602.66+161923.6  231.51111  +16.32323  0.0235  LateS   10.1   1.97   10.55    8.74  -0.477  -0.402  SFG  6.33    83  42.28   9.04   10.72   +0.34   -18.87   
J135107.46+240105.6  207.78109  +24.01825  0.0283  EarlyS   8.1   2.22   10.80    8.98  -0.716  -0.427  SFG  6.83   119  42.63   9.43   11.07   +0.50   -19.37   
J142046.12+215608.6  215.19219  +21.93575  0.0156  LateS   12.8   2.70   10.56    8.75  -0.485  -0.433  SFG  6.24    97  42.07   9.00   10.55   +0.34   -18.46   
J105024.00+644834.0  162.60004  +64.80947  0.0424  EarlyS  19.7   2.43   11.31    9.74  -0.039   0.079  AGN  6.02   186  43.11  10.00   11.23   +0.04   -19.77   
