Name1                RA          DEC       z       Morp     R50   IC     L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Bulge   MB       O/H     BMAG    
J214907.29+002650.3  327.28040  +00.44733  0.0158  LateS    7.3   2.03   10.13    8.66  -0.718  -0.482  SFG  6.39    77  42.06   8.80   10.48   +0.51   -18.28   
J224424.36-000943.5  341.10153  -00.16210  0.0162  EarlyS   8.1   3.11   11.09    9.10  -0.339  -0.134  TO   6.37   149  42.90   9.39   11.10   +0.24   -19.44   
J235106.25+010324.1  357.77605  +01.05670  0.0270  LateS   12.8   2.06   11.04    8.88  -0.685  -0.429  SFG  7.28   129  42.65   9.48   10.24   +0.48   -17.67   
J020540.31-004141.4  031.41798  -00.69486  0.0424  EarlyS  19.0   3.00   11.10   10.04  -0.295  -0.201  TO   7.05   172  42.92   9.93   11.07   +0.21   -19.37   
J021859.64+001948.0  034.74854  +00.33001  0.0298  LateS    6.3   2.12   10.82    8.74  -0.622  -0.491  SFG  7.03   102  42.58   9.33   10.64   +0.44   -18.69   
J025154.58+003953.3  042.97746  +00.66482  0.0293  EarlyS  10.9   2.56   10.83    9.04  -0.408  -0.398  SFG  6.65   125  42.65   9.49   10.95   +0.29   -19.06   
J031347.83+004139.7  048.44930  +00.69437  0.0212  EarlyS   6.7   2.96   10.77    9.24  -0.133  -0.198  TO   6.39   124  42.92   9.34   11.02   +0.10   -19.27   
J032406.50-010328.2  051.02712  -01.05785  0.0252  EarlyS   8.2   2.82   10.63    9.54  -0.031  -0.203  TO   6.14   126  42.65   9.43   10.72   +0.03   -18.49   
J003823.71+150222.4  009.59883  +15.03956  0.0179  EarlyS   8.1   3.58   10.55    8.17  -0.532  -0.340  SFG  7.19   116  42.74   9.21   10.80   +0.38   -18.69   
J004332.39+142033.2  010.88497  +14.34257  0.0149  LateS    9.0   1.91   11.01    8.53  -0.550  -0.387  SFG  6.72    86  42.43   8.87   10.94   +0.39   -19.43   
J012853.25+134737.6  022.22189  +13.79380  0.0212  LateS    8.6   2.44   10.60    9.35  -0.016  -0.154  TO   5.97    96  42.31   9.12   10.75   +0.02   -18.95   
J020824.97+142058.4  032.10408  +14.34956  0.0148  EarlyS   6.3   2.33   10.92    8.74  -0.462  -0.355  SFG  6.60   122  42.62   9.17   10.98   +0.33   -19.15   
