PSO Pan-STARRS1    Identifier RAdeg    DECdeg     Period    PM
PSO J011.7483+41.9794 2084937 11.74829 41.97936   2.773700  0.000174
PSO J011.3627+41.9920 2089664 11.36265 41.99203   2.530600  0.000338
PSO J011.6158+41.9918 2090156 11.61579 41.99176   2.907917  0.000339
PSO J011.6706+41.9966 2092386 11.67060 41.99660   2.953075  0.000273
PSO J011.6427+42.0112 2098761 11.64274 42.01119   2.388804  0.000179
PSO J011.6524+42.0227 2103760 11.65245 42.02275   2.765094  0.000277
PSO J011.5512+42.0584 2118025 11.55118 42.05840   2.094636  0.000152
PSO J011.5920+42.0642 2120349 11.59197 42.06424   2.800540  0.000135
PSO J011.7817+42.0648 2121069 11.78167 42.06484   2.303244  0.000249
PSO J011.3783+42.0726 2123015 11.37825 42.07256   2.758740  0.000435
PSO J011.6265+42.0736 2123916 11.62646 42.07363   2.787781  0.000675
PSO J011.7774+42.0753 2124992 11.77740 42.07529   2.197685  0.000453
PSO J011.7292+42.0831 2127903 11.72923 42.08313   2.697333  0.000284
PSO J011.5802+42.1208 2141041 11.58024 42.12075   2.754298  0.000166
PSO J011.7390+42.1203 2141289 11.73902 42.12032   2.287389  0.000125
PSO J011.5721+42.1234 2141972 11.57211 42.12338   2.413029  0.000158
PSO J011.6132+42.1399 2147458 11.61323 42.13989   2.438371  0.000149
PSO J011.4196+42.1572 2152356 11.41959 42.15716   2.017218  0.000264
PSO J011.4952+42.1760 2156465 11.49519 42.17601   2.593550  0.000203
PSO J011.5954+42.2071 2162443 11.59538 42.20709   2.489447  0.000146
PSO J011.0530+41.8316 2171558 11.05299 41.83164   2.573172  0.009537
PSO J011.0179+41.8523 2180885 11.01786 41.85231   2.891696  0.000326
PSO J010.8331+41.8587 2183452 10.83309 41.85865   2.797765  0.000128
PSO J011.2172+41.3726  218384 11.21720 41.37255   2.325366  0.000126
PSO J010.8814+41.8614 2184519 10.88138 41.86136   2.879945  0.000311
PSO J011.0190+41.8634 2185432 11.01898 41.86343   2.256292  0.000161
PSO J010.8726+41.9096 2204796 10.87256 41.90963   2.369522  0.000196
PSO J011.0479+41.9153 2206907 11.04794 41.91525   2.944839  0.000269
PSO J010.9052+41.9156 2206993 10.90522 41.91561   2.910012  0.000339
PSO J011.0422+41.9282 2211346 11.04218 41.92821   2.697117  0.000179
PSO J010.9347+41.9498 2218907 10.93468 41.94976   2.325284  0.000220
PSO J010.9996+41.9571 2221603 10.99960 41.95705   2.538023  0.000166
PSO J011.2359+41.9693 2225946 11.23586 41.96931   2.922664  0.000326
